WL_ORG,entry_count,N
HR,0,7
HR,1,83545
HR,2,1
KI,0,191
KI,1,640735
KI,2,1294
LI,0,34
LI,1,235884
LI,2,1852
LI,3,1
LU,0,9
LU,1,52563
LU,2,5
