figure,organ,pollutant,model_tier,model_type,n,adverse_events,hazard_ratio,conf_low,conf_high,hr_ci
single_pollutant_model_tier_forest,Liver,O3,Unadjusted,Single-pollutant O3,208792,42137,0.9703992717307134,0.9511188508792394,0.990070531884622,0.97 (0.95-0.99)
single_pollutant_model_tier_forest,Liver,NO2,Unadjusted,Single-pollutant NO2,222766,42883,1.025634813379617,1.0110394370163611,1.0404408887555776,1.03 (1.01-1.04)
single_pollutant_model_tier_forest,Liver,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,208592,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,1.03 (1.00-1.05)
single_pollutant_model_tier_forest,Liver,O3,Adjusted + SDOH,Single-pollutant O3,208592,42101,1.0341440930122945,1.0052730189612624,1.063844333768429,1.03 (1.01-1.06)
single_pollutant_model_tier_forest,Liver,NO2,Adjusted + SDOH,Single-pollutant NO2,222559,42847,0.9968769734911744,0.9794674330603012,1.0145959597369711,1.00 (0.98-1.01)
single_pollutant_model_tier_forest,Liver,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,208591,42101,1.0420908772675694,1.0188120831496437,1.0659015675659071,1.04 (1.02-1.07)
single_pollutant_model_tier_forest,Liver,O3,Adjusted + SDOH + organ score,Single-pollutant O3,208591,42101,1.0444981221409817,1.0154128880781854,1.0744164664099014,1.04 (1.02-1.07)
single_pollutant_model_tier_forest,Liver,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,222557,42847,1.0086003525945595,0.990967181920802,1.0265472861392608,1.01 (0.99-1.03)
single_pollutant_model_tier_forest,Lung,PM2.5,Unadjusted,Single-pollutant PM2.5,46843,5588,1.109738963525405,1.0551450121699066,1.167157644648119,1.11 (1.06-1.17)
single_pollutant_model_tier_forest,Lung,O3,Unadjusted,Single-pollutant O3,46843,5588,0.9698207655391372,0.911895951277672,1.0314250391759006,0.97 (0.91-1.03)
single_pollutant_model_tier_forest,Lung,NO2,Unadjusted,Single-pollutant NO2,50458,5681,1.1544106573037252,1.1053740280813242,1.205622650651217,1.15 (1.11-1.21)
single_pollutant_model_tier_forest,Lung,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,46788,5582,1.1497483619402376,1.075942303629002,1.228617270020525,1.15 (1.08-1.23)
single_pollutant_model_tier_forest,Lung,O3,Adjusted + SDOH,Single-pollutant O3,46788,5582,0.9703010041394214,0.891891761196912,1.0556034707288977,0.97 (0.89-1.06)
single_pollutant_model_tier_forest,Lung,NO2,Adjusted + SDOH,Single-pollutant NO2,50401,5675,1.1317560948018548,1.076224278957754,1.190153282326596,1.13 (1.08-1.19)
single_pollutant_model_tier_forest,Lung,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,46788,5582,1.4809208220241472,1.3848532046125352,1.5836526743773434,1.48 (1.38-1.58)
single_pollutant_model_tier_forest,Lung,O3,Adjusted + SDOH + organ score,Single-pollutant O3,46788,5582,1.0118206589571963,0.9283545912485536,1.102790954602467,1.01 (0.93-1.10)
single_pollutant_model_tier_forest,Lung,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,50401,5675,1.3377235933671394,1.2706337251808977,1.408355828109571,1.34 (1.27-1.41)
all_specifications_model_tier_forest,Heart,PM2.5,Unadjusted,Single-pollutant PM2.5,74114,10020,1.182063620632933,1.1364359796479302,1.2295232008200905,1.18 (1.14-1.23)
all_specifications_model_tier_forest,Heart,O3,Unadjusted,Single-pollutant O3,74114,10020,1.0100556500092293,0.9643141985345276,1.0579668096414925,1.01 (0.96-1.06)
all_specifications_model_tier_forest,Heart,NO2,Unadjusted,Single-pollutant NO2,79469,10252,1.075341015228168,1.0409419571959042,1.1108768275101062,1.08 (1.04-1.11)
all_specifications_model_tier_forest,Heart,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2,74114,10020,1.1812814620674357,1.1291028857425516,1.2358713366554548,1.18 (1.13-1.24)
all_specifications_model_tier_forest,Heart,NO2,Unadjusted,Multipollutant PM2.5 + NO2,74114,10020,1.001126578039068,0.9640858206969524,1.0395904635664792,1.00 (0.96-1.04)
all_specifications_model_tier_forest,Heart,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2 + O3,74114,10020,1.201697979499045,1.144028006932932,1.2622750712227495,1.20 (1.14-1.26)
all_specifications_model_tier_forest,Heart,NO2,Unadjusted,Multipollutant PM2.5 + NO2 + O3,74114,10020,0.988876810701891,0.9499715912309848,1.0293753579270706,0.99 (0.95-1.03)
all_specifications_model_tier_forest,Heart,O3,Unadjusted,Multipollutant PM2.5 + NO2 + O3,74114,10020,0.955941208857162,0.9084054035243072,1.0059645079674386,0.96 (0.91-1.01)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,74028,10010,1.25930094842313,1.196179935307767,1.325752783414957,1.26 (1.20-1.33)
all_specifications_model_tier_forest,Heart,O3,Adjusted + SDOH,Single-pollutant O3,74028,10010,0.9924269533463788,0.92575091409988,1.0639052500272363,0.99 (0.93-1.06)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH,Single-pollutant NO2,79381,10242,1.1752248160074383,1.129707356215239,1.2225762367228232,1.18 (1.13-1.22)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2,74028,10010,1.191399145447489,1.1207008015269762,1.266557427137559,1.19 (1.12-1.27)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2,74028,10010,1.0838453303630546,1.033636145005364,1.1364934419390906,1.08 (1.03-1.14)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.1881476357694802,1.115457532309671,1.265574675408345,1.19 (1.12-1.27)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,1.09 (1.03-1.14)
all_specifications_model_tier_forest,Heart,O3,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,1.01 (0.94-1.09)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,74028,10010,1.367466788554527,1.2986393854691525,1.4399420183333496,1.37 (1.30-1.44)
all_specifications_model_tier_forest,Heart,O3,Adjusted + SDOH + organ score,Single-pollutant O3,74028,10010,1.0132306438721654,0.944831872137472,1.0865809758926388,1.01 (0.94-1.09)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,79381,10242,1.2681545914293584,1.2185846498107658,1.3197409535834077,1.27 (1.22-1.32)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,74028,10010,1.2526960523652668,1.1784897146093347,1.331574964259848,1.25 (1.18-1.33)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,74028,10010,1.140192537659614,1.0872991769158828,1.195658978260448,1.14 (1.09-1.20)
all_specifications_model_tier_forest,Heart,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.2377889490438303,1.162350318772306,1.3181236823622011,1.24 (1.16-1.32)
all_specifications_model_tier_forest,Heart,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.1560203299546965,1.098971780257421,1.216030317862696,1.16 (1.10-1.22)
all_specifications_model_tier_forest,Heart,O3,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,74028,10010,1.059914830312699,0.9846368102052364,1.1409480489386068,1.06 (0.98-1.14)
all_specifications_model_tier_forest,Kidney,PM2.5,Unadjusted,Single-pollutant PM2.5,564725,123423,0.865991624187319,0.8570063393749326,0.8750711152376879,0.87 (0.86-0.88)
all_specifications_model_tier_forest,Kidney,O3,Unadjusted,Single-pollutant O3,564725,123423,0.9928017356498036,0.9816076435517236,1.0041234833328043,0.99 (0.98-1.00)
all_specifications_model_tier_forest,Kidney,NO2,Unadjusted,Single-pollutant NO2,600708,124065,0.8536944295529867,0.8465076062047445,0.8609422688087768,0.85 (0.85-0.86)
all_specifications_model_tier_forest,Kidney,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2,564725,123423,0.9335214730191628,0.922698114294862,0.9444717910297784,0.93 (0.92-0.94)
all_specifications_model_tier_forest,Kidney,NO2,Unadjusted,Multipollutant PM2.5 + NO2,564725,123423,0.8757764747828697,0.8675266283584168,0.8841047740914212,0.88 (0.87-0.88)
all_specifications_model_tier_forest,Kidney,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2 + O3,564725,123423,0.954315177935142,0.942267089233784,0.966517316844784,0.95 (0.94-0.97)
all_specifications_model_tier_forest,Kidney,NO2,Unadjusted,Multipollutant PM2.5 + NO2 + O3,564725,123423,0.8586262603322962,0.849688139552102,0.8676584038478478,0.86 (0.85-0.87)
all_specifications_model_tier_forest,Kidney,O3,Unadjusted,Multipollutant PM2.5 + NO2 + O3,564725,123423,0.9436047518015166,0.9312217114196348,0.9561524572542608,0.94 (0.93-0.96)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,564179,123299,0.929122615429735,0.9162276607212958,0.9421990532608314,0.93 (0.92-0.94)
all_specifications_model_tier_forest,Kidney,O3,Adjusted + SDOH,Single-pollutant O3,564179,123299,1.0505116556057987,1.0332092749499335,1.068103786250963,1.05 (1.03-1.07)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH,Single-pollutant NO2,600141,123941,0.9044982381320308,0.8945511924080437,0.9145558909621008,0.90 (0.89-0.91)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2,564179,123299,0.9901739602751372,0.9742406100935148,1.0063678945931422,0.99 (0.97-1.01)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2,564179,123299,0.907395267917615,0.8957496759886489,0.9191922635422916,0.91 (0.90-0.92)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,564179,123299,0.9897680472860576,0.9730852597230654,1.0067368482256691,0.99 (0.97-1.01)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,564179,123299,0.9078455931109002,0.8949508376509426,0.92092614058465,0.91 (0.89-0.92)
all_specifications_model_tier_forest,Kidney,O3,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,564179,123299,1.0014965512975789,0.9831100561498584,1.020226917613845,1.00 (0.98-1.02)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,564179,123299,0.8965328348557741,0.8839738592109553,0.9092702409684214,0.90 (0.88-0.91)
all_specifications_model_tier_forest,Kidney,O3,Adjusted + SDOH + organ score,Single-pollutant O3,564179,123299,1.0412477673147336,1.0241038537876452,1.0586786769017793,1.04 (1.02-1.06)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,600141,123941,0.888232931750552,0.8784270076913546,0.8981483198241897,0.89 (0.88-0.90)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,564179,123299,0.9588221761799,0.943264607485393,0.9746363408939792,0.96 (0.94-0.97)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,564179,123299,0.9028330644208448,0.8912166144484033,0.9146009275377168,0.90 (0.89-0.91)
all_specifications_model_tier_forest,Kidney,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,564179,123299,0.9615288282238382,0.9452099791467792,0.9781294187563148,0.96 (0.95-0.98)
all_specifications_model_tier_forest,Kidney,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,564179,123299,0.8997073450397568,0.8868861950967818,0.9127138421972548,0.90 (0.89-0.91)
all_specifications_model_tier_forest,Kidney,O3,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,564179,123299,0.98965597194433,0.9714646363041208,1.0081879527094442,0.99 (0.97-1.01)
all_specifications_model_tier_forest,Liver,PM2.5,Unadjusted,Single-pollutant PM2.5,208792,42137,1.038749841760291,1.0209273149990632,1.056883499838595,1.04 (1.02-1.06)
all_specifications_model_tier_forest,Liver,O3,Unadjusted,Single-pollutant O3,208792,42137,0.9703992717307134,0.9511188508792394,0.990070531884622,0.97 (0.95-0.99)
all_specifications_model_tier_forest,Liver,NO2,Unadjusted,Single-pollutant NO2,222766,42883,1.025634813379617,1.0110394370163611,1.0404408887555776,1.03 (1.01-1.04)
all_specifications_model_tier_forest,Liver,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2,208792,42137,1.0344677108241378,1.013523112327964,1.0558451324112017,1.03 (1.01-1.06)
all_specifications_model_tier_forest,Liver,NO2,Unadjusted,Multipollutant PM2.5 + NO2,208792,42137,1.0064900112391968,0.9894714480614571,1.023801287757177,1.01 (0.99-1.02)
all_specifications_model_tier_forest,Liver,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2 + O3,208792,42137,1.049913324203478,1.0271963753286166,1.0731326694833283,1.05 (1.03-1.07)
all_specifications_model_tier_forest,Liver,NO2,Unadjusted,Multipollutant PM2.5 + NO2 + O3,208792,42137,0.993799544134436,0.9758071375123026,1.0121237035011552,0.99 (0.98-1.01)
all_specifications_model_tier_forest,Liver,O3,Unadjusted,Multipollutant PM2.5 + NO2 + O3,208792,42137,0.9588806009412508,0.938108943766132,0.9801121852332232,0.96 (0.94-0.98)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,208592,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,1.03 (1.00-1.05)
all_specifications_model_tier_forest,Liver,O3,Adjusted + SDOH,Single-pollutant O3,208592,42101,1.0341440930122945,1.0052730189612624,1.063844333768429,1.03 (1.01-1.06)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH,Single-pollutant NO2,222559,42847,0.9968769734911744,0.9794674330603012,1.0145959597369711,1.00 (0.98-1.01)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2,208592,42101,1.044468641570454,1.0167156190746258,1.0729792311216155,1.04 (1.02-1.07)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2,208592,42101,0.9736934792519352,0.953262779020188,0.9945620582314382,0.97 (0.95-0.99)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,208592,42101,1.040044020184507,1.011901753661813,1.0689689587029438,1.04 (1.01-1.07)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,208592,42101,0.9804523716537116,0.9582817631504086,1.003135914765924,0.98 (0.96-1.00)
all_specifications_model_tier_forest,Liver,O3,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,208592,42101,1.0249525787819398,0.9941084506852492,1.056753705320188,1.02 (0.99-1.06)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH + organ score,Single-pollutant PM2.5,208591,42101,1.0420908772675694,1.0188120831496437,1.0659015675659071,1.04 (1.02-1.07)
all_specifications_model_tier_forest,Liver,O3,Adjusted + SDOH + organ score,Single-pollutant O3,208591,42101,1.0444981221409817,1.0154128880781854,1.0744164664099014,1.04 (1.02-1.07)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH + organ score,Single-pollutant NO2,222557,42847,1.0086003525945595,0.990967181920802,1.0265472861392608,1.01 (0.99-1.03)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,208591,42101,1.0560058591125876,1.0279385327761437,1.084839549178533,1.06 (1.03-1.08)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2,208591,42101,0.9810939881035446,0.9604981471966734,1.0021314630353215,0.98 (0.96-1.00)
all_specifications_model_tier_forest,Liver,PM2.5,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,208591,42101,1.048349278981601,1.0199639330484702,1.0775245821256056,1.05 (1.02-1.08)
all_specifications_model_tier_forest,Liver,NO2,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,208591,42101,0.9929245524348056,0.9703777831724888,1.0159951968444962,0.99 (0.97-1.02)
all_specifications_model_tier_forest,Liver,O3,Adjusted + SDOH + organ score,Multipollutant PM2.5 + NO2 + O3,208591,42101,1.0424955032256429,1.011110083838143,1.0748551434876783,1.04 (1.01-1.07)
all_specifications_model_tier_forest,Lung,PM2.5,Unadjusted,Single-pollutant PM2.5,46843,5588,1.109738963525405,1.0551450121699066,1.167157644648119,1.11 (1.06-1.17)
all_specifications_model_tier_forest,Lung,O3,Unadjusted,Single-pollutant O3,46843,5588,0.9698207655391372,0.911895951277672,1.0314250391759006,0.97 (0.91-1.03)
all_specifications_model_tier_forest,Lung,NO2,Unadjusted,Single-pollutant NO2,50458,5681,1.1544106573037252,1.1053740280813242,1.205622650651217,1.15 (1.11-1.21)
all_specifications_model_tier_forest,Lung,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2,46843,5588,1.0351372978100255,0.975635229466915,1.0982682799419947,1.04 (0.98-1.10)
all_specifications_model_tier_forest,Lung,NO2,Unadjusted,Multipollutant PM2.5 + NO2,46843,5588,1.1239577780837566,1.0674986690067554,1.1834029620761812,1.12 (1.07-1.18)
all_specifications_model_tier_forest,Lung,PM2.5,Unadjusted,Multipollutant PM2.5 + NO2 + O3,46843,5588,1.0452827764454131,0.9807040749610056,1.1141139418400765,1.05 (0.98-1.11)
all_specifications_model_tier_forest,Lung,NO2,Unadjusted,Multipollutant PM2.5 + NO2 + O3,46843,5588,1.1163480979530742,1.057575127654276,1.1783872778547824,1.12 (1.06-1.18)
all_specifications_model_tier_forest,Lung,O3,Unadjusted,Multipollutant PM2.5 + NO2 + O3,46843,5588,0.973181152716318,0.9110900938808036,1.0395037355396457,0.97 (0.91-1.04)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH,Single-pollutant PM2.5,46788,5582,1.1497483619402376,1.075942303629002,1.228617270020525,1.15 (1.08-1.23)
all_specifications_model_tier_forest,Lung,O3,Adjusted + SDOH,Single-pollutant O3,46788,5582,0.9703010041394214,0.891891761196912,1.0556034707288977,0.97 (0.89-1.06)
all_specifications_model_tier_forest,Lung,NO2,Adjusted + SDOH,Single-pollutant NO2,50401,5675,1.1317560948018548,1.076224278957754,1.190153282326596,1.13 (1.08-1.19)
all_specifications_model_tier_forest,Lung,PM2.5,Adjusted + SDOH,Multipollutant PM2.5 + NO2,46788,5582,1.092328189511408,1.0103670903479436,1.180937982837872,1.09 (1.01-1.18)
