Section,Analysis,Model,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,PM2.5 per 5 ug/m3,64718,8485,1.37 (1.30-1.45),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,PM2.5 per 5 ug/m3,74028,10010,1.26 (1.20-1.33),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Heart,PM2.5 per 5 ug/m3,74028,10010,1.18 (1.13-1.22),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,O3 per 10 ppb,64718,8485,0.99 (0.92-1.07),0.830,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,O3 per 10 ppb,74028,10010,0.99 (0.93-1.06),0.835,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Heart,O3 per 10 ppb,74028,10010,1.02 (0.97-1.07),0.463,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Heart,NO2 per 10 ppb,69316,8653,1.24 (1.19-1.30),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Heart,NO2 per 10 ppb,79381,10242,1.18 (1.13-1.23),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Heart,NO2 per 10 ppb,79381,10242,1.07 (1.03-1.10),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Heart,PM2.5 per 5 ug/m3,74028,10010,1.19 (1.12-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,Heart,NO2 per 10 ppb,74028,10010,1.08 (1.03-1.14),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,PM2.5 per 5 ug/m3,74028,10010,1.19 (1.12-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,NO2 per 10 ppb,74028,10010,1.09 (1.03-1.14),0.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,Heart,O3 per 10 ppb,74028,10010,1.01 (0.94-1.09),0.732,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,PM2.5 per 5 ug/m3,531379,114317,0.95 (0.93-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,PM2.5 per 5 ug/m3,564179,123299,0.95 (0.94-0.96),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Kidney,PM2.5 per 5 ug/m3,564179,123299,0.94 (0.93-0.95),<.001,age + sex + race + zcta_svi_proxy
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,Kidney,O3 per 10 ppb,531379,114317,1.05 (1.03-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,Kidney,O3 per 10 ppb,564179,123299,1.05 (1.03-1.07),<.001,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Cox model sensitivity analyses,Baseline cause-specific Cox,Single-pollutant model without listing center,Kidney,O3 per 10 ppb,564179,123299,1.01 (1.00-1.02),0.077,age + sex + race + zcta_svi_proxy
