analysis,model_tier,model_type,organ,organ_label,term,term_type,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,coefficient,std_error,conf_low,conf_high,hazard_ratio,hr_conf_low,hr_conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceMULTI,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.09007625570409139,0.13612453533130547,-0.3568803449534501,0.17672783354526733,0.9138614954623607,0.6998562340550385,1.1933062709891138,0.5081510228374052,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceMissing,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.07514058794230573,0.309276258693377,-0.6813220549813246,0.5310408790967132,0.9276130659488037,0.5059476593921948,1.7007016124012408,0.8080393197895619,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceNATIVE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.18977203211438937,0.15745015481259952,-0.1188302713183057,0.49837433554708443,1.2089739590028723,0.8879584999982009,1.6460431805653535,0.2280939789560052,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,racePACIFIC,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.10093667310806087,0.20766158739444046,-0.3060800381850424,0.5079533844011641,1.1062065869202768,0.7363276827662136,1.6618864692804638,0.6269222978827383,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceWHITE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.07568800948632967,0.06402483151790214,-0.20117667926141786,0.049800660288758514,0.9271054095356914,0.8177679361545941,1.0510615571846706,0.23713965147902766,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,zcta_svi_proxy,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.1112531376504173,0.058698058296794337,-0.0037950566112995854,0.2263013319121342,1.1176777973793786,0.9962121355149898,1.2539534645490398,0.05804656045674209,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.007601867772751706,0.035484429586083575,-0.07715134976147552,0.0619476142159721,0.9924269533463788,0.9257497310020283,1.0639066096863037,0.8303668581435331,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,age,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.00587269673627272,7.298864680117891e-4,0.0044421192589696136,0.0073032742135758265,1.0058899748261858,1.0044520000959263,1.0073300081628542,8.551507684902306e-16,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,sexM,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.023484589100326306,0.0232120691376945,-0.06898024461020752,0.02201106640955491,0.9767890277505618,0.9333451184926991,1.022255097101417,0.3116621731089791,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceBLACK,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.1243283663090968,0.06714056889849218,-0.25592388135014144,0.0072671487319478645,0.8830898163246226,0.7742008976764768,1.0072936185384513,0.06405998053865829,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceMULTI,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.09757301770326196,0.13614312814911333,-0.36441354887552413,0.16926751346900018,0.9070361094442856,0.6946038826835973,1.184436949383689,0.4735626812938558,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceMissing,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.12569674871284164,0.3092137097943055,-0.7317556199096804,0.4803621224839971,0.8818822381618218,0.4810636833083712,1.6166597250426256,0.6843719887141744,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceNATIVE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.16134403786720533,0.1575438069620386,-0.1474418237783903,0.47012989951280093,1.1750891744522165,0.8629126378580014,1.6002020451831858,0.3057777766866297,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,racePACIFIC,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.09316495625350835,0.20764248516999617,-0.3138143146796841,0.5001442271867008,1.0976427833763989,0.7306546874137417,1.648959078279402,0.6536627713153125,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceWHITE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.07958234225839089,0.0640940054513529,-0.20520659294304255,0.04604190842626077,0.9235019735995998,0.8144790334084143,1.047118293117188,0.21436560787809603,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,zcta_svi_proxy,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.1566146150668471,0.05901083058426674,0.040953387121684295,0.2722758430120099,1.16954480209308,1.0418035429518908,1.312949119204624,0.00795443434122401,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,0.16145946206662978,0.020153859966261543,0.12195789653275715,0.2009610276005024,1.1752248160074383,1.1297065362168466,1.2225771241307624,1.134635626503423e-15,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,age,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,0.006304537999491955,7.241238175570056e-4,0.004885255317080224,0.0077238206819036865,1.0063244534297167,1.004897207632281,1.0077537263305725,3.135776470760923e-18,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,sexM,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,-0.02286500144761037,0.022929704877211125,-0.06780722300694417,0.022077220111723438,0.9773944216994053,0.9344405948631028,1.0223227252975542,0.31867802876653506,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,raceBLACK,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,-0.14306007878053265,0.06555438444450755,-0.27154667229176743,-0.014573485269297859,0.8667019969322337,0.7621997090306704,0.9855321939726627,0.029086560149648596,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,raceMULTI,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,-0.108941995331689,0.13390670791935497,-0.37139914285362474,0.15351515219024672,0.8967824335572394,0.6897685704106976,1.1659254533125534,0.4158934056907459,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,raceMissing,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,-0.08379681023427585,0.2514369086781475,-0.5766131512434449,0.4090195307748933,0.9196180940977923,0.561797872505939,1.5053411206770202,0.7389291868968516,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,raceNATIVE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,0.2093576314320179,0.151944722289488,-0.08845402425537857,0.5071692871194144,1.2328858384243653,0.9153451934454525,1.6605838993548294,0.16824839402208538,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,racePACIFIC,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,0.07709889495982464,0.2032774372579649,-0.3213248820657866,0.47552267198543585,1.080148892392049,0.7251876122652604,1.6088548811407508,0.7044805760434198,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,raceWHITE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,-0.08235816620307986,0.0625125939671975,-0.20488285037878695,0.04016651797262723,0.9209420493016229,0.8147427576262963,1.0409841023231192,0.18768274340400054,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,zcta_svi_proxy,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,0.06225623395499918,0.05889758814197694,-0.05318303880327562,0.17769550671327397,1.0642350029382475,0.94820643802567794,1.1944615603298618,0.29050009386170833,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.17512836894468317,0.031211881519019317,0.11395308116740531,0.23630365672196102,1.191399145447489,1.120699541736405,1.266558850888569,2.0121657986189247e-8,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.08051520867017656,0.02420064123454512,0.03308195185046812,0.127948465489885,1.0838453303630546,1.0336352440913608,1.1364944325040527,8.779060056895024e-4,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
