analysis,model_tier,model_type,organ,organ_label,exposure,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.367466788554527,1.2986393854691523,1.4399420183333496,1.5486116281470545e-32,0.5730568858081657,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0132306438721654,0.944831872137472,1.0865809758926388,0.7124335070225288,0.5615548963828068,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,1.2681545914293584,1.2185846498107658,1.3197409535834077,1.6606203147710631e-31,0.57421428910137,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.2526960523652668,1.1784897146093347,1.331574964259848,4.783094047535942e-13,0.5746947231990117,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.140192537659614,1.0872991769158828,1.195658978260448,6.181486931828235e-8,0.5746947231990117,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.2377889490438303,1.1623503187723059,1.3181236823622011,2.9489112302555227e-11,0.5746705339468028,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.1560203299546963,1.098971780257421,1.216030317862696,1.966471532925808e-8,0.5746705339468028,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.059914830312699,0.9846368102052364,1.1409480489386068,0.12160663221183202,0.5746705339468028,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.865991624187319,0.8570063393749326,0.8750711152376879,5.348225006437958e-161,0.5129037894928838,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.9928017356498035,0.9816076435517235,1.0041234833328043,0.21177561687319346,0.4971402112840426,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,600708,600708,NA,124065,0.8536944295529867,0.8465076062047445,0.8609422688087768,2.0324776665640604e-294,0.5320157470872766,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.9335214730191629,0.9226981142948621,0.9444717910297785,6.457307891427657e-31,0.5301635903416511,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.8757764747828697,0.8675266283584168,0.8841047740914212,4.208021806420571e-166,0.5301635903416511,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.954315177935142,0.942267089233784,0.9665173168447841,5.449047051024517e-13,0.5303513415812673,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.8586262603322962,0.849688139552102,0.8676584038478478,2.9388337289212505e-179,0.5303513415812673,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564725,564725,NA,123423,0.9436047518015166,0.9312217114196347,0.9561524572542607,7.144953459739461e-18,0.5303513415812673,None,model_based,none
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.929122615429735,0.9162276607212958,0.9421990532608314,6.374127840261585e-25,0.6410530984354635,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,1.0505116556057987,1.0332092749499335,1.068103786250963,6.044337388154171e-9,0.6417390825329516,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,600141,600141,278,123941,0.9044982381320308,0.8945511924080437,0.9145558909621007,8.374666920032383e-71,0.6409128894816506,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9901739602751373,0.9742406100935149,1.0063678945931422,0.23285304884845057,0.6415020508929791,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.907395267917615,0.8957496759886489,0.9191922635422917,3.3125242032422907e-49,0.6415020508929791,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9897680472860576,0.9730852597230654,1.0067368482256691,0.23569556268651834,0.6415131501058156,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9078455931109002,0.8949508376509426,0.9209261405846499,4.758035890154523e-40,0.6415131501058156,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,1.0014965512975789,0.9831100561498584,1.020226917613845,0.8743159910354856,0.6415131501058156,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.8965328348557741,0.8839738592109553,0.9092702409684214,5.24662365157125e-52,0.6713376809530964,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,KI,Kidney,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,1.0412477673147336,1.0241038537876452,1.0586786769017793,1.8254930127255843e-6,0.6717391865689618,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,KI,Kidney,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,600141,600141,278,123941,0.888232931750552,0.8784270076913546,0.8981483198241897,3.1423719516154113e-97,0.6707581410070248,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,KI,Kidney,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,564179,564179,277,123299,0.9588221761799,0.943264607485393,0.9746363408939792,4.7038700324387127e-7,0.671751321555448,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center
