year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2011,1,1032300,33300,31,0,1000680,31620,32.6525518868343,11.3615386308386,33.1043312690815,51.727912011116,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_01.csv.gz
2011,2,932400,33300,28,0,903840,28560,39.1795426514227,19.1799933892524,39.6587732171923,57.8328185701095,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_02.csv.gz
2011,3,1032300,33300,31,0,1000680,31620,42.759080253424,21.0000003129244,43.0520900374055,62.4142876228047,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_03.csv.gz
2011,4,999000,33300,30,0,968400,30600,46.0566852102042,24.3356433195631,45.9898529038309,69.2069026031503,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_04.csv.gz
2011,5,1032300,33300,31,0,1000680,31620,45.6581535909665,16.445271140576,46.5058154326796,70.4038541959523,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_05.csv.gz
2011,6,999000,33300,30,0,968400,30600,48.1893849457844,18.9000002816319,48.8000007271767,79.4603211035682,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_06.csv.gz
2011,7,1032300,33300,31,0,1000680,31620,47.6368273671323,18.1250002700835,48.1804620116882,79.7306406438615,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_07.csv.gz
2011,8,1032300,33300,31,0,1000680,31620,45.7610510589447,19.6723395366395,46.1038501403099,77.50137073873,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_08.csv.gz
2011,9,999000,33300,30,0,968400,30600,38.5831949460263,12.7349980158532,36.9556491070516,76.0197222595427,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_09.csv.gz
2011,10,1032300,33300,31,0,1000680,31620,36.1141178121912,10.5239937334621,35.333333859841,66.5292444174405,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_10.csv.gz
2011,11,999000,33300,30,0,968400,30600,30.1432743140765,8.27209164074746,30.1037622410338,50.2961579331965,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_11.csv.gz
2011,12,1032300,33300,31,0,1000680,31620,24.6278256003215,6.00000008940697,24.8500003702939,40.7516148973635,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2011_12.csv.gz
