date,pm25_rows,pm25_zips,pm25_missing,pm25_nearest_fill,pm25_mean,pm25_p50,pm25_p99,o3_rows,o3_zips,o3_missing,o3_nearest_fill,o3_mean,o3_p50,o3_p99
2006-10-23,33300,33300,0,1064,6.29084615132248,6,16.3274576003187,33300,33300,0,1020,30.9638189543331,30.2585634229229,57.4553089471979
2008-05-20,33300,33300,0,1064,8.66294253946214,8.1,22.3500714285714,33300,33300,0,1020,46.2332558469239,46.1000006869435,66.5187660228524
2014-07-27,33300,33300,0,1064,10.1916742037207,10.0863133248191,19,33300,33300,0,1020,40.2304885998119,40.3942816476734,66.9413657033865
2014-12-07,33300,33300,0,1064,8.0778787354034,7.12,19.9906660308984,33300,33300,0,1020,27.1084662643305,27.8621581532738,41.5881740342694
