term,estimate,std.error,statistic,p.value,conf.low,conf.high
no2_prior_10ppb,1.1321106290574552,0.02584263981055125,4.801510401600626,1.5747332762858776e-6,1.0761964942711628,1.1909298006892883
age,1.0003942504538839,0.001091506339499808,0.3611273185778627,0.7180042720415563,0.9982563815152877,1.002536697859178
sexM,1.1383401312116705,0.027755469360004746,4.66831147540856,3.0368526089681834e-6,1.078068976217236,1.2019808406636587
raceBLACK,0.6337955138399466,0.08177342389788383,-5.576737382489215,2.4507141370073503e-8,0.5399375060393031,0.7439689757992134
raceMULTI,0.48271172929462164,0.262610708000956,-2.7734422667244245,0.0055466681368465725,0.28850491208126433,0.8076486875653992
raceMissing,0.2146983111552405,0.5829875537924996,-2.639029650268919,0.008314370865661334,0.0684839375819992,0.6730828635213943
raceNATIVE,0.8228560975236802,0.2149967445645447,-0.906869288247824,0.3644759237158538,0.5399062201692996,1.2540921588560008
racePACIFIC,1.1470568283966773,0.38681250101488796,0.35469221342514284,0.7228201849512481,0.5374394434943875,2.448163013523187
raceWHITE,0.654698523178146,0.0713036124143322,-5.940518368119928,2.841222197440029e-9,0.5693084322293358,0.7528962017533921
zcta_svi_proxy,1.1767728886524231,0.08044053715595677,2.0235550084576706,0.04301595825841756,1.00512840158602,1.377728884471141
concurrent_listings,0.6502762057118678,0.17613987591062022,-2.443274541106173,0.014554660515227781,0.46043393946297245,0.9183926454427438
no_open_listing,0.002902785209810118,0.48340931486209154,-12.085171729439978,1.2650556904210466e-33,0.001125475762592937,0.007486755605362557
