term,estimate,std.error,statistic,p.value,conf.low,conf.high
pm25_prior_5ug,1.0368189274365702,0.011534958193254214,3.1345845795778025,0.001720976338781487,1.013641405829874,1.0605264170425406
age,1.020756826571273,4.8284935813158817e-4,42.54813359205234,0,1.0197912725928249,1.0217232947509995
sexM,0.915856361962724,0.010087964376797088,-8.712930915033892,2.961171304600811e-18,0.8979258526292135,0.934144922202128
raceBLACK,1.2834690660240105,0.030483066842026584,8.187057459313886,2.6769038815594553e-16,1.2090330484551086,1.3624878538642442
raceMULTI,1.159069019644982,0.08045475683042663,1.8347841623174463,0.06653767617736422,0.9899792336773415,1.357039568709418
raceMissing,1.5192103582258705,0.13485586899083635,3.101019642919116,0.0019285549675658892,1.1663486446614884,1.9788252192899263
raceNATIVE,1.341789322217489,0.056391035158230275,5.213666276655582,1.8514442082431462e-7,1.2013905052714127,1.4985956500547926
racePACIFIC,1.297958128990034,0.12869762656183256,2.0263960310041234,0.042724217358224494,1.0085862993181431,1.670353152477137
raceWHITE,1.1630654212548388,0.025369053275381262,5.9544643810102045,2.60924946246722e-9,1.1066491804824492,1.2223577245401023
zcta_svi_proxy,1.3848979255284386,0.028253552674473537,11.525150153525807,9.854026052886219e-31,1.3102926264885568,1.4637510929698594
concurrent_listings,0.7519092780431125,0.04268098999367433,-6.68071671374943,2.377764727393024e-11,0.6915686841970494,0.8175146956859948
no_open_listing,0.019413629024379986,0.13229908605822754,-29.794460793211368,4.608530147348708e-195,0.014979369722147117,0.02516053738489515
