term,estimate,std.error,statistic,p.value,conf.low,conf.high
o3_prior_10ppb,1.0003273339858414,0.035955061981369364,0.009102485317088268,0.9927373677918868,0.9322601744470419,1.0733642845064646
age,1.0032858255353998,7.309743140028846e-4,4.48776235234285,7.197515105012035e-6,1.0018494638302855,1.0047242465668123
sexM,0.9564668816128412,0.02326974727875047,-1.9127459668302083,0.05578058145113951,0.9138242781615291,1.0010993551875038
raceBLACK,0.8751216623527908,0.06727159938532719,-1.982892644444131,0.04737942246388537,0.767020100293043,0.9984587413374442
raceMULTI,0.862954094702516,0.13664751520419047,-1.0786422408794698,0.28074724314664834,0.6601963485597512,1.1279822604114884
raceMissing,0.8320654149019338,0.30937011738314046,-0.5942533142065453,0.552342698869089,0.45375471351949287,1.525786584795852
raceNATIVE,1.206049340375771,0.15714056332591314,1.1922447388536848,0.23316529572144115,0.8863531357160012,1.6410558645407562
racePACIFIC,1.075440189360262,0.20820119695598788,0.34932583147555835,0.7268447077688865,0.7150972072516089,1.6173627713306025
raceWHITE,0.9149493933093067,0.06421422148961951,-1.3842186517701822,0.1662915138677135,0.8067478730389414,1.0376629679402456
zcta_svi_proxy,1.1395730057650326,0.059209866455754837,2.2066193308141404,0.02734066529399252,1.0147115958656596,1.2797987534186803
concurrent_listings,0.37165292806119415,0.22433266723383466,-4.412174390390049,1.0233763082935517e-5,0.23943368313092728,0.5768858296388026
no_open_listing,9.8199264851423e-4,0.6206483484671694,-11.159180158911271,6.45843964420934e-29,2.909453392876899e-4,0.003314401131487016
