term,estimate,std.error,statistic,p.value,conf.low,conf.high
no2_prior_10ppb,0.9187857011311149,0.005667600862493639,-14.945013400041644,1.678574082368994e-50,0.9086360369277825,0.9290487393139659
age,1.044124894169866,2.694628717584405e-4,160.24141824967808,0,1.0435735982265546,1.0446764813501515
sexM,1.0841921172201878,0.005944407554392636,13.598515324252762,4.086447038062415e-42,1.0716336850084238,1.096897721195796
raceBLACK,1.087067129761435,0.013365723808656887,6.246078726268837,4.2088509649075627e-10,1.0589597155917425,1.1159205843325464
raceMULTI,1.1384794397262687,0.04382259035663582,2.9595134886670706,0.0030812521271528304,1.0447763553156992,1.2405864930660557
raceMissing,1.4111184293328973,0.16522618394106484,2.0843100896111033,0.03713197017237953,1.0207577385507438,1.9507618178139863
raceNATIVE,1.3383093651980953,0.03087829709350692,9.437280454453317,3.825799447533312e-21,1.259716630724649,1.421805438852243
racePACIFIC,1.3190240248545473,0.04516559142266375,6.130598079062493,8.754932460994432e-10,1.2072791068044526,1.4411119751327688
raceWHITE,1.242654819732623,0.012295334482579051,17.669309845994096,7.22757040401057e-70,1.2130667555402388,1.2729645701295416
zcta_svi_proxy,1.29543249037018,0.01708979620062225,15.146149535974736,8.033752129089637e-52,1.252760133385293,1.3395583818363448
concurrent_listings,0.46239501348682654,0.014873261676380459,-51.86056444423459,0,0.4491102827141031,0.4760727080336974
no_open_listing,2.6208839630370334e-4,0.3783424995923954,-21.797257060782375,2.4634377103591735e-105,1.248538888361941e-4,5.501657026251492e-4
