term,estimate,std.error,statistic,p.value,conf.low,conf.high
pm25_prior_5ug,1.3143887666241885,0.02637052762453525,10.366563202908738,3.5195598739190586e-25,1.2481799583110116,1.3841095735630948
age,1.003414491008887,7.315210329615104e-4,4.659708629753939,3.166573007501862e-6,1.0019768714305195,1.004854173259668
sexM,0.9564030234170634,0.023266866763574354,-1.9158523839272559,0.05538388779552383,0.913768425838425,1.0010268656000167
raceBLACK,0.8823089565960556,0.06727545719545645,-1.8611986987152238,0.06271612208448503,0.7733137191077997,1.0066666032871736
raceMULTI,0.8672000111503497,0.136748526450092,-1.0419537170726412,0.29743313751338646,0.6633133193507134,1.1337566085289825
raceMissing,0.8832545083699437,0.3094708928102379,-0.4011423734621239,0.6883153051022046,0.48157480929780766,1.619973701891434
raceNATIVE,1.246956426335475,0.15701703293519187,1.4056164427979918,0.15983805076340252,0.9166385903028236,1.6963068603359344
racePACIFIC,1.0802271386948945,0.20829396097068612,0.3704924149988511,0.711015627074326,0.7181496330500582,1.62485729640639
raceWHITE,0.9193368933189708,0.06415569290997107,-1.3109146380330825,0.18988660480563946,0.8107095035131118,1.0425193238205421
zcta_svi_proxy,1.0796441651466722,0.058869040261143785,1.301728545102271,0.19300919792129514,0.9619914764588441,1.2116859159979498
concurrent_listings,0.3819817334199568,0.22427980581955315,-4.290990382636375,1.7787801927874404e-5,0.24611341033661938,0.592856945368998
no_open_listing,9.881885547836972e-4,0.6206094402809054,-11.149745047980883,7.18118290044398e-29,2.9280339385239705e-4,0.00333505908848091
