term,estimate,std.error,statistic,p.value
pm25_prior_5ug,-0.14350848638236635,0.029114070285255988,-4.929179773775646,8.257556416333161e-7
age,0.04402591688192345,7.465175065325053e-4,58.97506287082157,0
sexM,0.03972977823270163,0.016328589320347735,2.433142107578926,0.014968424895382018
raceBLACK,0.10243469460011426,0.03780078728564646,2.7098561155896954,0.006731240171792457
raceMULTI,0.29229542576257983,0.09960072379902754,2.9346717033138034,0.003339007577936719
raceMissing,-6.8771679149694425,185.7078338065419,-0.03703219069440883,0.9704593388739658
raceNATIVE,0.40158417519079403,0.08441911150954294,4.757029160931148,1.9646279838556483e-6
racePACIFIC,0.36199688443799194,0.12517962619387998,2.8918195032578704,0.003830179233920595
raceWHITE,0.3009796427879506,0.034534424845211506,8.715351251308997,2.898585549969191e-18
zcta_svi_proxy,0.35684176860700995,0.04556075340196913,7.832218345001892,4.7933613686243875e-15
