term,estimate,std.error,statistic,p.value
no2_prior_10ppb,0.1928736859323209,0.07250715308361744,2.6600642520041182,0.007812574613226054
age,0.012961234426382563,0.002324998625033077,5.57472778126833,2.4791722659436165e-8
sexM,0.1000055061225434,0.054571998800132644,1.8325424818835905,0.0668706385904028
raceBLACK,-0.4965042124954074,0.14140066495216913,-3.5113286961087296,4.4587272287126473e-4
raceMULTI,-0.8987663100271146,0.5186123587631568,-1.7330213884038366,0.08309186729753916
raceNATIVE,0.10197288137983734,0.3217283923977947,0.3169533177344043,0.7512790243527242
racePACIFIC,-1.3231098603570925,1.0179763944051712,-1.2997451292868323,0.1936883373139427
raceWHITE,-0.6513920490829429,0.12188555470116162,-5.344292444498633,9.077091816944912e-8
zcta_svi_proxy,-1.1193478177932784e-4,0.15884391488837057,-7.046841036245633e-4,0.9994377434800089
