term,estimate,std.error,statistic,p.value
no2_prior_10ppb,-0.08070179451185709,0.028488532063873827,-2.832781777977064,0.004614487603280154
age,0.024419966077677397,0.001012190331150922,24.125863808549138,1.3383708860414376e-128
sexM,-0.15330914332250425,0.020779804024408065,-7.377795437455837,1.6093197556379382e-13
raceBLACK,0.07142426724667468,0.06076961054056298,1.1753286981985815,0.2398632373393824
raceMULTI,-0.0011274482397868805,0.15722285718818524,-0.007171019913710132,0.9942784029631324
raceNATIVE,0.17480752626578916,0.10981866014140303,1.5917834550221808,0.11143336892930299
racePACIFIC,-0.3863314655589336,0.3207509752502778,-1.2044592078246503,0.22841213951361886
raceWHITE,0.04686030279127014,0.04973897149774029,0.9421244826785182,0.3461289112372255
zcta_svi_proxy,0.3919739963178083,0.05955293287750919,6.581942775581445,4.643403158944189e-11
