term,estimate,std.error,robust.se,statistic,p.value
no2_prior_10ppb,-0.167824398641188,0.023821507327680184,0.02384595908816541,-7.037854842436517,1.9522190128006294e-12
age,0.0443551916162915,7.204802188673157e-4,7.081600355730432e-4,62.634417911481364,0
sexM,0.06116547596850345,0.016313289439588746,0.016270187678743702,3.759358968453296,1.7034927227476331e-4
raceBLACK,0.1138552863992285,0.03778176985521495,0.03752068660609936,3.034467028668931,0.0024096109241080635
raceMULTI,0.23025115178013644,0.09950933882706343,0.09820048797863362,2.3447047618565224,0.019042151386555833
raceMissing,-6.950932516671164,205.5670983372861,1.412702365282317,-4.920309250903022,8.640757556463735e-7
raceNATIVE,0.3392555930195639,0.08467285070184868,0.08566657829504963,3.9601861049137788,7.489137563709937e-5
racePACIFIC,0.3208027231921703,0.12509117899369876,0.12464647073389654,2.5737008140169566,0.010061723826497485
raceWHITE,0.18288794892543242,0.034636918641714136,0.034417798211325255,5.3137608571733885,1.0738552740159678e-7
zcta_svi_proxy,0.5487583932798797,0.04645812874208201,0.04619327804736217,11.87961574662953,1.510601556665858e-32
