term,estimate,std.error,robust.se,statistic,p.value
pm25_prior_5ug,0.020702075773684863,0.03482572169619324,0.03495408534444168,0.592264840280733,0.553673256129555
age,0.028613019745085424,9.904494275672926e-4,0.0010372346963642763,27.585868314451897,1.644177759233944e-167
sexM,-0.18024057405687452,0.02069372325049905,0.020598148518758456,-8.750328889644225,2.1273183577974654e-18
raceBLACK,0.03188928059206693,0.06068456539680131,0.06111164503098943,0.5218200324323788,0.6017956405347488
raceMULTI,-0.0060402895229634155,0.1554787107543516,0.1517602984628158,-0.0398015132030292,0.968251369827334
raceNATIVE,0.18247293296661343,0.10915418006018726,0.11090542480749224,1.6453021417423617,0.09990751840068535
racePACIFIC,-0.4626279733769692,0.3202331917599293,0.31549415755885596,-1.4663598747963034,0.1425502716135236
raceWHITE,0.04857091621969328,0.049444405262757056,0.04986526947379314,0.9740429908880748,0.3300351937889952
zcta_svi_proxy,0.4391545813408337,0.057883210248161475,0.05773443276063977,7.606458751600062,2.817080812407396e-14
