term,estimate,std.error,statistic,p.value
o3_prior_10ppb,0.12379968487241763,0.02968213428649468,4.170848486752729,3.0346758967188478e-5
age,0.04408683181337748,7.467169245695042e-4,59.04089001169263,0
sexM,0.039748941599568564,0.016328216457133775,2.434371304662752,0.01491768362642642
raceBLACK,0.09988944135068546,0.03780613123863067,2.642149251405483,0.008238174392540687
raceMULTI,0.29042160827879554,0.09961358231014776,2.9154820210617998,0.0035513956829432702
raceMissing,-6.834110718092476,185.9524580599249,-0.0367519246015566,0.9706828067373297
raceNATIVE,0.4094052747274041,0.08425584065239056,4.859072932598985,1.1793668625449282e-6
racePACIFIC,0.3777343823062317,0.12518704589986984,3.017359979948408,0.0025498680980160777
raceWHITE,0.2939376953246104,0.03460381539041631,8.494372427094204,1.9900523890804056e-17
zcta_svi_proxy,0.3444970751273541,0.04530826331627012,7.603404984265768,2.8843904678546865e-14
