term,estimate,std.error,statistic,p.value
no2_prior_10ppb,-0.21068633491428734,0.023937352370194856,-8.801572189605208,1.3491261533816172e-18
age,0.04396910174670909,7.467436588186769e-4,58.88111834289522,0
sexM,0.03918214827595319,0.01632884049379373,2.399567090562588,0.01641447153183023
raceBLACK,0.09568173243494416,0.037810290127548205,2.530573875846337,0.011387610130773612
raceMULTI,0.2719356440477389,0.0996554531964774,2.7287582899412395,0.006357328256267598
raceMissing,-6.9127973529148905,185.82832373174742,-0.03719991233894927,0.9703256085087237
raceNATIVE,0.3462755214634145,0.08485573855333357,4.0807554959382415,4.488955604868195e-5
racePACIFIC,0.3594017490693793,0.12517771233945718,2.8711321077249985,0.004090045552627537
raceWHITE,0.2763959278774655,0.03467781284606776,7.9703967809148315,1.5816572201098182e-15
zcta_svi_proxy,0.4292175118934959,0.046678088825200255,9.195267473371207,3.740628120207082e-20
