term,estimate,std.error,robust.se,statistic,p.value
o3_prior_10ppb,0.08875839890361774,0.029630452352124012,0.030012435591342354,2.9573874014150903,0.0031025804134758765
age,0.04445084417096907,0.00072036139504808765,7.07903970675551e-4,62.79219500428814,0
sexM,0.061601988546541815,0.016312818966112842,0.016269893061540256,3.786256511553863,1.529338065534732e-4
raceBLACK,0.11706745889913044,0.03778570859205407,0.03751894926404406,3.1202222129211106,0.0018071465681238712
raceMULTI,0.24487550025267896,0.09948661411153467,0.09816698954996239,2.494479064452199,0.012614216747592418
raceMissing,-6.891641250380657,205.6986959165893,1.4127435402602846,-4.87819696497139,1.0705998821386307e-6
raceNATIVE,0.3886261658776745,0.08417472392364951,0.08508837012142689,4.567324128116199,4.939898424790533e-6
racePACIFIC,0.33463114216085005,0.1250919941398387,0.12469869063263048,2.683517689425406,0.007285212106099097
raceWHITE,0.1980256934889269,0.03457149255915191,0.03435760112016062,5.7636647214210734,8.230684474410532e-9
zcta_svi_proxy,0.4801287048745917,0.04512560755000262,0.044550108012165225,10.777273643051185,4.4075600148019706e-27
