term,estimate,std.error,robust.se,statistic,p.value
o3_prior_10ppb,0.03590525217472578,0.08603545483501754,0.08585658397248047,0.41820033494734027,0.6758006509100294
age,0.0060610704401514465,0.0014151966215765201,0.001540764221621347,3.933807882541158,8.361062080178511e-5
sexM,0.13212372536497904,0.04586416164137841,0.04520035773156459,2.9230681347619867,0.003466006630202769
raceBLACK,-0.012484187727074478,0.12672691183384846,0.12688642122202207,-0.09838868183720005,0.9216236616595191
raceMULTI,0.20188560471524936,0.24003651646809168,0.2400777622749302,0.8409175543882974,0.40039412341383146
raceNATIVE,0.10763620694614297,0.35754146683382204,0.36203359640286914,0.2973099955794322,0.7662298511186721
racePACIFIC,0.5140147607381468,0.33884842463578224,0.3367259726660944,1.5265076129065227,0.12688349596442217
raceWHITE,-0.004774244234370139,0.12023959964281133,0.1207641168349923,-0.03953363266750415,0.9684649394763485
zcta_svi_proxy,0.30187764099988573,0.11552801804996113,0.11547454525839729,2.6142353739031785,0.00894274056206946
