term,estimate,std.error,robust.se,statistic,p.value
pm25_prior_5ug,-0.09979725807251011,0.02904086192121024,0.029793301780272567,-3.3496541876600663,8.091250825469598e-4
age,0.04441204787770388,7.203095959591976e-4,7.077992409787037e-4,62.74667350065744,0
sexM,0.06153654578550415,0.016312960664190846,0.016270065169463915,3.782194179590476,1.554520195871878e-4
raceBLACK,0.11863356244179449,0.03777677963932591,0.03750791396844011,3.162894170590641,0.0015620910629018578
raceMULTI,0.24724981953571307,0.0994604996120884,0.09816890585198178,2.5186164334816383,0.011781692311533433
raceMissing,-6.917071213368643,205.48168722997212,1.4127060451562314,-4.896327326612156,9.764436963414396e-7
raceNATIVE,0.38438450212383685,0.08427161207694128,0.08522855121213009,4.510043836919401,6.481423081355466e-6
racePACIFIC,0.3247080401911361,0.12509388831745874,0.12466705827582748,2.604601766352065,0.0091981100640958
raceWHITE,0.2029384577500693,0.034492043024724,0.03426470871833256,5.922666946282595,3.167619632332143e-9
zcta_svi_proxy,0.488540248669731,0.04537220508914699,0.04490342032158803,10.879800361997313,1.4387772651084744e-27
