analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value,lower_year,upper_year
baseline_followup_band_1,HR,pm25,74028,74028,6993,1.3519900768212123,1.2742849168581847,1.4344336526636075,1.7596108297040044e-23,0,1
baseline_followup_band_2,HR,pm25,18768,18768,1922,1.098449929698862,0.9678378527914284,1.246688424693654,0.14599507067420156,1,3
baseline_followup_band_3,HR,pm25,6131,6131,696,1.048644318704375,0.8409777590249393,1.3075909503551475,0.6731430273535924,3,5
baseline_followup_band_4,HR,pm25,2665,2665,399,0.9057984220268682,0.6714237822099128,1.221986475733524,0.5172136813999064,5,Inf
baseline_followup_band_1,HR,no2,79381,79381,7225,1.2465848150659213,1.1899416159153766,1.3059243246632102,1.550912849925034e-20,0,1
baseline_followup_band_2,HR,no2,18768,18768,1922,1.1071966129650168,1.0075186487641186,1.216736128174845,0.03438033573390248,1,3
baseline_followup_band_3,HR,no2,6131,6131,696,0.9494200354935594,0.8121838009459085,1.1098453364211147,0.5146629809842187,3,5
baseline_followup_band_4,HR,no2,2665,2665,399,0.9412701673992034,0.7713936901664985,1.1485568774155923,0.5511608377301636,5,Inf
baseline_followup_band_1,HR,o3,74028,74028,6993,1.0056163480223541,0.9265197969678751,1.0914653337352054,0.8934055086574897,0,1
baseline_followup_band_2,HR,o3,18768,18768,1922,0.9643803849208865,0.8152793031136144,1.1407495851646212,0.6721133724974148,1,3
baseline_followup_band_3,HR,o3,6131,6131,696,1.1345682854226808,0.8583423030847916,1.499687466947322,0.37513142109671566,3,5
baseline_followup_band_4,HR,o3,2665,2665,399,0.797771744517819,0.5591980462555255,1.1381294348445974,0.21266851616284474,5,Inf
baseline_followup_band_1,KI,pm25,564179,564179,22264,1.0152793482528204,0.9829921955990656,1.0486269978577758,0.35776634657884926,0,1
baseline_followup_band_2,KI,pm25,397492,397492,42838,0.9866205380526364,0.9633178527327257,1.0104869159705596,0.2693686862525344,1,3
baseline_followup_band_3,KI,pm25,208520,208520,29662,0.889616291652625,0.8646697882243638,0.9152825242095913,7.628757056380643e-16,3,5
baseline_followup_band_4,KI,pm25,100377,100377,28535,0.8361696737849916,0.812187785114719,0.8608596880817929,1.91590722392341e-33,5,Inf
