analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value,lower_year,upper_year
baseline_followup_band_1,KI,no2,600141,600141,22906,0.9543343487281651,0.9300362590949147,0.9792672492669603,3.821354192526781e-4,0,1
baseline_followup_band_2,KI,no2,397492,397492,42838,0.9284663669097819,0.910766586499677,0.9465101237362482,4.0963301759631345e-14,1,3
baseline_followup_band_3,KI,no2,208520,208520,29662,0.8784169820315941,0.8585739044995189,0.8987186662414176,1.0023084920547789e-28,3,5
baseline_followup_band_4,KI,no2,100377,100377,28535,0.8567724321515685,0.8380641820362911,0.8758983097348585,7.36964743293495e-43,5,Inf
baseline_followup_band_1,KI,o3,564179,564179,22264,1.0863723200108626,1.0412845294930697,1.133412419236023,0.00012787720787517785,0,1
baseline_followup_band_2,KI,o3,397492,397492,42838,1.0551536991167265,1.0235026975052601,1.087783482616556,5.503520497156924e-4,1,3
baseline_followup_band_3,KI,o3,208520,208520,29662,1.0755113519517738,1.0400187556818064,1.1122151998295613,2.121072920877001e-5,3,5
baseline_followup_band_4,KI,o3,100377,100377,28535,1.0199035763610782,0.989587091496494,1.0511488215767648,0.2005172989388588,5,Inf
baseline_followup_band_1,LI,pm25,208592,208592,26623,1.0606798314126913,1.0309879693863144,1.0912268020307991,4.769989055915544e-5,0,1
baseline_followup_band_2,LI,pm25,63753,63753,9903,0.9809703220461834,0.9366239417235009,1.0274163726421937,0.4156324747228568,1,3
baseline_followup_band_3,LI,pm25,22448,22448,3131,0.9487459643392055,0.8743044630488483,1.0295256891530227,0.20694486380667226,3,5
baseline_followup_band_4,LI,pm25,10542,10542,2444,0.9259807147960983,0.8399686574321169,1.0208003317595078,0.12208681430997777,5,Inf
baseline_followup_band_1,LI,no2,222559,222559,27369,1.0298801363858547,1.00704710304564,1.0532308688584522,0.01005702062631617,0,1
baseline_followup_band_2,LI,no2,63753,63753,9903,0.960372546442412,0.9261325235773806,0.9958784563548707,0.029040508442942464,1,3
baseline_followup_band_3,LI,no2,22448,22448,3131,0.9249888948119297,0.8690701969283212,0.9845055768216192,0.014254692393821464,3,5
baseline_followup_band_4,LI,no2,10542,10542,2444,0.9180831355093512,0.8584515553492732,0.9818569707917245,0.012619818967611248,5,Inf
baseline_followup_band_1,LI,o3,208592,208592,26623,1.0379591646155653,1.00038430035445,1.0769453569270517,0.04765997340286442,0,1
baseline_followup_band_2,LI,o3,63753,63753,9903,1.0353763914468783,0.9784338803042548,1.0956328205153811,0.2283749830808138,1,3
baseline_followup_band_3,LI,o3,22448,22448,3131,1.052545055674926,0.95584472611078,1.1590283065466596,0.29763578367145627,3,5
baseline_followup_band_4,LI,o3,10542,10542,2444,0.973210526317836,0.8771211020357241,1.0798266354983481,0.6086685895350504,5,Inf
baseline_followup_band_1,LU,pm25,46788,46788,4223,1.139369179688833,1.0559769908946726,1.2293469827642185,7.669823242787498e-4,0,1
baseline_followup_band_2,LU,pm25,7830,7830,961,1.125478800387387,0.957908349456788,1.3223629701523691,0.1506770174863975,1,3
baseline_followup_band_3,LU,pm25,2233,2233,245,1.0682250727300464,0.7730684673703224,1.4760721128501162,0.6891561586071693,3,5
baseline_followup_band_4,LU,pm25,935,935,153,1.3621918679141116,0.8893940574532865,2.0863268305666596,0.15529714623374608,5,Inf
baseline_followup_band_1,LU,no2,50401,50401,4316,1.1493799078065223,1.0846352322181778,1.2179893601350318,2.521379388155069e-6,0,1
baseline_followup_band_2,LU,no2,7830,7830,961,1.0455032480383266,0.9266297123237869,1.1796265834358903,0.46993770990318484,1,3
baseline_followup_band_3,LU,no2,2233,2233,245,0.9485151214997846,0.7485825035537012,1.2018460643185613,0.6616400314175936,3,5
baseline_followup_band_4,LU,no2,935,935,153,1.350750389734642,0.9786799899009415,1.8642729331300205,0.06741835351527829,5,Inf
baseline_followup_band_1,LU,o3,46788,46788,4223,0.9727640665748337,0.8826568503517676,1.0720699996177314,0.5776775099854539,0,1
baseline_followup_band_2,LU,o3,7830,7830,961,0.9160984470332996,0.7487073893383115,1.1209136928627337,0.3946497577258437,1,3
baseline_followup_band_3,LU,o3,2233,2233,245,1.0588871515635894,0.7193192182925174,1.5587544044881738,0.7717918609613331,3,5
baseline_followup_band_4,LU,o3,935,935,153,0.9722875812869883,0.5707404713224933,1.6563450258475567,0.917646695442636,5,Inf
