analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value,adult_heart_only
listing_Era 1,HR,pm25,38247,38247,6425,1.172354626581461,1.0958239591447114,1.2542300786521274,3.899046220311427e-6,TRUE
listing_Era 2,HR,pm25,25140,25140,1893,0.940349445830212,0.777185501525239,1.137768368732842,0.5270328653138499,TRUE
listing_Era 1,HR,no2,38247,38247,6425,1.074959821480744,1.0211387832774348,1.1316175986275931,0.005812695779925426,TRUE
listing_Era 2,HR,no2,29917,29917,2083,0.8546996768019162,0.7016221880277543,1.0411750796803518,0.11893904846763775,TRUE
listing_Era 1,HR,o3,38247,38247,6425,0.9739506472120315,0.8939958561536971,1.0610562193049513,0.5458884741261397,TRUE
listing_Era 2,HR,o3,25140,25140,1893,0.8842867645774618,0.7211034521300552,1.08439791779813,0.23740455974825747,TRUE
listing_Era 1,KI,pm25,251552,251552,70830,0.9708152575753992,0.9521749913390544,0.9898204352287864,0.002750389887794992,FALSE
listing_Era 2,KI,pm25,181165,181165,38928,0.8940428360077634,0.8633361694266408,0.9258416604364489,3.3633808247186173e-10,FALSE
listing_Era 3,KI,pm25,131462,131462,13541,1.0230110777573889,0.961089786507044,1.0889218467484607,0.475135687088494,FALSE
listing_Era 1,KI,no2,251552,251552,70830,0.9407325015716533,0.9275768626417167,0.9540747243229696,1.850161388647142e-17,FALSE
listing_Era 2,KI,no2,181165,181165,38928,0.8129036134264961,0.7890382012550643,0.8374908637766199,2.8478302504704775e-42,FALSE
listing_Era 3,KI,no2,167424,167424,14183,0.9099125452003254,0.8260030958747817,1.002345928299579,0.05581263716452217,FALSE
listing_Era 1,KI,o3,251552,251552,70830,1.0495020227429281,1.0282232810364422,1.0712211209915798,3.780304157800866e-6,FALSE
listing_Era 2,KI,o3,181165,181165,38928,1.092427825885322,1.0542402878090233,1.13199862362376,1.1190571553112574e-6,FALSE
listing_Era 3,KI,o3,131462,131462,13541,1.1420307362564937,1.0624382213126642,1.2275859211306808,3.1435372789809436e-4,FALSE
listing_Era 1,LI,pm25,99996,99996,25278,0.9410176919546119,0.9124050717986487,0.9705275912440369,1.1392783635117164e-4,FALSE
listing_Era 2,LI,pm25,46465,46465,8872,0.9628724390024139,0.8923391693000956,1.0389808782210521,0.32968311833732555,FALSE
listing_Era 3,LI,pm25,41926,41926,5970,1.020929474694715,0.9377509513518221,1.1114859342961962,0.6328585378805222,FALSE
listing_Era 4,LI,pm25,20205,20205,1981,0.7741311282775595,0.6446724669705903,0.9295867816170068,0.006107114993533964,FALSE
listing_Era 1,LI,no2,99996,99996,25278,0.9385434718615235,0.9181938800670447,0.9593440641420561,1.4192460830349935e-8,FALSE
listing_Era 2,LI,no2,46465,46465,8872,0.8951837212782527,0.8425554750116981,0.9510992671793562,3.4123021277823637e-4,FALSE
listing_Era 3,LI,no2,41926,41926,5970,0.9028900341088003,0.794855551964343,1.0256082525665753,0.11616378626813759,FALSE
listing_Era 4,LI,no2,34172,34172,2727,0.9316051752501517,0.7665633865144627,1.1321806100068563,0.47639529241635276,FALSE
listing_Era 1,LI,o3,99996,99996,25278,1.0496034460833354,1.0146743840375363,1.0857349030989818,0.00505369439899616,FALSE
listing_Era 2,LI,o3,46465,46465,8872,1.061430819909984,0.9843787768693761,1.1445140955169961,0.12102322454258106,FALSE
listing_Era 3,LI,o3,41926,41926,5970,1.01009562402089,0.921508152455216,1.1071992873288616,0.8301641493654832,FALSE
listing_Era 4,LI,o3,20205,20205,1981,1.2053893396382676,0.9992049621015936,1.454119540256896,0.05097925255656076,FALSE
listing_Era 1,LU,pm25,25724,25724,3943,1.1227754115127186,1.0373813978747106,1.2151987950431768,0.004114165116775569,FALSE
listing_Era 2,LU,pm25,15009,15009,1352,0.9732966728478296,0.7921872061843239,1.1958113006387514,0.7966726197843357,FALSE
listing_Era 3,LU,pm25,6055,6055,287,0.8900258231372346,0.5315538144585357,1.49024603775636,0.6577620544781373,FALSE
listing_Era 1,LU,no2,25724,25724,3943,1.043549245743641,0.9832985542824239,1.107491741495371,0.1600557341771224,FALSE
listing_Era 2,LU,no2,15009,15009,1352,1.034453781984699,0.8696893182433721,1.2304332186393419,0.7019625868096053,FALSE
listing_Era 3,LU,no2,9668,9668,380,1.0670168910787952,0.62196618587459,1.8305256325896528,0.8137794333369609,FALSE
listing_Era 1,LU,o3,25724,25724,3943,1.0113112909433617,0.9197596288195732,1.1119758849408676,0.8162873029442016,FALSE
listing_Era 2,LU,o3,15009,15009,1352,0.8488812901395757,0.6897689190269819,1.0446968903231235,0.1218481455786306,FALSE
listing_Era 3,LU,o3,6055,6055,287,0.9278450216237571,0.5278694856384383,1.6308887093762743,0.7946740385178769,FALSE
