zip,waitlist_candidates,waitlist_episodes,count_bin
00001,4,4,<50
00007,1,1,<50
00009,25,25,<50
00018,1,1,<50
00068,1,1,<50
00078,1,1,<50
00079,1,1,<50
00082,1,1,<50
00092,2,2,<50
00180,1,1,<50
00229,1,1,<50
00238,1,1,<50
00243,4,4,<50
00260,1,1,<50
00276,1,1,<50
00285,1,1,<50
00301,2,2,<50
00334,1,1,<50
00407,1,1,<50
00600,2,2,<50
00601,16,16,<50
00602,80,86,50-99
00603,72,73,50-99
00604,4,4,<50
00605,19,21,<50
00606,8,8,<50
00608,1,1,<50
00610,57,60,50-99
00611,2,2,<50
00612,70,72,50-99
00613,13,13,<50
00614,6,6,<50
00616,14,14,<50
00617,29,29,<50
00618,1,1,<50
00622,12,12,<50
00623,66,70,50-99
00624,31,31,<50
00625,1,1,<50
00627,37,37,<50
00628,2,2,<50
00629,1,1,<50
00631,1,1,<50
00632,2,2,<50
00633,1,1,<50
00637,39,41,<50
00638,30,31,<50
00640,2,2,<50
00641,37,37,<50
00646,43,43,<50
00647,4,4,<50
00650,15,15,<50
00652,7,7,<50
00653,9,9,<50
00656,27,28,<50
00658,1,1,<50
00659,47,47,<50
00660,26,26,<50
00662,64,64,50-99
00664,16,16,<50
00667,33,33,<50
00669,44,44,<50
00670,9,10,<50
00673,1,1,<50
00674,56,57,50-99
00675,1,1,<50
00676,61,62,50-99
00677,21,21,<50
00678,35,36,<50
00679,7,8,<50
00680,93,97,50-99
00681,24,25,<50
00682,22,23,<50
00683,42,43,<50
00684,1,1,<50
00685,78,79,50-99
00687,42,42,<50
00688,21,22,<50
00690,10,10,<50
00691,1,1,<50
00692,39,40,<50
00693,63,65,50-99
00694,17,17,<50
00698,65,68,50-99
00703,43,43,<50
00704,8,8,<50
00705,47,47,<50
00707,19,19,<50
00712,1,1,<50
00714,12,12,<50
00715,5,6,<50
00716,45,45,<50
00717,26,26,<50
00718,23,23,<50
00719,47,47,<50
00720,26,26,<50
00721,2,2,<50
00723,22,22,<50
00725,132,132,100-249
00726,24,25,<50
00727,40,40,<50
00728,51,51,50-99
00729,77,77,50-99
00730,41,41,<50
00731,25,26,<50
00732,12,12,<50
00733,10,10,<50
00734,2,2,<50
00735,20,20,<50
00736,60,61,50-99
00737,22,22,<50
00738,53,53,50-99
00739,58,59,50-99
00740,4,4,<50
00741,9,9,<50
00744,4,4,<50
00745,93,96,50-99
00751,29,29,<50
00754,57,59,50-99
00757,33,34,<50
00764,1,1,<50
00765,10,10,<50
00766,31,33,<50
00767,48,48,<50
00769,56,56,50-99
00771,53,54,50-99
00772,19,19,<50
00773,22,22,<50
00775,2,2,<50
00776,1,1,<50
00777,61,63,50-99
00778,48,49,<50
00780,20,20,<50
00782,14,14,<50
00783,53,53,50-99
00784,48,49,<50
00785,11,11,<50
00786,1,1,<50
00787,1,1,<50
00788,1,1,<50
00791,55,58,50-99
00792,10,10,<50
00793,2,2,<50
00794,49,50,<50
00795,49,51,<50
00797,1,1,<50
00798,2,2,<50
00801,20,20,<50
00802,35,36,<50
00803,18,18,<50
00804,10,10,<50
00805,3,3,<50
00820,10,10,<50
00821,4,4,<50
00822,3,3,<50
00823,11,11,<50
00824,4,4,<50
00830,2,3,<50
00831,7,7,<50
00840,9,9,<50
00841,11,11,<50
00850,2,2,<50
00851,21,21,<50
00861,1,1,<50
00865,1,1,<50
00901,4,4,<50
00902,7,7,<50
00903,1,1,<50
00907,15,15,<50
00908,5,5,<50
00909,2,2,<50
00910,4,4,<50
00911,6,6,<50
00912,9,9,<50
00913,2,2,<50
00914,4,4,<50
00915,19,19,<50
00916,2,2,<50
00917,29,30,<50
00918,26,26,<50
00919,37,37,<50
00920,34,34,<50
00921,41,42,<50
00922,4,4,<50
00923,30,30,<50
00924,60,61,50-99
00925,7,7,<50
00926,145,147,100-249
00927,18,18,<50
00928,11,11,<50
00929,10,10,<50
00931,4,4,<50
00933,1,1,<50
00936,24,25,<50
00939,1,1,<50
00946,1,1,<50
00949,89,90,50-99
00950,12,12,<50
00951,14,14,<50
00952,17,17,<50
00953,80,81,50-99
00954,4,4,<50
00956,94,94,50-99
00957,61,61,50-99
00958,4,4,<50
00959,67,69,50-99
00960,22,22,<50
00961,50,50,50-99
00962,29,29,<50
00963,4,4,<50
00964,1,1,<50
00965,6,6,<50
00966,18,18,<50
00967,1,1,<50
00968,3,3,<50
00969,53,54,50-99
00970,24,24,<50
00971,22,22,<50
00975,1,1,<50
00976,62,63,50-99
00977,12,12,<50
00978,9,9,<50
00979,26,26,<50
00982,21,21,<50
00983,48,48,<50
00984,11,11,<50
00985,68,69,50-99
00986,13,13,<50
00987,63,63,50-99
00988,6,6,<50
01000,1,1,<50
01001,63,66,50-99
01002,34,35,<50
01005,12,12,<50
01007,44,45,<50
01008,1,1,<50
01009,6,6,<50
01010,9,9,<50
01011,4,4,<50
01012,3,3,<50
01013,82,85,50-99
01014,1,1,<50
01015,1,1,<50
01016,1,1,<50
01020,85,88,50-99
01021,1,1,<50
01022,8,9,<50
01025,1,1,<50
01026,2,2,<50
01027,46,49,<50
01028,39,40,<50
01029,3,3,<50
01030,38,39,<50
01031,5,5,<50
01032,2,2,<50
01033,13,13,<50
01034,2,2,<50
01035,16,16,<50
01036,11,11,<50
01037,4,4,<50
01038,5,5,<50
01039,6,6,<50
01040,162,166,100-249
01041,2,2,<50
01046,1,1,<50
01050,4,4,<50
01053,5,5,<50
01054,3,3,<50
01056,53,60,50-99
01057,32,32,<50
01060,29,29,<50
01061,1,1,<50
01062,25,26,<50
01066,1,1,<50
01067,1,1,<50
01068,10,10,<50
01069,26,29,<50
01071,4,4,<50
01072,3,3,<50
01073,16,17,<50
01074,3,3,<50
01075,50,54,50-99
01077,26,28,<50
01079,4,4,<50
01080,7,7,<50
01081,10,10,<50
01082,30,30,<50
01083,8,9,<50
01084,1,1,<50
01085,103,105,100-249
01086,3,4,<50
01088,3,3,<50
01089,100,103,100-249
01092,4,4,<50
01093,4,4,<50
01094,1,1,<50
01095,26,26,<50
01096,3,3,<50
01097,1,1,<50
01098,5,5,<50
01101,5,5,<50
01103,8,8,<50
01104,102,110,100-249
01105,54,55,50-99
01106,36,37,<50
01107,47,49,<50
01108,93,100,50-99
01109,145,152,100-249
01116,1,1,<50
01118,42,44,<50
01119,59,60,50-99
01128,7,7,<50
01129,31,32,<50
01138,2,2,<50
01139,1,1,<50
01150,2,2,<50
01151,29,30,<50
01156,1,1,<50
01168,1,1,<50
01180,1,1,<50
01201,175,183,100-249
01202,4,4,<50
01208,1,1,<50
01210,1,1,<50
01211,1,1,<50
01220,24,24,<50
01222,1,1,<50
01223,9,9,<50
01225,7,7,<50
01226,22,22,<50
01229,1,1,<50
01230,16,17,<50
01234,1,1,<50
01235,7,7,<50
01236,5,5,<50
01237,16,16,<50
01238,22,25,<50
01240,15,15,<50
01242,3,3,<50
01243,1,1,<50
01245,1,1,<50
01247,50,51,50-99
01248,1,1,<50
01253,3,3,<50
01254,4,4,<50
01255,4,4,<50
01256,3,4,<50
01257,14,15,<50
01258,2,2,<50
01259,1,1,<50
01260,1,1,<50
01262,3,3,<50
01266,3,3,<50
01267,12,12,<50
01270,3,3,<50
01297,1,1,<50
01301,58,60,50-99
01302,2,2,<50
01330,7,7,<50
01331,56,58,50-99
01334,1,1,<50
01337,4,4,<50
01338,1,1,<50
01339,3,3,<50
01340,5,5,<50
01341,6,7,<50
01342,5,5,<50
01344,4,5,<50
01349,3,4,<50
01351,4,4,<50
01354,5,5,<50
01360,10,10,<50
01364,35,37,<50
01366,1,1,<50
01368,7,8,<50
01370,10,10,<50
01373,8,8,<50
01375,3,4,<50
01376,19,20,<50
01378,3,3,<50
01379,1,1,<50
01380,1,1,<50
01420,176,181,100-249
01430,21,21,<50
01431,9,9,<50
01432,36,38,<50
01434,1,1,<50
01436,14,15,<50
01440,107,109,100-249
01441,1,1,<50
01446,2,2,<50
01450,36,36,<50
01451,9,9,<50
01452,20,22,<50
01453,157,164,100-249
01457,1,1,<50
01460,22,23,<50
01462,36,36,<50
01463,42,44,<50
01464,22,24,<50
01467,1,1,<50
01468,14,14,<50
01469,25,25,<50
