pollutant,q4_minus_q1,relative_q4_vs_q1,organ,event,Q1,Q2,Q3,Q4
PM2.5,0.00683957287422976,1.0458276529394503,Heart,Death/delisted too sick,0.14924554140415022,0.16034974866564738,0.15430715430018838,0.15608511427837998
PM2.5,-0.008083394257211052,0.9898578050835487,Heart,Transplant,0.79700639987694,0.783555761769098,0.7851007596997511,0.788923005619729
PM2.5,0.007040299454892679,1.049224316940532,Kidney,Death/delisted too sick,0.14302482781829332,0.14841301838934923,0.1534571181940013,0.150065127273186
PM2.5,-0.07952415139093988,0.8491937061536962,Kidney,Transplant,0.5273264753259432,0.5097283288424664,0.4922328691321681,0.44780232393500335
PM2.5,-0.003650928077033988,0.9842105771307317,Liver,Death/delisted too sick,0.23122618902936332,0.2234600897023444,0.21638202690974945,0.22757526095232933
PM2.5,0.005937336717789288,1.0090490749565706,Liver,Transplant,0.6561263716218987,0.6684979894071634,0.6858872699555117,0.662063708339688
PM2.5,-0.004592989169823425,0.9660447617082487,Lung,Death/delisted too sick,0.1352659972626135,0.13266565006811085,0.13489665279655694,0.1306730080927901
PM2.5,0.009033215631199631,1.0107061504319248,Lung,Transplant,0.8437407720578345,0.847282084024097,0.845368034678707,0.8527739876890341
Ozone,-0.006212330556509271,0.9595612918360984,Heart,Death/delisted too sick,0.15362336826711054,0.15801017352345967,0.1614995246354516,0.14741103771060127
Ozone,0.022402226777837764,1.0287449335126937,Heart,Transplant,0.7793452285407085,0.7791547304625263,0.7865155851923272,0.8017474553185463
Ozone,-2.745385896484598e-4,0.9981711340789636,Kidney,Death/delisted too sick,0.15011411525065935,0.15112752105781407,0.15130709332166845,0.1498395766610109
Ozone,-0.006160057646687089,0.9875694080683729,Kidney,Transplant,0.4955562599568647,0.49339117682539,0.5020615291507222,0.4893962023101776
Ozone,-0.007312431388380336,0.9679708895409048,Liver,Death/delisted too sick,0.2283057906874793,0.2305840985200304,0.21963305972906144,0.22099335929909897
Ozone,0.001583645276859058,1.002344135668224,Liver,Transplant,0.6755774839853631,0.6710114444855183,0.6798144114897161,0.6771611292622222
Ozone,-0.012621935953332525,0.909892938333731,Lung,Death/delisted too sick,0.14007710072802723,0.13964173309409098,0.13885234986285783,0.1274551647746947
Ozone,0.0177959741045286,1.021227812406173,Lung,Transplant,0.8383329268235633,0.8377865836711132,0.8421975499566254,0.8561289009280919
NO2,0.004054486670173024,1.0259960165149524,Heart,Death/delisted too sick,0.15596569066037333,0.15609521046667174,0.1600977882191635,0.16002017733054635
NO2,-0.010320399797095758,0.986908272490333,Heart,Transplant,0.7883145894592655,0.7809503905264785,0.7791243392976096,0.7779941896621697
NO2,-0.013073382241067744,0.917010313745312,Kidney,Death/delisted too sick,0.1575302044274113,0.15489374665909117,0.14925524462415593,0.14445682218634356
NO2,-0.02961361172629301,0.9410723509038584,Kidney,Transplant,0.5025418828091688,0.5104573356798681,0.5175793038537941,0.4729282710828758
NO2,0.014561059040552493,1.0676301639713006,Liver,Death/delisted too sick,0.21530421021500976,0.22567048897741135,0.2195445795142768,0.22986526925556225
NO2,-0.015491786438695532,0.9770526543293746,Liver,Transplant,0.6751014544800419,0.6749535256703607,0.6865981763480937,0.6596096680413464
NO2,0.019142572627785598,1.150298456184087,Lung,Death/delisted too sick,0.12736373422451916,0.1310222998203998,0.13279388545246784,0.14650630685230476
NO2,-0.014099289219687616,0.9834161797746578,Lung,Transplant,0.850183433497555,0.8543325453805344,0.8481565385449646,0.8360841442778674
