organ,pollutant,model_stage,estimate,conf.low,conf.high,p.value
Heart,PM2.5,score_year_center_prior_pollution,0.9858520866568912,0.8877915819232707,1.0947438076178395,0.789807094038416
Heart,PM2.5,score_center_year_community_prior_pollution,1.0054983200782686,0.90327309250702,1.1192925816865984,0.9201545340151488
Heart,PM2.5,score_year_community_current,0.952895719831796,0.7852986341024488,1.1562610877472874,0.6249330777391866
Kidney,NO2,original_primary,0.947066690305214,0.9318518026928024,0.9625300002573036,4.6533845471918834e-11
Kidney,NO2,score_prior_pollution,0.8824171054206023,0.8716343739139275,0.8933332269153553,1.7889764373419723e-88
Kidney,NO2,score_year_prior_pollution,0.8789901060876677,0.8684665584896674,0.8896411716113323,8.323782007800709e-98
Kidney,NO2,score_year_community_prior_pollution,0.9353974945607906,0.9205016724951622,0.9505343650912298,3.5216188628296526e-16
Kidney,NO2,score_year_center_prior_pollution,0.9020723783625392,0.886690060807846,0.9177215486810244,7.546146365885498e-32
Kidney,NO2,score_center_year_community_prior_pollution,1.0009264076669713,0.9804925290881432,1.021786136908999,0.9298852790562836
Kidney,NO2,score_year_community_current,0.9854901710222452,0.8794062074350678,1.10437118702413,0.8014059583755436
Kidney,Ozone,original_primary,0.9441406583170092,0.9259278847148288,0.9627116726934012,7.3088417768159194e-9
Kidney,Ozone,score_prior_pollution,0.9284755435061444,0.9153885294215376,0.9417496584032982,1.2290826871646648e-24
Kidney,Ozone,score_year_prior_pollution,0.9218872175132802,0.9088310912329624,0.9351309060756238,5.352190274583539e-29
Kidney,Ozone,score_year_community_prior_pollution,0.9252204889545932,0.9110587915008412,0.939602318936172,5.2872422832659445e-23
Kidney,Ozone,score_year_center_prior_pollution,1.0702695050611089,1.045848187694454,1.095261077985827,8.097221762422858e-9
Kidney,Ozone,score_center_year_community_prior_pollution,1.056012679457388,1.0310376448568674,1.0815926894013486,8.083814849768044e-6
Kidney,Ozone,score_year_community_current,1.0458544974578938,0.9577422218167736,1.142073101651523,0.3180663339804187
Kidney,PM2.5,original_primary,1.1265688179680518,1.1008882031499891,1.1528484890531785,4.081848001807349e-24
Kidney,PM2.5,score_prior_pollution,1.050544461916885,1.033668611079078,1.067695830786726,2.4061270744248503e-9
Kidney,PM2.5,score_year_prior_pollution,0.9322332211275632,0.9161768065044542,0.9485710317090928,2.446784313339246e-15
Kidney,PM2.5,score_year_community_prior_pollution,0.9716895965381928,0.9542010604126911,0.9894986614374528,0.0019403426224804
Kidney,PM2.5,score_year_center_prior_pollution,0.9407038323282386,0.915163027229171,0.9669574423655516,1.3461427222571202e-5
Kidney,PM2.5,score_center_year_community_prior_pollution,0.985772685746946,0.9583792699291382,1.0139490893167975,0.31897730967260707
Kidney,PM2.5,score_year_community_current,1.0063527208959346,0.9588364809743198,1.0562236825048117,0.7974770700278339
Liver,NO2,original_primary,0.961430777333898,0.934897781041834,0.9887167970115246,0.00587498297404837
Liver,NO2,score_prior_pollution,0.9964697714336928,0.974487621937714,1.018947786536977,0.7560088721849633
Liver,NO2,score_year_prior_pollution,0.9852045984746628,0.9630062042462338,1.00791469107445,0.19985799093770976
Liver,NO2,score_year_community_prior_pollution,0.9873990403627406,0.9580342037790904,1.017663942543405,0.410369639916408
Liver,NO2,score_year_center_prior_pollution,0.9686299184927952,0.940577019126097,0.9975195012430712,0.0335370398998588
Liver,NO2,score_center_year_community_prior_pollution,0.989278430890928,0.9544161128377052,1.0254141780110912,0.5559295453884184
Liver,NO2,score_year_community_current,1.0287645993581966,0.8545075003621306,1.2385574151708574,0.7645661522085189
Liver,Ozone,original_primary,0.9722787107222076,0.941818659239445,1.0037238931823942,0.08343648690411039
Liver,Ozone,score_prior_pollution,0.992241604326336,0.9668100850462732,1.018342088672957,0.55657584758527
Liver,Ozone,score_year_prior_pollution,0.9878210744063822,0.9621951066403176,1.0141295339242915,0.360858443212776
Liver,Ozone,score_year_community_prior_pollution,0.9939992860181134,0.965749293524942,1.0230756441956452,0.6824318576780408
Liver,Ozone,score_year_center_prior_pollution,1.031893382473302,0.99049982060001,1.0750168053005518,0.13284208889695517
Liver,Ozone,score_center_year_community_prior_pollution,1.0204923050940562,0.978671890737442,1.0640997811549169,0.34203471235955124
Liver,Ozone,score_year_community_current,1.1832429165448095,1.0176958710523114,1.3757192491169117,0.02866434191051395
Liver,PM2.5,original_primary,1.0383776766406223,1.0000579322900391,1.0781657387352908,0.04964808145896694
Liver,PM2.5,score_prior_pollution,1.0662116482730757,1.036690561334628,1.096573385842031,7.633186726248936e-6
Liver,PM2.5,score_year_prior_pollution,1.0503107850882225,1.0184550687821663,1.0831628994607985,0.00178605560505556
Liver,PM2.5,score_year_community_prior_pollution,1.0275789404597289,0.9945591359579152,1.06169501711864,0.10255901032992044
Liver,PM2.5,score_year_center_prior_pollution,0.9643265076161164,0.9215683297408503,1.009068544654302,0.11645549160746543
Liver,PM2.5,score_center_year_community_prior_pollution,0.9545528049163576,0.9111868571209883,0.9999826602554912,0.04991462016510076
Liver,PM2.5,score_year_community_current,1.0872728189617702,1.00093395970045,1.1810591212299963,0.04747053742879552
Lung,NO2,original_primary,1.0530014205758216,0.974432258753551,1.13790566945417,0.19178098142591257
Lung,NO2,score_prior_pollution,1.091956494306563,1.0287816677246584,1.1590107239132907,0.00381388322977004
Lung,NO2,score_year_prior_pollution,1.049251221612333,0.98776710958561,1.1145624463208104,0.1186503764027256
Lung,NO2,score_year_community_prior_pollution,0.93380326521671,0.8625095566629428,1.0109900016680633,0.0909848122659791
Lung,NO2,score_year_center_prior_pollution,0.9340337165761744,0.8650484176482056,1.0085204086875663,0.08129251587596743
Lung,NO2,score_center_year_community_prior_pollution,0.8992066310269438,0.8176610052623051,0.9888848313408766,0.02849455102522152
Lung,NO2,score_year_community_current,1.845209787286742,1.1257365255904432,3.024508028033455,0.01511042776094393
Lung,Ozone,original_primary,1.1179221292538726,1.0265659431292848,1.2174082877383354,0.01038480193715355
Lung,Ozone,score_prior_pollution,1.0030189608719078,0.93640266524044,1.074374383172264,0.9314910856123968
Lung,Ozone,score_year_prior_pollution,0.9630654471331638,0.8984204507123406,1.032361913318433,0.2884321261721835
Lung,Ozone,score_year_community_prior_pollution,0.9778550632152796,0.9068454393145142,1.0544250245979645,0.5604378175498234
Lung,Ozone,score_year_center_prior_pollution,0.9147739577166568,0.8178672191828319,1.0231628974599227,0.1189581354079313
Lung,Ozone,score_center_year_community_prior_pollution,0.9485965947305416,0.8452840465153941,1.0645362387281156,0.3697343556250001
Lung,Ozone,score_year_community_current,1.210975668005607,0.8283812933376452,1.7702742448384832,0.3231046846338844
Lung,PM2.5,original_primary,0.926972033839108,0.8382642315394229,1.0250671795238129,0.139525726059082
Lung,PM2.5,score_prior_pollution,1.290313144679876,1.2016906688822957,1.3854713650079502,2.206703186126287e-12
Lung,PM2.5,score_year_prior_pollution,1.0618429659342303,0.9798930772803792,1.1506464434194443,0.14311117972450352
Lung,PM2.5,score_year_community_prior_pollution,1.0343449352612586,0.9500815750906604,1.1260816683015098,0.43605892278695135
Lung,PM2.5,score_year_center_prior_pollution,1.113828273775203,0.9903560263313136,1.2526943750287374,0.07212822232980227
Lung,PM2.5,score_center_year_community_prior_pollution,1.0904105495647192,0.965758814007112,1.2311512453804814,0.16228021211079974
Lung,PM2.5,score_year_community_current,1.0878538152094643,0.8552698398537762,1.3836871921826628,0.49263876961677705
