organ,pollutant,model_stage,estimate,conf.low,conf.high,p.value
Heart,NO2,original_primary,0.9428005018145386,0.8863344118676408,1.002863901389946,0.06159387427038557
Heart,NO2,score_prior_pollution,0.9450645565021014,0.903251474524246,0.9888132387793171,0.01439648279154624
Heart,NO2,score_year_prior_pollution,0.9285120996858092,0.8871525561886523,0.97179984800677,0.00142087064119333
Heart,NO2,score_year_community_prior_pollution,0.985501567942541,0.927079830222538,1.0476048650352738,0.6394985254083112
Heart,NO2,score_year_center_prior_pollution,1.0059263356214274,0.946389676404962,1.0692084010685716,0.8494468874737944
Heart,NO2,score_center_year_community_prior_pollution,1.0170069441328726,0.9431601408122994,1.096635745785108,0.6610505957633771
Heart,NO2,score_year_community_current,0.7283205330339787,0.49198348193482194,1.0781882285006736,0.1132290698421317
Heart,Ozone,original_primary,0.9457856831280916,0.8777461447546261,1.0190993873976302,0.1433885752548876
Heart,Ozone,score_prior_pollution,1.072717177437707,1.0148233258962265,1.1339137694274783,0.01314607993557322
Heart,Ozone,score_year_prior_pollution,1.0523199773778873,0.9941560895414844,1.113886789447049,0.07875986164402153
Heart,Ozone,score_year_community_prior_pollution,1.0397803136551915,0.9781206817137584,1.1053268997140775,0.21104550249255652
Heart,Ozone,score_year_center_prior_pollution,1.0183912333380096,0.921133306208349,1.1259181457771854,0.7219501415908807
Heart,Ozone,score_center_year_community_prior_pollution,1.022655762021299,0.922567352904423,1.1336026625079485,0.6698824233440884
Heart,Ozone,score_year_community_current,1.1771260517439848,0.8546831439239625,1.6212157119804569,0.3180328941107507
Heart,PM2.5,original_primary,1.0407779051922872,0.9527077956784724,1.13698938210643,0.3756140680842103
Heart,PM2.5,score_prior_pollution,1.3166848529240245,1.2436299448063075,1.3940312463202815,3.5101858451206796e-21
Heart,PM2.5,score_year_prior_pollution,1.1424760547532755,1.0664535324488569,1.2239178698085518,1.4988548954950027e-4
Heart,PM2.5,score_year_community_prior_pollution,1.0933448540229984,1.0165953691876584,1.1758886633270764,0.01625256676840566
