pollutant,n_zip_years,model,r_squared,adj_r_squared
PM2.5,604810,calendar_year,0.32330851395144844,0.3232883740241862
PM2.5,604810,zip_prefix,0.13732606686442833,0.13731322945470892
PM2.5,604810,year_plus_zip_prefix,0.46074913601217177,0.46072506159638615
PM2.5,604810,community,0.06950088162936599,0.06949011199925792
PM2.5,604810,year_plus_community,0.381357986430304,0.38133241358059367
PM2.5,604810,year_plus_zip_prefix_plus_community,0.51019708030975,0.5101695439544618
Ozone,604810,calendar_year,0.08692707487317827,0.0868998996793473
Ozone,604810,zip_prefix,0.3139629598242164,0.31395275093969
Ozone,604810,year_plus_zip_prefix,0.4006973062236506,0.4006705508428159
Ozone,604810,community,0.07880700640593817,0.07879634448525141
Ozone,604810,year_plus_community,0.16429752099731296,0.16426297550342583
Ozone,604810,year_plus_zip_prefix_plus_community,0.42933037227748105,0.4292982896561053
NO2,604810,calendar_year,0.10738736837824021,0.10736080213077759
NO2,604810,zip_prefix,0.04302314132569463,0.04300890059863094
NO2,604810,year_plus_zip_prefix,0.15047598385628005,0.1504380575482288
NO2,604810,community,0.2990189233417766,0.29901081016170006
NO2,604810,year_plus_community,0.41860665625376536,0.4185826231550167
NO2,604810,year_plus_zip_prefix_plus_community,0.46216530918516285,0.46213507251948105
