organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
KI,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:15:17.862743,2026-05-28 22:36:48.526071,1290.6600251197815,2781314,673351,116044,0.7443656367966544
KI,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28 22:36:48.562832,2026-05-28 22:58:34.505394,1305.9377179145813,2781314,673351,116044,0.7443787281470708
KI,single_pollutant_ozone_cumulative_linear,cumulative,linear,done,NA,2026-05-28 22:58:34.54229,2026-05-28 23:19:52.725804,1278.1827459335327,2781314,673351,116044,0.7446200710423949
KI,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-28 23:19:52.762743,2026-05-28 23:41:37.622071,1304.8541660308838,2781314,673351,116044,0.7446254102598197
KI,single_pollutant_no2_cumulative_linear,cumulative,linear,done,NA,2026-05-28 23:41:37.659292,2026-05-29 00:03:09.48574,1291.81502699852,2781314,673351,116044,0.7443927949314398
KI,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-29 00:03:09.522602,2026-05-29 00:24:53.18654,1303.659087896347,2781314,673351,116044,0.744406913054438
KI,combined_pollutants_cumulative_linear,cumulative,linear,done,NA,2026-05-29 00:24:53.2239,2026-05-29 00:46:56.199686,1322.9750118255615,2781314,673351,116044,0.7446120622162578
KI,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-29 00:46:56.240229,2026-05-29 01:10:15.881456,1399.6405160427094,2781314,673351,116044,0.7446289012865974
KI,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-29 01:10:15.917297,2026-05-29 01:31:42.510361,1286.5882291793823,2781314,673351,116044,0.7443834513009465
KI,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 01:31:42.546365,2026-05-29 01:53:36.315384,1313.7642800807953,2781314,673351,116044,0.7443720541252898
KI,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-29 01:53:36.354256,2026-05-29 02:15:11.008895,1294.6496181488037,2781314,673351,116044,0.7446050801627024
KI,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 02:15:11.05395,2026-05-29 02:37:00.776699,1309.7116060256958,2781314,673351,116044,0.7445971740138234
KI,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-29 02:37:00.81209,2026-05-29 02:58:30.233227,1289.420382976532,2781314,673351,116044,0.7443869936663533
KI,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 02:58:30.271134,2026-05-29 03:20:20.213016,1309.9371330738068,2781314,673351,116044,0.7443995202918499
KI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-29 03:20:20.248411,2026-05-29 03:42:28.521559,1328.2683701515198,2781314,673351,116044,0.7445997922839067
KI,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 03:42:28.55992,2026-05-29 04:05:54.790278,1406.2295668125153,2781314,673351,116044,0.7446040020514917
