organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
KI,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.4699137410747527,2.0152706385358936,1.0058212066068075,0.9245752990632683,1.0942064974966905,2781314,673351,116044,0.7446120622162578,0.3663464522332614,1,0.5450025312841821
KI,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.612419568100319,4.038783887454444,1.031178124658156,0.8994640866727702,1.182179856348568,2781314,673351,116044,0.7446120622162578,26.64152581517086,1,2.44922656281707e-7
KI,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.5522583179125579,1.38809525966644,0.9834234694163642,0.9204216012624252,1.0507377476500341,2781314,673351,116044,0.7446120622162578,2.4564493784812917,1,0.1170430881387509
