Organ,Pollutant,Primary model,No organ score,No listing center strata,Primary model + SVI proxy,Single-organ candidates only,Primary model + multi-organ status,"Prior-year exposure, no organ score or center strata",Multipollutant PM2.5 + NO2,Multipollutant PM2.5 + NO2 + O3
Heart,PM2.5,"71,308 / 9,893","71,308 / 9,893","71,308 / 9,893","71,228 / 9,885","62,636 / 8,488","71,308 / 9,893","74,108 / 10,017","71,308 / 9,893","71,308 / 9,893"
Heart,O3,"71,308 / 9,893","71,308 / 9,893","71,308 / 9,893","71,228 / 9,885","62,636 / 8,488","71,308 / 9,893","74,108 / 10,017",,"71,308 / 9,893"
Heart,NO2,"82,140 / 10,749","82,140 / 10,749","82,140 / 10,749","82,054 / 10,741","71,826 / 9,114","82,140 / 10,749","79,463 / 10,249","71,308 / 9,893","71,308 / 9,893"
Kidney,PM2.5,"554,775 / 116,267","554,775 / 116,267","554,775 / 116,267","554,209 / 116,141","524,093 / 108,102","554,775 / 116,267","564,724 / 123,423","554,775 / 116,267","554,775 / 116,267"
Kidney,O3,"554,775 / 116,267","554,775 / 116,267","554,775 / 116,267","554,209 / 116,141","524,093 / 108,102","554,775 / 116,267","564,724 / 123,423",,"554,775 / 116,267"
Kidney,NO2,"627,755 / 131,497","627,755 / 131,497","627,755 / 131,497","627,156 / 131,365","591,284 / 122,077","627,755 / 131,497","600,708 / 124,065","554,775 / 116,267","554,775 / 116,267"
Liver,PM2.5,"204,884 / 41,945","204,885 / 41,945","204,884 / 41,945","204,654 / 41,903","179,679 / 36,432","204,884 / 41,945","208,789 / 42,137","204,884 / 41,945","204,884 / 41,945"
Liver,O3,"204,884 / 41,945","204,885 / 41,945","204,884 / 41,945","204,654 / 41,903","179,679 / 36,432","204,884 / 41,945","208,789 / 42,137",,"204,884 / 41,945"
Liver,NO2,"232,782 / 45,382","232,784 / 45,382","232,782 / 45,382","232,541 / 45,340","204,452 / 39,275","232,782 / 45,382","222,766 / 42,883","204,884 / 41,945","204,884 / 41,945"
Lung,PM2.5,"44,849 / 5,596","44,849 / 5,596","44,849 / 5,596","44,792 / 5,590","42,478 / 5,286","44,849 / 5,596","46,843 / 5,588","44,849 / 5,596","44,849 / 5,596"
Lung,O3,"44,849 / 5,596","44,849 / 5,596","44,849 / 5,596","44,792 / 5,590","42,478 / 5,286","44,849 / 5,596","46,843 / 5,588",,"44,849 / 5,596"
Lung,NO2,"51,958 / 5,935","51,958 / 5,935","51,958 / 5,935","51,898 / 5,929","49,225 / 5,575","51,958 / 5,935","50,458 / 5,681","44,849 / 5,596","44,849 / 5,596"
