exposure,pollutant_label,years,organ,zctas,national_median_exposure,primary_hr,primary_conf_low,primary_conf_high,min_relative_hazard,p01_relative_hazard,median_relative_hazard,p99_relative_hazard,max_relative_hazard
no2,NO2,2006-2025,Heart,33300,4.407842346325183,1.2254665192188612,1.168039050421711,1.2857174502720523,0.9222594434581542,0.9380641891369111,1.0000000000001723,1.3400670290641339,1.6403309683229217
no2,NO2,2006-2025,Kidney,33300,4.407842346325183,1.43210868061093,1.4112673973965804,1.4532577432629836,0.8667950401238601,0.8932057204933839,1.0000000000005378,1.6770913282736506,2.396931881086531
no2,NO2,2006-2025,Liver,33300,4.407842346325183,1.1709100716755478,1.1457095087973732,1.196664935940331,0.9391292576658211,0.9515945717826519,1.000000000000104,1.255025377606517,1.4682187479235984
no2,NO2,2006-2025,Lung,33300,4.407842346325183,1.159031543781042,1.0914570677268658,1.23078970231712,0.942948501327348,0.9546506734627638,1.0000000000000908,1.2367364431948658,1.4322275679227174
o3,O3,2006-2023,Heart,33300,38.81802193659771,0.9691738092224418,0.8917586794234561,1.0533094817647497,0.9484969489569427,0.9665944688361001,1.0000000000000488,1.0239920077507159,1.040068382859287
o3,O3,2006-2023,Kidney,33300,38.81802193659771,1.087337684785984,1.0647793598767856,1.1103739284470706,0.9002711910511559,0.938566575688206,1.0000000000003486,1.0951142838679104,1.1518876697268254
o3,O3,2006-2023,Liver,33300,38.81802193659771,1.0560779387607846,1.0220613877119695,1.091226638777527,0.9338315567150217,0.9595278097395713,1.0000000000001479,1.060993568857381,1.0965195076089849
o3,O3,2006-2023,Lung,33300,38.81802193659771,0.9332923940952706,0.8478984485917004,1.0272865746161102,0.889954284870965,0.9278246654871781,1.0000000000002371,1.053664580462609,1.0904830273807966
pm25,PM2.5,2006-2023,Heart,33300,7.890761286349819,1.3499341826001554,1.2474467936599654,1.4608417021183884,0.771323872848954,0.807335805911201,1.0000000000001372,1.2834147304000134,1.6559834825590662
pm25,PM2.5,2006-2023,Kidney,33300,7.890761286349819,1.8768527377333355,1.831602668336505,1.9232207181355472,0.5799532741892995,0.6382270742117265,1.0000000000006048,1.6880394553445548,2.88162374134711
pm25,PM2.5,2006-2023,Liver,33300,7.890761286349819,1.3010179358657,1.2579537794161446,1.3455563289693018,0.7963562551655095,0.8288714109001033,1.0000000000001057,1.2446211010643393,1.556362163462509
pm25,PM2.5,2006-2023,Lung,33300,7.890761286349819,1.2924845869030026,1.1800405476129452,1.415643225786642,0.8009039361954137,0.8327709607009482,1.0000000000001004,1.2378286811830401,1.5392405788959511
