time,survival,std_error,n_risk,n_event,n_censor,strata,quartile,pollutant,pollutant_label,unit_label,organ,adverse_probability,survival_percent,adverse_probability_percent
1,0.8616751904474159,0.0036587100427126094,4111,1481,15330,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,0.13832480955258408,86.1675190447416,13.832480955258408
3,0.7381405611198081,0.007294558988465315,1132,344,2635,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,0.2618594388801919,73.8140561119808,26.185943888019192
5,0.6202369718798783,0.011787227723230924,444,124,564,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,0.37976302812012175,62.02369718798783,37.97630281201217
10,0.4709112578950232,0.022639185667019023,75,50,319,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,0.5290887421049768,47.09112578950232,52.90887421049768
1,0.8386302786416782,0.0035147330955818965,5618,2026,14172,quartile=Q2,Q2,no2,NO[2],ppb,Heart,0.16136972135832184,83.86302786416782,16.136972135832185
3,0.7115682092331066,0.005963767745450092,1891,565,3162,quartile=Q2,Q2,no2,NO[2],ppb,Heart,0.2884317907668934,71.15682092331066,28.84317907668934
5,0.6116369275532881,0.008464464622546868,843,199,849,quartile=Q2,Q2,no2,NO[2],ppb,Heart,0.38836307244671187,61.16369275532881,38.83630724467119
10,0.4710976811593848,0.01467125532317868,185,107,551,quartile=Q2,Q2,no2,NO[2],ppb,Heart,0.5289023188406152,47.10976811593848,52.89023188406152
1,0.8320899488615751,0.0036728590147382827,5257,2011,13553,quartile=Q3,Q3,no2,NO[2],ppb,Heart,0.16791005113842494,83.20899488615751,16.791005113842495
3,0.696291478034888,0.006223456641811182,1861,574,2822,quartile=Q3,Q3,no2,NO[2],ppb,Heart,0.303708521965112,69.6291478034888,30.3708521965112
5,0.5868833931576428,0.008749925037295748,841,217,803,quartile=Q3,Q3,no2,NO[2],ppb,Heart,0.4131166068423572,58.68833931576428,41.31166068423572
10,0.4780037112453818,0.013038513715688576,175,97,569,quartile=Q3,Q3,no2,NO[2],ppb,Heart,0.5219962887546181,47.80037112453818,52.19962887546181
1,0.8070117074802591,0.004132599245708665,4421,2077,12089,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,0.19298829251974092,80.7011707480259,19.29882925197409
3,0.6641233877020517,0.006899311339955511,1523,510,2388,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,0.3358766122979483,66.41233877020517,33.58766122979483
5,0.5660148886935528,0.009141857146275847,713,175,635,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,0.43398511130644724,56.60148886935528,43.39851113064472
10,0.43775556781278785,0.014181311581589806,166,99,448,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,0.5622444321872122,43.77555678127879,56.22444321872122
1,0.8303982941015525,0.004087974590411324,4243,1656,11146,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,0.16960170589844747,83.03982941015525,16.960170589844747
