pollutant,pollutant_label,organ,quartile,time,at_risk,censored,label
no2,NO[2],Heart,Q1 lowest,0,23019,0,"23019
0"
no2,NO[2],Heart,Q1 lowest,0.25,10051,11831,"10051
11831"
no2,NO[2],Heart,Q1 lowest,0.5,7148,14452,"7148
14452"
no2,NO[2],Heart,Q1 lowest,0.75,5413,16022,"5413
16022"
no2,NO[2],Heart,Q1 lowest,1,4304,17040,"4304
17040"
no2,NO[2],Heart,Q1 lowest,1.5,2850,18346,"2850
18346"
no2,NO[2],Heart,Q1 lowest,2,1982,19108,"1982
19108"
no2,NO[2],Heart,Q1 lowest,2.5,1384,19644,"1384
19644"
no2,NO[2],Heart,Q1 lowest,3,992,19983,"992
19983"
no2,NO[2],Heart,Q1 lowest,4,566,20337,"566
20337"
no2,NO[2],Heart,Q1 lowest,5,298,20555,"298
20555"
no2,NO[2],Heart,Q1 lowest,6,177,20665,"177
20665"
no2,NO[2],Heart,Q1 lowest,7,106,20726,"106
20726"
no2,NO[2],Heart,Q1 lowest,8,55,20768,"55
20768"
no2,NO[2],Heart,Q1 lowest,9,31,20788,"31
20788"
no2,NO[2],Heart,Q1 lowest,10,17,20800,"17
20800"
no2,NO[2],Heart,Q2,0,22102,0,"22102
0"
no2,NO[2],Heart,Q2,0.25,11157,9677,"11157
9677"
no2,NO[2],Heart,Q2,0.5,8159,12267,"8159
12267"
no2,NO[2],Heart,Q2,0.75,6479,13745,"6479
13745"
no2,NO[2],Heart,Q2,1,5226,14821,"5226
14821"
no2,NO[2],Heart,Q2,1.5,3666,16165,"3666
16165"
no2,NO[2],Heart,Q2,2,2635,17042,"2635
17042"
no2,NO[2],Heart,Q2,2.5,1901,17669,"1901
17669"
no2,NO[2],Heart,Q2,3,1435,18066,"1435
18066"
no2,NO[2],Heart,Q2,4,814,18571,"814
18571"
no2,NO[2],Heart,Q2,5,457,18868,"457
18868"
no2,NO[2],Heart,Q2,6,255,19042,"255
19042"
no2,NO[2],Heart,Q2,7,152,19132,"152
19132"
