pollutant,pollutant_label,unit_label,quartile,n,min,median,max
no2,NO[2],ppb,Q1 lowest,281904,0.19122242089361,2.764968150148025,4.002339245074208
no2,NO[2],ppb,Q2,281906,4.002349265782705,5.3156565361600325,6.854177591445747
no2,NO[2],ppb,Q3,281902,6.854193361655784,8.725689752116285,11.13396346352316
no2,NO[2],ppb,Q4 highest,281904,11.133975179918709,14.6056338028169,47.3987503051758
o3,O[3],ppb,Q1 lowest,256285,23.67263185977935,34.83287292019422,36.56388767560323
o3,O[3],ppb,Q2,256283,36.563892022618894,37.48269605684292,38.19932773687632
o3,O[3],ppb,Q3,256283,38.1993328539034,38.99792559626867,40.233083778783424
o3,O[3],ppb,Q4 highest,256284,40.23309516650554,43.07329151954182,57.904858275604134
pm25,PM[2.5],µg/m³,Q1 lowest,256284,2.3380005158047887,6.560832043652757,7.181264244394921
pm25,PM[2.5],µg/m³,Q2,256284,7.181286825398444,7.7273622017215775,8.278661764784248
pm25,PM[2.5],µg/m³,Q3,256283,8.278674859946147,8.848680414927227,9.52622399179174
pm25,PM[2.5],µg/m³,Q4 highest,256284,9.526229995460328,10.641270564662095,41.53357354526488
