analysis_year,community_year,n_zips,pct_missing_income,pct_missing_poverty
2005,2012,33120,0,0.015881642512077295
2006,2012,33120,0,0.015881642512077295
2007,2012,33120,0,0.015881642512077295
2008,2012,33120,0,0.015881642512077295
2009,2012,33120,0,0.015881642512077295
2010,2012,33120,0,0.015881642512077295
2011,2012,33120,0,0.015881642512077295
2012,2012,33120,0,0.015881642512077295
2013,2013,33120,0,0.016092995169082126
2014,2014,33120,0,0.015428743961352657
2015,2015,33120,0.029076086956521738,0.015670289855072465
2016,2016,33120,0,0.015942028985507246
2017,2017,33120,0,0.01576086956521739
2018,2018,33120,0.0010567632850241545,0.017028985507246377
2019,2019,33120,0,0.016727053140096617
2020,2020,33120,0,0.017512077294685992
2021,2021,33774,0,0.026706934328181442
2022,2022,33774,0,0.02635163143246284
2023,2023,33772,0,0.02608669904062537
