geography_type,source_year,source_quarter,hud_file_stem,preferred_file,hud_direct_url,local_path
COUNTY,2010,1,ZIP_COUNTY_032010,ZIP_COUNTY_032010.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_032010.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_032010.xlsx
COUNTY,2010,4,ZIP_COUNTY_122010,ZIP_COUNTY_122010.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122010.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122010.xlsx
COUNTY,2011,4,ZIP_COUNTY_122011,ZIP_COUNTY_122011.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122011.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122011.xlsx
COUNTY,2012,4,ZIP_COUNTY_122012,ZIP_COUNTY_122012.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122012.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122012.xlsx
COUNTY,2013,4,ZIP_COUNTY_122013,ZIP_COUNTY_122013.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122013.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122013.xlsx
COUNTY,2014,4,ZIP_COUNTY_122014,ZIP_COUNTY_122014.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122014.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122014.xlsx
COUNTY,2015,4,ZIP_COUNTY_122015,ZIP_COUNTY_122015.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122015.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122015.xlsx
COUNTY,2016,4,ZIP_COUNTY_122016,ZIP_COUNTY_122016.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122016.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122016.xlsx
COUNTY,2017,4,ZIP_COUNTY_122017,ZIP_COUNTY_122017.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122017.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122017.xlsx
COUNTY,2018,4,ZIP_COUNTY_122018,ZIP_COUNTY_122018.xlsx,https://www.huduser.gov/portal/datasets/usps/ZIP_COUNTY_122018.xlsx,data/raw/hud_usps_crosswalk/ZIP_COUNTY_122018.xlsx
