term,estimate,std.error,statistic,p.value,conf.low,conf.high,organ,pollutant,band,n,events
pm25_interval_5ug,1.1847014157565785,0.01796763371029775,9.43311599871677,3.980836170300115e-21,1.1437071335617175,1.2271650698940963,HR,pm25,0-1 years,76760,7310
pm25_interval_5ug,1.0257198596128667,0.04367765863875483,0.5814109305411345,0.5609635323601265,0.9415649291868714,1.117396366188815,HR,pm25,1-3 years,18501,1933
pm25_interval_5ug,0.867290202869264,0.08683257895953361,-1.6397260013276718,0.10106215015364782,0.7315641506769591,1.0281973157063007,HR,pm25,3-5 years,6193,679
pm25_interval_5ug,1.0613504913555776,0.11837884881321718,0.5029795969341098,0.6149786170582229,0.8415783732240655,1.3385145119464839,HR,pm25,5+ years,2752,420
pm25_interval_5ug,1.0172362187337498,0.010728775487769146,1.5928528150037902,0.11119321362881571,0.9960690930046067,1.0388531598570057,KI,pm25,0-1 years,592129,22721
pm25_interval_5ug,0.9776065242684824,0.008607795641645495,-2.6311053107231497,0.00851076590590102,0.9612517032327172,0.9942396076680096,KI,pm25,1-3 years,397352,42535
pm25_interval_5ug,0.9657553431521062,0.010903099359780382,-3.19585685281224,0.0013941626143752315,0.9453364086280575,0.9866153194929009,KI,pm25,3-5 years,211919,29649
pm25_interval_5ug,0.9648273442741867,0.01078795233101948,-3.3190832145676645,9.031351174892475e-4,0.9446411967774193,0.9854448519023473,KI,pm25,5+ years,104770,29084
pm25_interval_5ug,1.0436252044876122,0.009425170762835475,4.530467038339706,5.8853436848683975e-6,1.0245232989640856,1.0630832588610464,LI,pm25,0-1 years,218837,27764
pm25_interval_5ug,0.9762039159684263,0.01655283496994879,-1.4549643091436513,0.1456791425272483,0.9450412095218584,1.0083942117553217,LI,pm25,1-3 years,65383,10130
pm25_interval_5ug,1.0864528026903797,0.03035949860693232,2.731207161053894,0.006310279245250159,1.0236908289168964,1.1530626817499843,LI,pm25,3-5 years,23939,3274
pm25_interval_5ug,1.0597339036623812,0.034180891132950995,1.6973765283987505,0.08962549716833695,0.9910646860693487,1.1331610967045653,LI,pm25,5+ years,11571,2696
pm25_interval_5ug,1.1672838948216417,0.02374842141344299,6.513257868370299,7.353810439036299e-11,1.1141965274538979,1.222900680029592,LU,pm25,0-1 years,48311,4344
pm25_interval_5ug,1.0329839411597552,0.05555396064842316,0.584146365263007,0.5591218428982389,0.9264157992221984,1.1518109077908871,LU,pm25,1-3 years,8106,996
pm25_interval_5ug,1.0927933633687623,0.11339225200341611,0.7825679020931968,0.43388089654868334,0.8750208246666952,1.3647644734371829,LU,pm25,3-5 years,2440,274
pm25_interval_5ug,1.1431478600045089,0.17695396025097748,0.7560482827863545,0.4496202478095382,0.8081257097137591,1.6170590962831226,LU,pm25,5+ years,1016,162
o3_interval_10ppb,0.996420822991748,0.012683650102646559,-0.28269445767580254,0.777411065161377,0.9719556579252014,1.0215018024700455,HR,o3,0-1 years,76760,7310
o3_interval_10ppb,1.0289906844087182,0.025572413460635542,1.1175481658066075,0.26376001735658894,0.9786877789788694,1.0818790745549742,HR,o3,1-3 years,18501,1933
o3_interval_10ppb,1.0363047565321606,0.045326320709807126,0.7867673033500256,0.43141809707874856,0.9482124589432532,1.1325811407372057,HR,o3,3-5 years,6193,679
o3_interval_10ppb,0.9867631577737609,0.06284826826596902,-0.21202223132702372,0.8320896904943739,0.8724014589068956,1.1161163471226605,HR,o3,5+ years,2752,420
o3_interval_10ppb,0.9933751139092728,0.006831633527105171,-0.9729632051358089,0.3305715896455332,0.9801627166310783,1.0067656116588226,KI,o3,0-1 years,592129,22721
o3_interval_10ppb,0.9776077442522849,0.005163107888081481,-4.386266835549384,1.1531264919231206e-5,0.9677647245420652,0.9875508761432431,KI,o3,1-3 years,397352,42535
o3_interval_10ppb,0.9873842212236356,0.006333291842240327,-2.004649987283464,0.04500047868327814,0.9752035531376219,0.9997170305467727,KI,o3,3-5 years,211919,29649
o3_interval_10ppb,0.9907146214487569,0.006543196583882779,-1.4257184982534459,0.15394961474334756,0.9780903937653364,1.0035017902321195,KI,o3,5+ years,104770,29084
