model,organ,pollutant,n,adverse_events,hazard_ratio,conf_low,conf_high,hr_ci
1 year before listing,Heart,pm25,74028,10010,1.25930094842313,1.196179935307767,1.325752783414957,1.26 (1.20-1.33)
1 year before listing,Heart,o3,74028,10010,0.9924269533463788,0.92575091409988,1.0639052500272363,0.99 (0.93-1.06)
1 year before listing,Heart,no2,79381,10242,1.1752248160074383,1.129707356215239,1.2225762367228232,1.18 (1.13-1.22)
1 year before listing,Kidney,pm25,564179,123299,0.929122615429735,0.9162276607212958,0.9421990532608314,0.93 (0.92-0.94)
1 year before listing,Kidney,o3,564179,123299,1.0505116556057987,1.0332092749499335,1.068103786250963,1.05 (1.03-1.07)
1 year before listing,Kidney,no2,600141,123941,0.9044982381320308,0.8945511924080437,0.9145558909621008,0.90 (0.89-0.91)
1 year before listing,Liver,pm25,208592,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,1.03 (1.00-1.05)
1 year before listing,Liver,o3,208592,42101,1.0341440930122945,1.0052730189612624,1.063844333768429,1.03 (1.01-1.06)
1 year before listing,Liver,no2,222559,42847,0.9968769734911744,0.9794674330603012,1.0145959597369711,1.00 (0.98-1.01)
1 year before listing,Lung,pm25,46788,5582,1.1497483619402376,1.075942303629002,1.228617270020525,1.15 (1.08-1.23)
1 year before listing,Lung,o3,46788,5582,0.9703010041394214,0.891891761196912,1.0556034707288977,0.97 (0.89-1.06)
1 year before listing,Lung,no2,50401,5675,1.1317560948018548,1.076224278957754,1.190153282326596,1.13 (1.08-1.19)
Waitlist-period exposure,Heart,pm25,76760,10342,1.143726962158243,1.1073266579812708,1.181323825755714,1.14 (1.11-1.18)
Waitlist-period exposure,Kidney,pm25,592129,123989,0.9853816506934804,0.9756912618853788,0.9951682826872292,0.99 (0.98-1.00)
Waitlist-period exposure,Liver,pm25,218837,43864,1.036918052302256,1.021387479521457,1.0526847731617577,1.04 (1.02-1.05)
Waitlist-period exposure,Lung,pm25,48311,5776,1.1422940430279682,1.0952950929458058,1.1913097110914783,1.14 (1.10-1.19)
Waitlist-period exposure,Heart,o3,76760,10342,1.0044604451315793,0.9833357733090629,1.0260389311767872,1.00 (0.98-1.03)
Waitlist-period exposure,Kidney,o3,592129,123989,0.9858765661179644,0.979989968566168,0.9917985232467446,0.99 (0.98-0.99)
Waitlist-period exposure,Liver,o3,218837,43864,0.987892040185485,0.9782726739743466,0.9976059937328188,0.99 (0.98-1.00)
Waitlist-period exposure,Lung,o3,48311,5776,0.9648199974576636,0.9381789633329696,0.9922175447072222,0.96 (0.94-0.99)
Waitlist-period exposure,Heart,no2,82122,10772,1.283795246105687,1.2340593877423185,1.3355355911507432,1.28 (1.23-1.34)
Waitlist-period exposure,Kidney,no2,628132,131452,0.8968552791708051,0.8856636347283395,0.9081883462712812,0.90 (0.89-0.91)
Waitlist-period exposure,Liver,no2,232844,45481,1.0139979692955037,0.9960683407443396,1.032250338332268,1.01 (1.00-1.03)
Waitlist-period exposure,Lung,no2,51932,5939,1.3503609470474849,1.2827266213735258,1.421561427764264,1.35 (1.28-1.42)
