date,rows,zips,missing_values,nearest_fill_values,min,p01,median,mean,p99,max
2021-05-02,216,216,0,6,6,6.69204545454545,7.34166666666667,7.35956663743323,8.06538461538462,9
2021-09-22,216,216,0,6,3.03252032520325,3.18280578206079,5.30769230769231,5.30439811687738,7.08083333333333,8
2021-11-23,216,216,0,6,8.92857142857143,9,10,10.0248892659266,11,13
2021-11-26,216,216,0,6,4.5,4.58958333333333,5.26201372997712,5.35287309514514,6.16474358974359,7
