file,variable,label
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtCardiacIndex,ExtCardiacIndex
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtCardiacIndexDt,ExtCardiacIndexDt
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtCapWedgePressure,ExtCapWedgePressure
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtCapWedgePressureDt,ExtCapWedgePressureDt
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtSvo2,ExtSvo2
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ExtSvo2Dt,ExtSvo2Dt
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,CriteriaBivadSupport,CriteriaBivadSupport
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,CriteriaMcsdSupport,CriteriaMcsdSupport
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,VentricularEpisode,VentricularEpisode
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,BivadPlacement,BivadPlacement
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,ChangeDate,ChangeDate
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,JustId,JustId
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaLvadSupport,CriteriaLvadSupport
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaDurableDevSupport,CriteriaDurableDevSupport
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaMcsdMalfunction,CriteriaMcsdMalfunction
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaMcsdEndovasSupp,CriteriaMcsdEndovasSupp
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithHemo,McsdWithHemo
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdCardiacIndexInotropeSup,McsdCardiacIndexInotropeSup
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdCardiacIndex,McsdCardiacIndex
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdCardiacIndexDt,McsdCardiacIndexDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdCapWedgePressure,McsdCapWedgePressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdCapWedgePressureDt,McsdCapWedgePressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdSystolicBloodPressure,McsdSystolicBloodPressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdSystolicBloodPressureDt,McsdSystolicBloodPressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemo,McsdWithoutHemo
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoCprDt,McsdWithoutHemoCprDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoSbp,McsdWithoutHemoSbp
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoSbpDt,McsdWithoutHemoSbpDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoArtLac,McsdWithoutHemoArtLac
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoArtLacDt,McsdWithoutHemoArtLacDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoAst,McsdWithoutHemoAst
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoAstDt,McsdWithoutHemoAstDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoAlt,McsdWithoutHemoAlt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,McsdWithoutHemoAltDt,McsdWithoutHemoAltDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaIabpSupport,CriteriaIabpSupport
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithHemo,IabpWithHemo
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpCardiacIndexInotropeSup,IabpCardiacIndexInotropeSup
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpCardiacIndex,IabpCardiacIndex
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpCardiacIndexDt,IabpCardiacIndexDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpCapWedgePressure,IabpCapWedgePressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpCapWedgePressureDt,IabpCapWedgePressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpSystolicBloodPressure,IabpSystolicBloodPressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpSystolicBloodPressureDt,IabpSystolicBloodPressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemo,IabpWithoutHemo
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoCprDt,IabpWithoutHemoCprDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoSbp,IabpWithoutHemoSbp
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoSbpDt,IabpWithoutHemoSbpDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoArtLac,IabpWithoutHemoArtLac
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoArtLacDt,IabpWithoutHemoArtLacDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoAst,IabpWithoutHemoAst
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoAstDt,IabpWithoutHemoAstDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoAlt,IabpWithoutHemoAlt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,IabpWithoutHemoAltDt,IabpWithoutHemoAltDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,CriteriaVentEpisode,CriteriaVentEpisode
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtDemoContra,ExtDemoContra
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtMeanPressure,ExtMeanPressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtMeanPressureDt,ExtMeanPressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtCardiacIndex,ExtCardiacIndex
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtCardiacIndexDt,ExtCardiacIndexDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtCapWedgePressure,ExtCapWedgePressure
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtCapWedgePressureDt,ExtCapWedgePressureDt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtSvo2,ExtSvo2
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ExtSvo2Dt,ExtSvo2Dt
Supplement2603/Thoracic Registration/JustFormHRStat2.sas7bdat,ChangeDate,ChangeDate
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,JustId,JustId
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,CriteriaLvadDiscSupport,CriteriaLvadDiscSupport
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,CriteriaInotropeSupport,CriteriaInotropeSupport
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoInvasiveCatheter,InoInvasiveCatheter
Supplement2603/Thoracic Registration/JustFormHRStat3.sas7bdat,InoHemodynamicMonitoring,InoHemodynamicMonitoring
