WL_ORG,people,registrations,spells,people_with_multiple_spells,extra_spells,people_with_multiple_registrations
KI,643225,795695,690923,44807,47698,119224
LU,52613,56393,55206,2486,2593,3492
LI,238078,264281,252217,13215,14139,23265
HR,83624,89516,87231,3466,3607,5465
