pollutant,organ,status,started_at,finished_at,elapsed_seconds,n,adverse_events,competing_events,expanded_rows,error
pm25,HR,started,2026-06-11 12:29:05.052345,NA,NA,27324,2784,19344,NA,NA
pm25,HR,completed,2026-06-11 12:29:05.052345,2026-06-11 12:29:17.130108,11.879999999999995,27324,2784,19344,NA,NA
pm25,KI,started,2026-06-11 12:29:17.361707,NA,NA,234581,16122,72164,NA,NA
pm25,KI,completed,2026-06-11 12:29:17.361707,2026-06-11 12:34:57.62404,340.11,234581,16122,72164,NA,NA
pm25,LI,started,2026-06-11 12:34:57.935462,NA,NA,77191,11388,50167,NA,NA
pm25,LI,completed,2026-06-11 12:34:57.935462,2026-06-11 12:35:49.68354,51.56,77191,11388,50167,NA,NA
pm25,LU,started,2026-06-11 12:35:49.942994,NA,NA,17725,1648,14330,NA,NA
pm25,LU,completed,2026-06-11 12:35:49.942994,2026-06-11 12:35:56.729496,6.609999999999957,17725,1648,14330,NA,NA
o3,HR,started,2026-06-11 12:36:09.016527,NA,NA,30400,2310,22903,NA,NA
o3,HR,completed,2026-06-11 12:36:09.016527,2026-06-11 12:36:18.725532,9.5,30400,2310,22903,NA,NA
o3,KI,started,2026-06-11 12:36:19.010816,NA,NA,220515,16838,83977,NA,NA
o3,KI,completed,2026-06-11 12:36:19.010816,2026-06-11 12:40:47.436005,268.26,220515,16838,83977,NA,NA
o3,LI,started,2026-06-11 12:40:47.790653,NA,NA,82256,10159,58214,NA,NA
o3,LI,completed,2026-06-11 12:40:47.790653,2026-06-11 12:41:44.919834,56.93999999999994,82256,10159,58214,NA,NA
o3,LU,started,2026-06-11 12:41:45.200682,NA,NA,18944,1301,16000,NA,NA
o3,LU,completed,2026-06-11 12:41:45.200682,2026-06-11 12:41:51.918503,6.529999999999973,18944,1301,16000,NA,NA
no2,HR,started,2026-06-11 12:44:31.732715,NA,NA,31542,2284,24000,NA,NA
no2,HR,completed,2026-06-11 12:44:31.732715,2026-06-11 12:44:41.409809,9.409999999999968,31542,2284,24000,NA,NA
no2,KI,started,2026-06-11 12:44:41.685649,NA,NA,201877,16265,85618,NA,NA
no2,KI,completed,2026-06-11 12:44:41.685649,2026-06-11 12:48:34.651462,232.80999999999995,201877,16265,85618,NA,NA
no2,LI,started,2026-06-11 12:48:34.923707,NA,NA,84405,9531,61926,NA,NA
no2,LI,completed,2026-06-11 12:48:34.923707,2026-06-11 12:49:36.310424,61.22000000000003,84405,9531,61926,NA,NA
no2,LU,started,2026-06-11 12:49:36.606947,NA,NA,19552,1170,16765,NA,NA
no2,LU,completed,2026-06-11 12:49:36.606947,2026-06-11 12:49:42.699858,5.9099999999998545,19552,1170,16765,NA,NA
