organ,organ_label,pollutant,exposure_label,exposure_years,endpoint,n,adverse_events,competing_transplant_or_improvement,expanded_rows,subdistribution_hazard_ratio,conf_low,conf_high,p_value,elapsed_seconds,adjustment_set,variance_estimator,sampled,error
HR,Heart,pm25,Daily PM2.5 waitlist-period mean per 5 ug/m3,2016-2021,death_or_deterioration_delist_subdistribution,27324,2784,19344,NA,0.9854315504369846,NA,NA,NA,11.879999999999995,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
KI,Kidney,pm25,Daily PM2.5 waitlist-period mean per 5 ug/m3,2016-2021,death_or_deterioration_delist_subdistribution,234581,16122,72164,NA,0.9138770393977936,NA,NA,NA,340.11,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LI,Liver,pm25,Daily PM2.5 waitlist-period mean per 5 ug/m3,2016-2021,death_or_deterioration_delist_subdistribution,77191,11388,50167,NA,0.9647018608366232,NA,NA,NA,51.56,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LU,Lung,pm25,Daily PM2.5 waitlist-period mean per 5 ug/m3,2016-2021,death_or_deterioration_delist_subdistribution,17725,1648,14330,NA,0.9701575585386876,NA,NA,NA,6.609999999999957,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
HR,Heart,o3,Daily ozone waitlist-period mean per 10 ppb,2019-2024,death_or_deterioration_delist_subdistribution,30400,2310,22903,NA,0.9542742381162206,NA,NA,NA,9.5,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
KI,Kidney,o3,Daily ozone waitlist-period mean per 10 ppb,2019-2024,death_or_deterioration_delist_subdistribution,220515,16838,83977,NA,0.8821863641626609,NA,NA,NA,268.26,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LI,Liver,o3,Daily ozone waitlist-period mean per 10 ppb,2019-2024,death_or_deterioration_delist_subdistribution,82256,10159,58214,NA,1.0221506605317023,NA,NA,NA,56.93999999999994,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LU,Lung,o3,Daily ozone waitlist-period mean per 10 ppb,2019-2024,death_or_deterioration_delist_subdistribution,18944,1301,16000,NA,0.917325466168468,NA,NA,NA,6.529999999999973,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
HR,Heart,no2,Monthly NO2 waitlist-period mean per 10 ppbv,2020-2025,death_or_deterioration_delist_subdistribution,31542,2284,24000,NA,0.8556408861704387,NA,NA,NA,9.409999999999968,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
KI,Kidney,no2,Monthly NO2 waitlist-period mean per 10 ppbv,2020-2025,death_or_deterioration_delist_subdistribution,201877,16265,85618,NA,0.7082111320888459,NA,NA,NA,232.80999999999997,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LI,Liver,no2,Monthly NO2 waitlist-period mean per 10 ppbv,2020-2025,death_or_deterioration_delist_subdistribution,84405,9531,61926,NA,1.1512329221233644,NA,NA,NA,61.22000000000003,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
LU,Lung,no2,Monthly NO2 waitlist-period mean per 10 ppbv,2020-2025,death_or_deterioration_delist_subdistribution,19552,1170,16765,NA,1.007193729453241,NA,NA,NA,5.9099999999998545,age + sex + race + listing_year + baseline_organ_score; listing_center used as cengroup for censoring distribution,not_estimated_cmprsk_crr_variance_false_center_cengroup,FALSE,NA
