broad_reason,zip_prefix3,n
not_in_2020_zcta,221,25
not_in_2020_zcta,332,25
not_in_2020_zcta,350,25
not_in_2020_zcta,378,25
not_in_2020_zcta,600,25
not_in_2020_zcta,741,25
not_in_2020_zcta,753,25
not_in_2020_zcta,754,25
not_in_2020_zcta,799,25
not_in_2020_zcta,953,25
not_in_2020_zcta,110,24
not_in_2020_zcta,115,24
not_in_2020_zcta,275,24
not_in_2020_zcta,363,24
not_in_2020_zcta,364,24
not_in_2020_zcta,391,24
not_in_2020_zcta,405,24
not_in_2020_zcta,723,24
not_in_2020_zcta,727,24
not_in_2020_zcta,782,24
not_in_2020_zcta,910,24
not_in_2020_zcta,919,24
not_in_2020_zcta,937,24
not_in_2020_zcta,984,24
not_in_2020_zcta,082,23
not_in_2020_zcta,086,23
not_in_2020_zcta,113,23
not_in_2020_zcta,299,23
not_in_2020_zcta,305,23
not_in_2020_zcta,366,23
not_in_2020_zcta,703,23
not_in_2020_zcta,706,23
not_in_2020_zcta,707,23
not_in_2020_zcta,855,23
not_in_2020_zcta,968,23
not_in_2020_zcta,105,22
not_in_2020_zcta,212,22
not_in_2020_zcta,225,22
not_in_2020_zcta,309,22
not_in_2020_zcta,310,22
not_in_2020_zcta,324,22
not_in_2020_zcta,329,22
not_in_2020_zcta,341,22
not_in_2020_zcta,342,22
not_in_2020_zcta,712,22
not_in_2020_zcta,720,22
not_in_2020_zcta,900,22
not_in_2020_zcta,038,21
not_in_2020_zcta,060,21
not_in_2020_zcta,075,21
not_in_2020_zcta,278,21
not_in_2020_zcta,284,21
not_in_2020_zcta,285,21
not_in_2020_zcta,286,21
not_in_2020_zcta,314,21
not_in_2020_zcta,856,21
not_in_2020_zcta,864,21
not_in_2020_zcta,958,21
not_in_2020_zcta,016,20
not_in_2020_zcta,119,20
not_in_2020_zcta,234,20
not_in_2020_zcta,291,20
not_in_2020_zcta,312,20
not_in_2020_zcta,322,20
not_in_2020_zcta,331,20
not_in_2020_zcta,346,20
not_in_2020_zcta,362,20
not_in_2020_zcta,379,20
not_in_2020_zcta,388,20
not_in_2020_zcta,390,20
not_in_2020_zcta,392,20
not_in_2020_zcta,394,20
not_in_2020_zcta,407,20
not_in_2020_zcta,481,20
not_in_2020_zcta,605,20
not_in_2020_zcta,662,20
not_in_2020_zcta,794,20
not_in_2020_zcta,908,20
not_in_2020_zcta,273,19
not_in_2020_zcta,287,19
not_in_2020_zcta,351,19
not_in_2020_zcta,368,19
not_in_2020_zcta,436,19
not_in_2020_zcta,480,19
not_in_2020_zcta,599,19
not_in_2020_zcta,744,19
not_in_2020_zcta,841,19
not_in_2020_zcta,955,19
not_in_2020_zcta,957,19
not_in_2020_zcta,040,18
not_in_2020_zcta,149,18
not_in_2020_zcta,193,18
not_in_2020_zcta,288,18
not_in_2020_zcta,306,18
not_in_2020_zcta,361,18
not_in_2020_zcta,371,18
not_in_2020_zcta,373,18
not_in_2020_zcta,374,18
not_in_2020_zcta,752,18
not_in_2020_zcta,759,18
not_in_2020_zcta,777,18
not_in_2020_zcta,804,18
not_in_2020_zcta,895,18
not_in_2020_zcta,903,18
not_in_2020_zcta,911,18
not_in_2020_zcta,010,17
not_in_2020_zcta,065,17
not_in_2020_zcta,206,17
not_in_2020_zcta,209,17
not_in_2020_zcta,223,17
not_in_2020_zcta,293,17
not_in_2020_zcta,354,17
not_in_2020_zcta,396,17
not_in_2020_zcta,462,17
not_in_2020_zcta,801,17
not_in_2020_zcta,803,17
not_in_2020_zcta,863,17
not_in_2020_zcta,983,17
not_in_2020_zcta,024,16
not_in_2020_zcta,074,16
not_in_2020_zcta,087,16
not_in_2020_zcta,109,16
not_in_2020_zcta,114,16
not_in_2020_zcta,183,16
not_in_2020_zcta,200,16
not_in_2020_zcta,208,16
not_in_2020_zcta,229,16
not_in_2020_zcta,307,16
not_in_2020_zcta,357,16
not_in_2020_zcta,360,16
not_in_2020_zcta,370,16
not_in_2020_zcta,460,16
not_in_2020_zcta,464,16
not_in_2020_zcta,805,16
not_in_2020_zcta,973,16
not_in_2020_zcta,981,16
not_in_2020_zcta,068,15
not_in_2020_zcta,083,15
not_in_2020_zcta,180,15
not_in_2020_zcta,198,15
not_in_2020_zcta,218,15
not_in_2020_zcta,220,15
not_in_2020_zcta,224,15
not_in_2020_zcta,230,15
not_in_2020_zcta,386,15
not_in_2020_zcta,463,15
not_in_2020_zcta,531,15
not_in_2020_zcta,616,15
not_in_2020_zcta,716,15
not_in_2020_zcta,914,15
not_in_2020_zcta,986,15
