candidate_zip,exposure_year,linkage_status,n
10029,2024,partial_pollutant_linkage,41
01805,2007,zip_not_in_pollution_zcta,36
10467,2024,partial_pollutant_linkage,29
60629,2024,partial_pollutant_linkage,28
11230,2024,partial_pollutant_linkage,27
60632,2024,partial_pollutant_linkage,27
11208,2024,partial_pollutant_linkage,25
11355,2024,partial_pollutant_linkage,25
76179,2024,partial_pollutant_linkage,25
77449,2024,partial_pollutant_linkage,25
78640,2024,partial_pollutant_linkage,25
77479,2024,partial_pollutant_linkage,24
94565,2024,partial_pollutant_linkage,24
11236,2024,partial_pollutant_linkage,23
60617,2024,partial_pollutant_linkage,23
77433,2024,partial_pollutant_linkage,23
91343,2024,partial_pollutant_linkage,23
96797,2013,zip_not_in_pollution_zcta,23
07305,2024,partial_pollutant_linkage,22
10025,2024,partial_pollutant_linkage,22
11234,2024,partial_pollutant_linkage,22
76227,2024,partial_pollutant_linkage,22
77346,2024,partial_pollutant_linkage,22
77379,2024,partial_pollutant_linkage,22
94509,2024,partial_pollutant_linkage,22
10458,2024,partial_pollutant_linkage,21
10462,2024,partial_pollutant_linkage,21
11219,2024,partial_pollutant_linkage,21
11223,2024,partial_pollutant_linkage,21
11368,2024,partial_pollutant_linkage,21
19124,2024,partial_pollutant_linkage,21
76542,2024,partial_pollutant_linkage,21
78245,2024,partial_pollutant_linkage,21
90805,2024,partial_pollutant_linkage,21
91911,2024,partial_pollutant_linkage,21
92503,2024,partial_pollutant_linkage,21
96789,2015,zip_not_in_pollution_zcta,21
96797,2020,zip_not_in_pollution_zcta,21
96797,2021,zip_not_in_pollution_zcta,21
00725,2012,zip_not_in_pollution_zcta,20
02150,2024,partial_pollutant_linkage,20
08701,2024,partial_pollutant_linkage,20
10032,2024,partial_pollutant_linkage,20
11212,2024,partial_pollutant_linkage,20
11377,2024,partial_pollutant_linkage,20
22193,2024,partial_pollutant_linkage,20
60620,2024,partial_pollutant_linkage,20
60641,2024,partial_pollutant_linkage,20
60647,2024,partial_pollutant_linkage,20
60804,2024,partial_pollutant_linkage,20
76063,2024,partial_pollutant_linkage,20
78130,2024,partial_pollutant_linkage,20
90706,2024,partial_pollutant_linkage,20
94544,2024,partial_pollutant_linkage,20
96789,2007,zip_not_in_pollution_zcta,20
96797,2012,zip_not_in_pollution_zcta,20
00926,2014,zip_not_in_pollution_zcta,19
01805,2006,zip_not_in_pollution_zcta,19
10312,2024,partial_pollutant_linkage,19
10453,2024,partial_pollutant_linkage,19
10457,2024,partial_pollutant_linkage,19
11220,2024,partial_pollutant_linkage,19
11226,2024,partial_pollutant_linkage,19
20772,2024,partial_pollutant_linkage,19
60477,2024,partial_pollutant_linkage,19
60619,2024,partial_pollutant_linkage,19
60628,2024,partial_pollutant_linkage,19
77065,2024,partial_pollutant_linkage,19
77084,2024,partial_pollutant_linkage,19
77389,2024,partial_pollutant_linkage,19
78240,2024,partial_pollutant_linkage,19
78254,2024,partial_pollutant_linkage,19
78660,2024,partial_pollutant_linkage,19
79424,2024,partial_pollutant_linkage,19
91342,2024,partial_pollutant_linkage,19
95624,2024,partial_pollutant_linkage,19
02703,2024,partial_pollutant_linkage,18
10002,2024,partial_pollutant_linkage,18
10469,2024,partial_pollutant_linkage,18
11204,2024,partial_pollutant_linkage,18
11207,2024,partial_pollutant_linkage,18
11434,2024,partial_pollutant_linkage,18
11772,2024,partial_pollutant_linkage,18
21206,2024,partial_pollutant_linkage,18
30043,2024,partial_pollutant_linkage,18
33033,2024,partial_pollutant_linkage,18
33578,2024,partial_pollutant_linkage,18
37075,2024,partial_pollutant_linkage,18
53590,2024,partial_pollutant_linkage,18
55303,2024,partial_pollutant_linkage,18
77373,2024,partial_pollutant_linkage,18
77429,2024,partial_pollutant_linkage,18
77584,2024,partial_pollutant_linkage,18
78109,2024,partial_pollutant_linkage,18
78251,2024,partial_pollutant_linkage,18
78542,2024,partial_pollutant_linkage,18
85326,2024,partial_pollutant_linkage,18
90280,2024,partial_pollutant_linkage,18
95687,2024,partial_pollutant_linkage,18
95747,2024,partial_pollutant_linkage,18
