exposure_year,n_registrations,n_people,n_missing_candidate_zip,n_link_any_pollutant,n_link_all_three,n_partial_pollutant_linkage,n_zip_not_in_pollution_zcta,pct_link_all_three
2005,50230,46125,188,48549,48549,0,1493,0.9665339438582521
2006,52144,47748,199,50487,50487,0,1458,0.9682226142988647
2007,54130,49448,200,52350,52350,0,1580,0.9671162017365601
2008,56460,51360,191,54704,54704,0,1565,0.9688983351044987
2009,59894,54348,197,58124,58124,0,1573,0.9704477910976058
2010,62437,56095,145,60696,60696,0,1596,0.9721158928199625
2011,62160,55209,193,60428,60428,0,1539,0.9721364221364222
2012,62719,55241,184,60967,60967,0,1568,0.9720658811524419
2013,63686,55647,202,62160,62160,0,1324,0.9760386898219389
2014,62056,54063,258,60427,60427,0,1371,0.9737495165656826
2015,59779,51954,239,58316,58316,0,1224,0.9755265226919152
2016,60526,52885,193,59141,59141,0,1192,0.9771172719162013
2017,61220,53596,170,59900,59900,0,1150,0.9784384188173799
2018,63115,55678,171,61763,61763,0,1181,0.9785787847579814
2019,63982,56327,162,62765,62765,0,1055,0.9809790253508799
2020,59697,52851,103,58607,58607,0,987,0.981741126019733
2021,61892,54871,139,60805,60805,0,948,0.9824371485813999
2022,58752,52732,130,57734,57734,0,888,0.9826729302832244
2023,56388,51043,187,55416,55416,0,785,0.982762289848904
2024,51215,47164,190,50411,0,50411,614,0
