WL_ORG,exposure_year,n_registrations,n_people,n_missing_candidate_zip,n_link_all_three,n_partial_pollutant_linkage,n_zip_not_in_pollution_zcta,pct_link_all_three
HL,2005,57,56,0,55,0,2,0.9649122807017544
HL,2006,77,75,1,76,0,0,0.987012987012987
HL,2007,51,50,0,47,0,4,0.9215686274509803
HL,2008,52,51,0,52,0,0,1
HL,2009,64,60,0,63,0,1,0.984375
HL,2010,56,56,0,54,0,2,0.9642857142857143
HL,2011,58,57,2,55,0,1,0.9482758620689655
HL,2012,45,44,1,43,0,1,0.9555555555555556
HL,2013,44,44,0,43,0,1,0.9772727272727273
HL,2014,55,54,0,54,0,1,0.9818181818181818
HL,2015,46,46,2,43,0,1,0.9347826086956522
HL,2016,46,46,0,45,0,1,0.9782608695652174
HL,2017,47,47,0,47,0,0,1
HL,2018,68,67,2,66,0,0,0.9705882352941176
HL,2019,65,65,0,63,0,2,0.9692307692307692
HL,2020,81,80,1,79,0,1,0.9753086419753086
HL,2021,67,64,0,66,0,1,0.9850746268656716
HL,2022,75,75,0,73,0,2,0.9733333333333334
HL,2023,74,74,1,71,0,2,0.9594594594594594
HL,2024,96,95,0,0,96,0,0
HR,2005,2827,2763,13,2735,0,79,0.9674566678457729
HR,2006,3039,2982,18,2947,0,74,0.9697268838433696
HR,2007,3110,3054,16,3015,0,79,0.9694533762057878
HR,2008,3387,3326,16,3294,0,77,0.9725420726306466
HR,2009,3525,3447,13,3432,0,80,0.9736170212765958
HR,2010,3522,3458,11,3447,0,64,0.9787052810902896
HR,2011,3457,3391,18,3370,0,69,0.9748336708128436
HR,2012,3657,3585,19,3571,0,67,0.976483456385015
HR,2013,4004,3913,20,3928,0,56,0.981018981018981
HR,2014,4343,4249,22,4241,0,80,0.9765139304628138
HR,2015,4433,4337,25,4338,0,70,0.9785698172794947
HR,2016,4419,4320,23,4333,0,63,0.9805385833899072
HR,2017,4533,4441,19,4447,0,67,0.9810280167659386
HR,2018,4707,4618,24,4609,0,74,0.9791799447631188
HR,2019,4718,4644,25,4634,0,59,0.9821958456973294
HR,2020,4593,4520,14,4511,0,68,0.9821467450468103
HR,2021,5008,4937,9,4928,0,71,0.9840255591054313
HR,2022,5074,5013,6,4988,0,80,0.9830508474576272
HR,2023,5698,5619,21,5599,0,78,0.9826254826254827
HR,2024,5951,5872,21,0,5880,50,0
IN,2005,285,269,5,271,0,9,0.9508771929824561
IN,2006,316,300,8,300,0,8,0.9493670886075949
IN,2007,281,274,10,267,0,4,0.9501779359430605
IN,2008,269,253,8,256,0,5,0.9516728624535316
IN,2009,261,249,14,244,0,3,0.9348659003831418
