candidate_zip,broad_reason,n
96797,valid_2020_zcta_outside_conus_crop,297
96706,valid_2020_zcta_outside_conus_crop,240
96789,valid_2020_zcta_outside_conus_crop,218
96819,valid_2020_zcta_outside_conus_crop,210
96744,valid_2020_zcta_outside_conus_crop,199
96792,valid_2020_zcta_outside_conus_crop,185
96817,valid_2020_zcta_outside_conus_crop,183
96816,valid_2020_zcta_outside_conus_crop,173
00926,valid_2020_zcta_outside_conus_crop,171
00725,valid_2020_zcta_outside_conus_crop,162
96818,valid_2020_zcta_outside_conus_crop,158
96701,valid_2020_zcta_outside_conus_crop,156
96707,valid_2020_zcta_outside_conus_crop,148
96720,valid_2020_zcta_outside_conus_crop,138
96782,valid_2020_zcta_outside_conus_crop,137
00680,valid_2020_zcta_outside_conus_crop,125
99504,valid_2020_zcta_outside_conus_crop,124
96734,valid_2020_zcta_outside_conus_crop,123
00956,valid_2020_zcta_outside_conus_crop,121
00745,valid_2020_zcta_outside_conus_crop,120
00602,valid_2020_zcta_outside_conus_crop,118
00949,valid_2020_zcta_outside_conus_crop,109
96793,valid_2020_zcta_outside_conus_crop,108
00603,valid_2020_zcta_outside_conus_crop,103
99508,valid_2020_zcta_outside_conus_crop,103
96825,valid_2020_zcta_outside_conus_crop,102
00953,valid_2020_zcta_outside_conus_crop,101
96786,valid_2020_zcta_outside_conus_crop,101
96822,valid_2020_zcta_outside_conus_crop,101
00729,valid_2020_zcta_outside_conus_crop,99
00685,valid_2020_zcta_outside_conus_crop,98
00612,valid_2020_zcta_outside_conus_crop,95
99507,valid_2020_zcta_outside_conus_crop,94
00693,valid_2020_zcta_outside_conus_crop,90
00698,valid_2020_zcta_outside_conus_crop,87
00987,valid_2020_zcta_outside_conus_crop,87
00623,valid_2020_zcta_outside_conus_crop,85
00674,valid_2020_zcta_outside_conus_crop,85
00676,valid_2020_zcta_outside_conus_crop,84
00959,valid_2020_zcta_outside_conus_crop,84
00662,valid_2020_zcta_outside_conus_crop,83
96813,valid_2020_zcta_outside_conus_crop,81
00777,valid_2020_zcta_outside_conus_crop,80
96732,valid_2020_zcta_outside_conus_crop,80
96826,valid_2020_zcta_outside_conus_crop,80
00610,valid_2020_zcta_outside_conus_crop,79
00976,valid_2020_zcta_outside_conus_crop,79
96740,valid_2020_zcta_outside_conus_crop,78
00985,valid_2020_zcta_outside_conus_crop,77
00769,valid_2020_zcta_outside_conus_crop,75
00736,valid_2020_zcta_outside_conus_crop,73
00783,valid_2020_zcta_outside_conus_crop,73
00957,valid_2020_zcta_outside_conus_crop,73
96815,valid_2020_zcta_outside_conus_crop,73
00924,valid_2020_zcta_outside_conus_crop,72
00795,valid_2020_zcta_outside_conus_crop,70
99515,valid_2020_zcta_outside_conus_crop,70
00778,valid_2020_zcta_outside_conus_crop,69
00754,valid_2020_zcta_outside_conus_crop,67
00969,valid_2020_zcta_outside_conus_crop,66
99502,valid_2020_zcta_outside_conus_crop,66
00728,valid_2020_zcta_outside_conus_crop,65
00738,valid_2020_zcta_outside_conus_crop,65
99654,valid_2020_zcta_outside_conus_crop,65
00791,valid_2020_zcta_outside_conus_crop,63
96814,valid_2020_zcta_outside_conus_crop,63
99577,valid_2020_zcta_outside_conus_crop,62
00705,valid_2020_zcta_outside_conus_crop,61
00739,valid_2020_zcta_outside_conus_crop,61
00961,valid_2020_zcta_outside_conus_crop,61
01805,not_in_2020_zcta,61
00646,valid_2020_zcta_outside_conus_crop,58
00669,valid_2020_zcta_outside_conus_crop,58
00683,valid_2020_zcta_outside_conus_crop,58
00771,valid_2020_zcta_outside_conus_crop,58
99645,valid_2020_zcta_outside_conus_crop,57
00794,valid_2020_zcta_outside_conus_crop,56
96761,valid_2020_zcta_outside_conus_crop,56
00659,valid_2020_zcta_outside_conus_crop,55
00767,valid_2020_zcta_outside_conus_crop,55
00983,valid_2020_zcta_outside_conus_crop,55
96753,valid_2020_zcta_outside_conus_crop,55
00687,valid_2020_zcta_outside_conus_crop,54
00692,valid_2020_zcta_outside_conus_crop,54
00727,valid_2020_zcta_outside_conus_crop,53
00678,valid_2020_zcta_outside_conus_crop,52
00784,valid_2020_zcta_outside_conus_crop,52
00921,valid_2020_zcta_outside_conus_crop,52
00716,valid_2020_zcta_outside_conus_crop,51
00719,valid_2020_zcta_outside_conus_crop,51
00637,valid_2020_zcta_outside_conus_crop,49
99701,valid_2020_zcta_outside_conus_crop,48
00703,valid_2020_zcta_outside_conus_crop,47
96821,valid_2020_zcta_outside_conus_crop,47
85222,not_in_2020_zcta,46
99516,valid_2020_zcta_outside_conus_crop,46
99517,valid_2020_zcta_outside_conus_crop,46
00627,valid_2020_zcta_outside_conus_crop,45
00641,valid_2020_zcta_outside_conus_crop,44
00667,valid_2020_zcta_outside_conus_crop,44
00730,valid_2020_zcta_outside_conus_crop,44
00802,valid_2020_zcta_outside_conus_crop,43
00919,not_in_2020_zcta,43
85242,not_in_2020_zcta,43
00757,valid_2020_zcta_outside_conus_crop,40
78853,not_in_2020_zcta,40
96746,valid_2020_zcta_outside_conus_crop,40
96768,valid_2020_zcta_outside_conus_crop,40
00920,valid_2020_zcta_outside_conus_crop,39
96749,valid_2020_zcta_outside_conus_crop,39
99503,valid_2020_zcta_outside_conus_crop,39
00624,valid_2020_zcta_outside_conus_crop,38
96766,valid_2020_zcta_outside_conus_crop,38
00656,valid_2020_zcta_outside_conus_crop,37
00751,valid_2020_zcta_outside_conus_crop,37
00962,valid_2020_zcta_outside_conus_crop,37
00918,valid_2020_zcta_outside_conus_crop,36
99709,valid_2020_zcta_outside_conus_crop,36
00731,valid_2020_zcta_outside_conus_crop,35
99501,valid_2020_zcta_outside_conus_crop,35
00923,valid_2020_zcta_outside_conus_crop,34
00681,not_in_2020_zcta,33
00917,valid_2020_zcta_outside_conus_crop,33
00766,valid_2020_zcta_outside_conus_crop,32
00638,valid_2020_zcta_outside_conus_crop,31
00660,valid_2020_zcta_outside_conus_crop,31
00682,valid_2020_zcta_outside_conus_crop,31
00726,not_in_2020_zcta,31
85239,not_in_2020_zcta,31
99801,valid_2020_zcta_outside_conus_crop,31
00009,not_in_2020_zcta,30
00617,valid_2020_zcta_outside_conus_crop,30
00677,valid_2020_zcta_outside_conus_crop,30
00717,valid_2020_zcta_outside_conus_crop,30
00773,valid_2020_zcta_outside_conus_crop,30
00780,valid_2020_zcta_outside_conus_crop,30
94143,not_in_2020_zcta,30
99705,valid_2020_zcta_outside_conus_crop,30
00720,valid_2020_zcta_outside_conus_crop,29
00936,not_in_2020_zcta,29
00970,not_in_2020_zcta,29
99687,not_in_2020_zcta,29
00801,not_in_2020_zcta,28
00960,valid_2020_zcta_outside_conus_crop,28
96743,valid_2020_zcta_outside_conus_crop,28
99611,valid_2020_zcta_outside_conus_crop,28
96708,valid_2020_zcta_outside_conus_crop,27
99669,valid_2020_zcta_outside_conus_crop,27
00688,valid_2020_zcta_outside_conus_crop,26
00737,not_in_2020_zcta,26
00966,valid_2020_zcta_outside_conus_crop,26
00971,valid_2020_zcta_outside_conus_crop,26
85219,not_in_2020_zcta,26
85220,not_in_2020_zcta,26
92329,not_in_2020_zcta,26
00982,valid_2020_zcta_outside_conus_crop,25
00979,valid_2020_zcta_outside_conus_crop,24
96748,valid_2020_zcta_outside_conus_crop,24
99615,valid_2020_zcta_outside_conus_crop,24
00718,valid_2020_zcta_outside_conus_crop,23
00735,valid_2020_zcta_outside_conus_crop,23
00803,not_in_2020_zcta,23
00851,valid_2020_zcta_outside_conus_crop,23
00915,valid_2020_zcta_outside_conus_crop,23
92878,not_in_2020_zcta,23
95927,not_in_2020_zcta,23
96151,not_in_2020_zcta,23
96778,valid_2020_zcta_outside_conus_crop,23
99518,valid_2020_zcta_outside_conus_crop,23
00605,not_in_2020_zcta,22
00707,valid_2020_zcta_outside_conus_crop,22
00723,valid_2020_zcta_outside_conus_crop,22
00951,valid_2020_zcta_outside_conus_crop,22
96795,valid_2020_zcta_outside_conus_crop,22
00927,valid_2020_zcta_outside_conus_crop,21
96762,valid_2020_zcta_outside_conus_crop,21
00616,valid_2020_zcta_outside_conus_crop,20
00664,valid_2020_zcta_outside_conus_crop,20
96738,valid_2020_zcta_outside_conus_crop,20
00650,valid_2020_zcta_outside_conus_crop,19
00694,valid_2020_zcta_outside_conus_crop,19
00952,valid_2020_zcta_outside_conus_crop,19
07101,not_in_2020_zcta,19
92334,not_in_2020_zcta,19
96712,valid_2020_zcta_outside_conus_crop,19
99567,valid_2020_zcta_outside_conus_crop,19
00613,not_in_2020_zcta,18
00841,not_in_2020_zcta,18
00907,valid_2020_zcta_outside_conus_crop,18
85247,not_in_2020_zcta,18
96750,valid_2020_zcta_outside_conus_crop,18
99901,valid_2020_zcta_outside_conus_crop,18
00601,valid_2020_zcta_outside_conus_crop,17
00772,valid_2020_zcta_outside_conus_crop,17
14902,not_in_2020_zcta,17
77399,not_in_2020_zcta,17
85130,not_in_2020_zcta,17
93912,not_in_2020_zcta,17
99712,valid_2020_zcta_outside_conus_crop,17
00785,not_in_2020_zcta,16
00950,valid_2020_zcta_outside_conus_crop,16
00986,not_in_2020_zcta,16
27702,not_in_2020_zcta,16
78502,not_in_2020_zcta,16
85243,not_in_2020_zcta,16
95473,not_in_2020_zcta,16
96779,valid_2020_zcta_outside_conus_crop,16
96791,valid_2020_zcta_outside_conus_crop,16
99603,valid_2020_zcta_outside_conus_crop,16
99707,valid_2020_zcta_outside_conus_crop,16
99708,not_in_2020_zcta,16
00622,valid_2020_zcta_outside_conus_crop,15
00653,valid_2020_zcta_outside_conus_crop,15
00714,valid_2020_zcta_outside_conus_crop,15
00782,valid_2020_zcta_outside_conus_crop,15
00928,not_in_2020_zcta,15
00977,not_in_2020_zcta,15
77903,not_in_2020_zcta,15
92202,not_in_2020_zcta,15
93456,not_in_2020_zcta,15
96158,not_in_2020_zcta,15
98093,not_in_2020_zcta,15
00732,not_in_2020_zcta,14
00733,not_in_2020_zcta,14
00792,not_in_2020_zcta,14
00929,not_in_2020_zcta,14
00984,not_in_2020_zcta,14
36536,not_in_2020_zcta,14
74465,not_in_2020_zcta,14
78333,not_in_2020_zcta,14
78381,not_in_2020_zcta,14
00690,valid_2020_zcta_outside_conus_crop,13
00840,valid_2020_zcta_outside_conus_crop,13
20773,not_in_2020_zcta,13
30015,not_in_2020_zcta,13
39505,not_in_2020_zcta,13
95021,not_in_2020_zcta,13
95036,not_in_2020_zcta,13
96704,valid_2020_zcta_outside_conus_crop,13
99664,valid_2020_zcta_outside_conus_crop,13
99835,valid_2020_zcta_outside_conus_crop,13
00804,not_in_2020_zcta,12
00978,not_in_2020_zcta,12
29802,not_in_2020_zcta,12
41702,not_in_2020_zcta,12
75663,not_in_2020_zcta,12
77305,not_in_2020_zcta,12
77522,not_in_2020_zcta,12
85238,not_in_2020_zcta,12
87199,not_in_2020_zcta,12
92244,not_in_2020_zcta,12
96717,valid_2020_zcta_outside_conus_crop,12
96745,not_in_2020_zcta,12
96756,valid_2020_zcta_outside_conus_crop,12
96763,valid_2020_zcta_outside_conus_crop,12
00670,valid_2020_zcta_outside_conus_crop,11
00741,valid_2020_zcta_outside_conus_crop,11
00765,valid_2020_zcta_outside_conus_crop,11
00820,valid_2020_zcta_outside_conus_crop,11
00823,not_in_2020_zcta,11
27204,not_in_2020_zcta,11
29716,not_in_2020_zcta,11
30514,not_in_2020_zcta,11
36533,not_in_2020_zcta,11
40702,not_in_2020_zcta,11
45408,not_in_2020_zcta,11
45418,not_in_2020_zcta,11
45427,not_in_2020_zcta,11
77404,not_in_2020_zcta,11
78364,not_in_2020_zcta,11
79550,not_in_2020_zcta,11
80477,not_in_2020_zcta,11
82717,not_in_2020_zcta,11
87533,not_in_2020_zcta,11
88241,not_in_2020_zcta,11
96727,valid_2020_zcta_outside_conus_crop,11
96754,valid_2020_zcta_outside_conus_crop,11
96755,valid_2020_zcta_outside_conus_crop,11
96771,valid_2020_zcta_outside_conus_crop,11
96790,valid_2020_zcta_outside_conus_crop,11
96950,valid_2020_zcta_outside_conus_crop,11
98509,not_in_2020_zcta,11
99652,valid_2020_zcta_outside_conus_crop,11
99723,valid_2020_zcta_outside_conus_crop,11
00606,valid_2020_zcta_outside_conus_crop,10
00831,not_in_2020_zcta,10
10551,not_in_2020_zcta,10
11969,not_in_2020_zcta,10
18352,not_in_2020_zcta,10
23090,not_in_2020_zcta,10
30166,not_in_2020_zcta,10
32135,not_in_2020_zcta,10
32353,not_in_2020_zcta,10
32524,not_in_2020_zcta,10
34478,not_in_2020_zcta,10
39506,not_in_2020_zcta,10
46411,not_in_2020_zcta,10
60507,not_in_2020_zcta,10
66201,not_in_2020_zcta,10
70434,not_in_2020_zcta,10
74067,not_in_2020_zcta,10
75168,not_in_2020_zcta,10
77245,not_in_2020_zcta,10
77552,not_in_2020_zcta,10
77834,not_in_2020_zcta,10
85218,not_in_2020_zcta,10
85232,not_in_2020_zcta,10
87502,not_in_2020_zcta,10
88202,not_in_2020_zcta,10
92263,not_in_2020_zcta,10
92517,not_in_2020_zcta,10
93423,not_in_2020_zcta,10
94017,not_in_2020_zcta,10
95001,not_in_2020_zcta,10
95269,not_in_2020_zcta,10
95502,not_in_2020_zcta,10
96752,valid_2020_zcta_outside_conus_crop,10
96929,valid_2020_zcta_outside_conus_crop,10
96932,not_in_2020_zcta,10
00652,valid_2020_zcta_outside_conus_crop,9
00679,not_in_2020_zcta,9
00704,valid_2020_zcta_outside_conus_crop,9
00715,valid_2020_zcta_outside_conus_crop,9
01601,not_in_2020_zcta,9
18105,not_in_2020_zcta,9
20307,not_in_2020_zcta,9
29151,not_in_2020_zcta,9
31776,not_in_2020_zcta,9
32056,not_in_2020_zcta,9
32614,not_in_2020_zcta,9
33526,not_in_2020_zcta,9
41502,not_in_2020_zcta,9
44195,not_in_2020_zcta,9
56619,not_in_2020_zcta,9
57709,not_in_2020_zcta,9
58502,not_in_2020_zcta,9
70361,not_in_2020_zcta,9
70404,not_in_2020_zcta,9
72018,not_in_2020_zcta,9
75185,not_in_2020_zcta,9
76124,not_in_2020_zcta,9
78467,not_in_2020_zcta,9
79708,not_in_2020_zcta,9
82003,not_in_2020_zcta,9
85211,not_in_2020_zcta,9
85228,not_in_2020_zcta,9
85244,not_in_2020_zcta,9
85269,not_in_2020_zcta,9
85358,not_in_2020_zcta,9
85502,not_in_2020_zcta,9
86405,not_in_2020_zcta,9
87174,not_in_2020_zcta,9
92552,not_in_2020_zcta,9
93011,not_in_2020_zcta,9
93216,not_in_2020_zcta,9
93483,not_in_2020_zcta,9
