pollutant,pollutant_label,unit_label,organ,outcome,n,mean,sd,median,p25,p75
no2,NO[2],ppb,Heart,Other/censored,74348,7.928483321183455,5.633011050614034,6.4660715766689325,3.74551439194555,10.613091720751111
no2,NO[2],ppb,Heart,Death/deterioration delisting,11067,8.775439223581214,5.803512005249713,7.337865405060906,4.490076097855372,11.603072145824406
no2,NO[2],ppb,Kidney,Other/censored,522389,8.40869553654068,5.8092566549971805,6.939891786939915,4.007139996102177,11.347062425969446
no2,NO[2],ppb,Kidney,Death/deterioration delisting,131544,9.581155550820483,6.070563793284368,8.172987191876746,4.865495997841683,12.909871248214852
no2,NO[2],ppb,Liver,Other/censored,200116,8.141265252450252,5.918832434096604,6.56477683816183,3.7290060996813574,10.963667101949975
no2,NO[2],ppb,Liver,Death/deterioration delisting,46119,9.431025398314008,6.39508775806566,7.80791598406941,4.637804080445187,12.660466075753224
no2,NO[2],ppb,Lung,Other/censored,48341,7.514361765439142,5.090306340582441,6.28609860354457,3.6982842418882607,10.0961749776211
no2,NO[2],ppb,Lung,Death/deterioration delisting,6140,8.968322461929462,5.671821812999111,7.633457465324671,4.6619854478988145,11.904601196176943
o3,O[3],ppb,Heart,Other/censored,63877,38.776484011392924,4.051724844510909,38.23305619901155,36.58066821628148,40.4014286765054
o3,O[3],ppb,Heart,Death/deterioration delisting,10186,38.609967565412454,3.8179088291609937,38.14443415454051,36.59750033789323,40.16977521327437
o3,O[3],ppb,Kidney,Other/censored,490032,38.724401706413744,4.135342136980761,38.219354564639254,36.570653615013384,40.27027345123636
o3,O[3],ppb,Kidney,Death/deterioration delisting,116476,38.433889088197546,4.292218773094599,38.05165313991036,36.182839591647905,40.075956258286695
o3,O[3],ppb,Liver,Other/censored,173936,38.863850513255976,4.207474595997529,38.280611506314195,36.5653709489595,40.57268839004714
o3,O[3],ppb,Liver,Death/deterioration delisting,42649,38.87164932372802,4.462981181863931,38.23049183529837,36.3871501494145,40.71219329474219
o3,O[3],ppb,Lung,Other/censored,41266,38.92847554866875,3.976679630615749,38.28903833206188,36.74544597082809,40.45982186473097
o3,O[3],ppb,Lung,Death/deterioration delisting,5799,38.69254359468872,3.8884322542108776,38.15925183700973,36.62647776606808,40.22144262096292
pm25,PM[2.5],µg/m³,Heart,Other/censored,63877,8.550164166398204,2.131238896868456,8.2079306579616,7.074400222454314,9.616614185439213
pm25,PM[2.5],µg/m³,Heart,Death/deterioration delisting,10186,8.700312483988553,2.1643508587546596,8.379501255490672,7.166987016654698,9.804387091942509
pm25,PM[2.5],µg/m³,Kidney,Other/censored,490032,8.659907888535814,2.0304111521205326,8.377728473917118,7.264120348535299,9.652614291169558
pm25,PM[2.5],µg/m³,Kidney,Death/deterioration delisting,116476,8.81343295623796,2.0897855119373756,8.565689369285012,7.3515626229194195,9.873130261659952
pm25,PM[2.5],µg/m³,Liver,Other/censored,173936,8.64280394004129,2.2273013210364847,8.287323334896033,7.095783123447819,9.766822183652533
pm25,PM[2.5],µg/m³,Liver,Death/deterioration delisting,42649,8.777977959537756,2.3501340912520416,8.436009497353519,7.1250166476719,9.949070620470682
pm25,PM[2.5],µg/m³,Lung,Other/censored,41266,8.44532953441995,2.1104093425436425,8.117033931078891,6.989849233185806,9.545232150439219
pm25,PM[2.5],µg/m³,Lung,Death/deterioration delisting,5799,8.715449036248225,2.228325265701612,8.427201143696776,7.18931569571822,9.88067192718993
