model,pollutant,subdistribution_hazard_ratio,conf_low,conf_high,p_value,elapsed_seconds,n,deaths,competing_transplants
fine_gray_waitlist_death_HL,PM2.5 per 5 ug/m3,1.0883029238839477,0.7474531735158471,1.5845852236645006,0.6588870069619996,0.14100000000000534,1085,184,601
fine_gray_waitlist_death_HL,O3 per 10 ppb,1.0538270184279543,0.7416483294102227,1.4974096761626767,0.7699004628438156,0.14100000000000534,1085,184,601
fine_gray_waitlist_death_HL,NO2 per 10 units,1.089035348594867,0.8084191966138128,1.4670581740969002,0.5747666261479836,0.14100000000000534,1085,184,601
fine_gray_waitlist_death_HR,PM2.5 per 5 ug/m3,1.2854999995484238,1.0289069943432758,1.6060832105566076,0.02704550087889035,21.236999999999995,9999,735,7177
fine_gray_waitlist_death_HR,O3 per 10 ppb,0.8326781596362977,0.6866286134036778,1.0097932186342786,0.06275063348189891,21.236999999999995,9999,735,7177
fine_gray_waitlist_death_HR,NO2 per 10 units,0.9948778127805232,0.8432742300654378,1.1737366411471521,0.9514541247715136,21.236999999999995,9999,735,7177
fine_gray_waitlist_death_IN,PM2.5 per 5 ug/m3,1.2079873212939507,0.9380642199538707,1.555579391439418,0.143066064395015,1.8490000000000038,3545,360,2341
fine_gray_waitlist_death_IN,O3 per 10 ppb,1.2515445397086808,0.9369745940409863,1.6717248736907546,0.12870569593855463,1.8490000000000038,3545,360,2341
fine_gray_waitlist_death_IN,NO2 per 10 units,1.1906101246583178,0.9779466464293212,1.4495192290036092,0.0822343312220487,1.8490000000000038,3545,360,2341
fine_gray_waitlist_death_KI,PM2.5 per 5 ug/m3,1.5858556118760605,1.3458633641070346,1.8686429014935164,3.628772049513174e-8,67.14299999999999,9999,1066,5698
fine_gray_waitlist_death_KI,O3 per 10 ppb,0.9684687378849066,0.8217727688479303,1.141351638574372,0.7022255791160498,67.14299999999999,9999,1066,5698
fine_gray_waitlist_death_KI,NO2 per 10 units,1.0264028706481085,0.9034895113195671,1.1660377233776764,0.6888227515377308,67.14299999999999,9999,1066,5698
fine_gray_waitlist_death_KP,PM2.5 per 5 ug/m3,1.3481389353596702,1.1241781585854111,1.616717577327508,0.0012692965716196714,48.625,9999,788,6851
fine_gray_waitlist_death_KP,O3 per 10 ppb,0.8453420486302307,0.6976447651347419,1.0243080933092616,0.08637038351732973,48.625,9999,788,6851
fine_gray_waitlist_death_KP,NO2 per 10 units,0.9396315119543538,0.8155204172777809,1.0826306240189334,0.38895090122767084,48.625,9999,788,6851
fine_gray_waitlist_death_LI,PM2.5 per 5 ug/m3,1.0144101910562586,0.86484145535045,1.18984587215678,0.8604539267183237,43.68399999999997,9999,1028,6289
fine_gray_waitlist_death_LI,O3 per 10 ppb,1.2902653090416607,1.1182473388817256,1.4887444931290401,4.813282866564794e-4,43.68399999999997,9999,1028,6289
fine_gray_waitlist_death_LI,NO2 per 10 units,1.3285488922754773,1.1746803325853692,1.5025723255974617,6.080690798659916e-6,43.68399999999997,9999,1028,6289
fine_gray_waitlist_death_LU,PM2.5 per 5 ug/m3,1.1268747874850333,0.917792552070095,1.3835880273873224,0.2539741703501053,15.999000000000024,9998,700,8033
fine_gray_waitlist_death_LU,O3 per 10 ppb,1.1623611753365712,0.9748287428910286,1.3859701119633956,0.09373628210317309,15.999000000000024,9998,700,8033
fine_gray_waitlist_death_LU,NO2 per 10 units,1.348994511604061,1.149606516962821,1.58296440172036,2.4394465233845697e-4,15.999000000000024,9998,700,8033
fine_gray_waitlist_death_PA,PM2.5 per 5 ug/m3,1.3112015330632238,1.0454855345232497,1.6444507394273429,0.019028097336270977,22.607999999999947,8918,432,4563
fine_gray_waitlist_death_PA,O3 per 10 ppb,1.0681999811920229,0.8178564369240763,1.39517297694701,0.6282213150988518,22.607999999999947,8918,432,4563
fine_gray_waitlist_death_PA,NO2 per 10 units,1.1070744279554778,0.9164419692843324,1.3373610442459924,0.29142106388640054,22.607999999999947,8918,432,4563
