organ_label,pollutant,exposure,candidate_organ_episodes,adverse_events,hazard_ratio_ci,p_value_display,adjustment_set
Heart,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,61449,9050,1.14 (1.10-1.18),<.001,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Kidney,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,486543,100486,0.99 (0.98-1.01),0.298,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center)
Liver,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,179632,38142,1.03 (1.02-1.05),<.001,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Lung,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,38786,5168,1.13 (1.08-1.18),<.001,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Heart,o3,Daily O3-derived monthly exposure per 10 ppb,76760,10342,1.00 (0.98-1.03),0.682,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Kidney,o3,Daily O3-derived monthly exposure per 10 ppb,592129,123989,0.99 (0.98-0.99),<.001,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center)
Liver,o3,Daily O3-derived monthly exposure per 10 ppb,218837,43864,0.99 (0.98-1.00),0.015,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Lung,o3,Daily O3-derived monthly exposure per 10 ppb,48311,5776,0.96 (0.94-0.99),0.012,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Heart,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",82122,10772,1.28 (1.23-1.34),<.001,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Kidney,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",628132,131452,0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center)
Liver,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",232844,45481,1.01 (1.00-1.03),0.127,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
Lung,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",51932,5939,1.35 (1.28-1.42),<.001,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center)
