window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2020-2021,o3,17031822400,36.2191979861285,731,0,0
2020-2021,o3,17031740100,36.8593028748278,731,0,0
2020-2021,o3,17031530501,36.685499862662,731,0,731
2020-2021,o3,17031830300,36.6175108055614,731,0,0
2020-2021,o3,17031750300,37.5183316124183,731,0,731
2020-2021,o3,17031826303,37.0010949426042,731,0,0
2020-2021,o3,17031826500,35.6993165374332,731,0,0
2020-2021,o3,17031827801,36.6040361131581,731,0,0
2020-2021,o3,17031825900,36.9023261312829,731,0,0
2020-2021,o3,17031822601,37.1818062996061,731,0,0
2020-2021,o3,17031819900,36.6373466471702,731,0,0
2020-2021,o3,17031500200,36.0253083343565,731,0,0
2020-2021,o3,17031491400,36.4793439088377,731,0,0
2020-2021,o3,17031817900,36.7232016416096,731,0,0
2020-2021,o3,17031815800,37.0215463792974,731,0,0
2020-2021,o3,17031720300,36.6540361139032,731,0,0
2020-2021,o3,17031691400,36.2548569013886,731,0,731
2020-2021,o3,17031812801,37.2419978189709,731,0,0
2020-2021,o3,17031811000,37.3041729224966,731,0,0
2020-2021,o3,17031670100,36.7317378934468,731,0,731
2020-2021,o3,17031640800,34.9451441595741,731,0,731
2020-2021,o3,17031690400,35.9521209187653,731,0,0
2020-2021,o3,17031671200,36.3056092961257,731,0,731
2020-2021,o3,17031580200,34.6629280130979,731,0,0
2020-2021,o3,17031560400,33.9484273184565,731,0,731
2020-2021,o3,17031630300,35.7786599038686,731,0,0
2020-2021,o3,17031610400,36.1902878169791,731,0,731
2020-2021,o3,17031440700,36.1652536168796,731,0,731
2020-2021,o3,17031491200,36.4103972593835,731,0,0
2020-2021,o3,17031460200,36.7032837206562,731,0,0
2020-2021,o3,17031350400,35.2072508666262,731,0,731
2020-2021,o3,17031841200,34.0243507122007,731,0,731
2020-2021,o3,17031310400,35.3883726203511,731,0,731
2020-2021,o3,17031840800,35.9689471844059,731,0,731
2020-2021,o3,17031420300,36.2478801570986,731,0,731
2020-2021,o3,17031400500,36.7772919296933,731,0,731
2020-2021,o3,17031381500,35.8889198234323,731,0,0
2020-2021,o3,17031260900,36.0574560776536,731,0,731
2020-2021,o3,17031300800,35.2176475836074,731,0,0
2020-2021,o3,17031291200,36.3181947956292,731,0,731
2020-2021,o3,17031807900,37.6932518156632,731,0,0
2020-2021,o3,17031811600,36.8528505263504,731,0,0
2020-2021,o3,17031810000,38.3404930473781,731,0,0
2020-2021,o3,17031806201,36.8083452817292,731,0,731
2020-2021,o3,17031805801,37.6557461151499,731,0,0
2020-2021,o3,17031805111,35.8653904113169,731,0,0
2020-2021,o3,17031803400,37.4127502154962,731,0,0
2020-2021,o3,17031770901,36.8409718212031,731,0,0
2020-2021,o3,17031360200,36.7856366630598,731,0,0
2020-2021,o3,17031801300,38.6637032665126,731,0,0
2020-2021,o3,17031230800,36.0653904142972,731,0,731
2020-2021,o3,17031222900,36.1526681173761,731,0,731
2020-2021,o3,17031222800,36.0653904142972,731,0,731
2020-2021,o3,17031221600,35.994118183413,731,0,731
2020-2021,o3,17031210800,35.644733773282,731,0,731
2020-2021,o3,17031242400,35.2950757653357,731,0,731
2020-2021,o3,17031241100,36.2506161352515,731,0,0
2020-2021,o3,17031061200,35.8125860329651,731,0,0
2020-2021,o3,17031050300,36.5229827603771,731,0,0
2020-2021,o3,17031040300,36.1937077896703,731,0,0
2020-2021,o3,17031030400,36.8175108085416,731,0,0
2020-2021,o3,17031020400,37.0021893338653,731,0,0
2020-2021,o3,17031191000,36.1984957514379,731,0,731
2020-2021,o3,17031161000,36.0800278974154,731,0,0
2020-2021,o3,17031160800,35.9228459525288,731,0,0
2020-2021,o3,17031150600,36.2742823462745,731,0,0
2020-2021,o3,17031130300,37.0920662161895,731,0,0
2020-2021,o3,17031110200,36.4380306387282,731,0,0
2020-2021,o3,17031081500,31.2766078531987,731,0,731
2020-2021,o3,17031080400,35.7357050468674,731,0,0
2020-2021,o3,17031070700,35.1492481297838,731,0,0
2020-2021,o3,17031030702,36.5272235265142,731,0,731
2020-2021,o3,17031063400,34.6142276019755,731,0,731
2020-2021,o3,17031071800,35.3202467643428,731,0,731
2020-2021,o3,17031220701,36.0854998537213,731,0,731
2020-2021,o3,17031838200,34.956840466178,731,0,0
2020-2021,o3,17031010502,35.1508897166755,731,0,731
2020-2021,o3,17031804405,36.2218883646456,731,0,731
2020-2021,o3,17031825304,37.0258555448883,731,0,0
2020-2021,o3,17031190701,36.188783028995,731,0,0
2020-2021,o3,17031251700,35.3937077777493,731,0,731
2020-2021,o3,17031310300,35.3883726203511,731,0,731
2020-2021,o3,17031520600,36.5937077956307,731,0,0
2020-2021,o3,17031670500,33.5491113070343,731,0,731
2020-2021,o3,17031671900,36.3352946590851,731,0,0
2020-2021,o3,17031813701,35.6279075076414,731,0,731
2020-2021,o3,17031802003,38.4504337694905,731,0,0
2020-2021,o3,17031831300,35.2783862986027,731,0,731
2020-2021,o3,17031835800,35.8889198234323,731,0,731
2020-2021,o3,17031829903,37.6625860605323,731,0,0
2020-2021,o3,17031844600,34.0766078949219,731,0,731
2020-2021,o3,17031803604,38.4980853889877,731,0,0
2020-2021,o3,17031803005,37.1670320175802,731,0,0
2020-2021,o3,17031802504,37.8090292911686,731,0,0
2020-2021,o3,17031804508,37.1768815389308,731,0,0
