window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2015-2019,o3,17031822400,35.730303562726,1826,0,0
2015-2019,o3,17031740100,35.7111724927075,1826,0,0
2015-2019,o3,17031530501,35.4665394112966,1826,0,1826
2015-2019,o3,17031830300,36.3433557806966,1826,0,0
2015-2019,o3,17031750300,36.3000005409122,1826,0,1826
2015-2019,o3,17031826303,36.8818734959135,1826,0,0
2015-2019,o3,17031826500,34.2406905430848,1826,0,0
2015-2019,o3,17031827801,36.0355153233894,1826,0,0
2015-2019,o3,17031825900,35.9913477433227,1826,0,0
2015-2019,o3,17031822601,36.9665120513916,1826,0,0
2015-2019,o3,17031819900,36.6515339525031,1826,0,0
2015-2019,o3,17031500200,35.7009315286995,1826,0,0
2015-2019,o3,17031491400,34.9880618576169,1826,0,0
2015-2019,o3,17031817900,35.7669884847769,1826,0,0
2015-2019,o3,17031815800,36.8174978103978,1826,0,0
2015-2019,o3,17031720300,35.3302031551577,1826,0,0
2015-2019,o3,17031691400,35.13899285658,1826,0,1826
2015-2019,o3,17031812801,36.1464408453052,1826,0,0
2015-2019,o3,17031811000,36.527601858652,1826,0,0
2015-2019,o3,17031670100,35.0502743448528,1826,0,1826
2015-2019,o3,17031640800,33.5605700510225,1826,0,1826
2015-2019,o3,17031690400,34.7280399479372,1826,0,0
2015-2019,o3,17031671200,35.0610629539949,1826,0,1826
2015-2019,o3,17031580200,33.6014791425411,1826,0,0
2015-2019,o3,17031560400,32.521577702572,1826,0,1826
2015-2019,o3,17031630300,34.2863641472703,1826,0,0
2015-2019,o3,17031610400,34.5446335925208,1826,0,1826
2015-2019,o3,17031440700,34.5306138770873,1826,0,1826
2015-2019,o3,17031491200,35.1588176104351,1826,0,0
2015-2019,o3,17031460200,35.5272732566704,1826,0,0
2015-2019,o3,17031350400,34.581490110047,1826,0,1826
2015-2019,o3,17031841200,30.9762326631152,1826,0,1826
2015-2019,o3,17031310400,34.2865284408105,1826,0,1826
2015-2019,o3,17031840800,34.4383904365017,1826,0,1826
2015-2019,o3,17031420300,35.4817091815117,1826,0,1826
2015-2019,o3,17031400500,35.5210301021414,1826,0,1826
2015-2019,o3,17031381500,34.6569008450151,1826,0,0
2015-2019,o3,17031260900,34.8402524359182,1826,0,1826
2015-2019,o3,17031300800,34.012432051184,1826,0,0
2015-2019,o3,17031291200,35.0765613112905,1826,0,1826
2015-2019,o3,17031807900,37.017689489175,1826,0,0
2015-2019,o3,17031811600,35.5349037788724,1826,0,0
2015-2019,o3,17031810000,38.0887190779714,1826,0,0
2015-2019,o3,17031806201,35.6767256137714,1826,0,1826
2015-2019,o3,17031805801,36.728834063184,1826,0,0
2015-2019,o3,17031805111,34.3415393945328,1826,0,0
2015-2019,o3,17031803400,36.78181872991,1826,0,0
2015-2019,o3,17031770901,35.7204550777308,1826,0,0
2015-2019,o3,17031360200,35.5094200252981,1826,0,0
2015-2019,o3,17031801300,38.2804313845886,1826,0,0
2015-2019,o3,17031230800,34.4006576867609,1826,0,1826
2015-2019,o3,17031222900,34.5211396162671,1826,0,1826
2015-2019,o3,17031222800,34.4006576867609,1826,0,1826
2015-2019,o3,17031221600,34.6561889063408,1826,0,1826
2015-2019,o3,17031210800,34.4903071952162,1826,0,1826
2015-2019,o3,17031242400,34.0650059840594,1826,0,1826
2015-2019,o3,17031241100,34.9801757676855,1826,0,0
2015-2019,o3,17031061200,34.8292995332358,1826,0,0
2015-2019,o3,17031050300,35.267689463098,1826,0,0
2015-2019,o3,17031040300,34.9157726999132,1826,0,0
2015-2019,o3,17031030400,35.5543816908092,1826,0,0
2015-2019,o3,17031020400,35.8102414974696,1826,0,0
2015-2019,o3,17031191000,34.6842283372077,1826,0,1826
2015-2019,o3,17031161000,34.902191100587,1826,0,0
2015-2019,o3,17031160800,34.7149512292317,1826,0,0
2015-2019,o3,17031150600,35.0003838731345,1826,0,0
2015-2019,o3,17031130300,35.732914004532,1826,0,0
2015-2019,o3,17031110200,34.9936478379849,1826,0,0
2015-2019,o3,17031081500,32.0962217269019,1826,0,1826
2015-2019,o3,17031080400,34.7175251613621,1826,0,0
2015-2019,o3,17031070700,33.6041626036983,1826,0,0
2015-2019,o3,17031030702,35.3693871645039,1826,0,1826
2015-2019,o3,17031063400,33.9443049964996,1826,0,1826
2015-2019,o3,17031071800,34.2546007294914,1826,0,1826
2015-2019,o3,17031220701,34.5610081820309,1826,0,1826
2015-2019,o3,17031838200,34.1411834222153,1826,0,0
2015-2019,o3,17031010502,34.4950169433696,1826,0,1826
2015-2019,o3,17031804405,34.6491242841107,1826,0,1826
2015-2019,o3,17031825304,37.124124320991,1826,0,0
2015-2019,o3,17031190701,34.8639107057121,1826,0,0
2015-2019,o3,17031251700,33.7938668781571,1826,0,1826
2015-2019,o3,17031310300,34.2865284408105,1826,0,1826
2015-2019,o3,17031520600,35.2552579185535,1826,0,0
2015-2019,o3,17031670500,31.5652250048601,1826,0,1826
