window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031803604,12.0019167579409,1826,0,0
2010-2014,pm25,17031803005,11.7075575027382,1826,0,0
2010-2014,pm25,17031802504,11.9623220153341,1826,0,0
2010-2014,pm25,17031804508,12.2992880613363,1826,0,0
2010-2014,pm25,17031804000,12.3970427163198,1826,0,0
2010-2014,pm25,17031770602,11.9940671778021,1826,0,0
2010-2014,pm25,17031839600,11.6369112814896,1826,0,1826
2010-2014,pm25,17031802100,12.4490690032859,1826,0,0
2010-2014,pm25,17031801603,11.5774917853231,1826,0,0
2010-2014,pm25,17031800400,11.6785323110624,1826,0,0
2010-2014,pm25,17031230900,11.6232201533406,1826,0,1826
2010-2014,pm25,17031230200,10.7097480832421,1826,0,1826
2010-2014,pm25,17031222600,10.8910186199343,1826,0,0
2010-2014,pm25,17031220400,11.3192771084337,1826,0,1826
2010-2014,pm25,17031210700,11.1736035049288,1826,0,0
2010-2014,pm25,17031250200,11.9457831325301,1826,0,0
2010-2014,pm25,17031240800,10.986308871851,1826,0,1826
2010-2014,pm25,17031062300,10.6401971522453,1826,0,1826
2010-2014,pm25,17031061500,10.6401971522453,1826,0,1826
2010-2014,pm25,17031832100,22.9786418400876,1826,0,1826
2010-2014,pm25,17031050900,11.1046002190581,1826,0,0
2010-2014,pm25,17031050600,11.0618838992333,1826,0,1826
2010-2014,pm25,17031040202,11.486856516977,1826,0,1826
2010-2014,pm25,17031031900,11.5,1826,0,1826
2010-2014,pm25,17031031502,11.9446878422782,1826,0,1826
2010-2014,pm25,17031030300,11.9271631982475,1826,0,1826
2010-2014,pm25,17031020901,11.7464403066813,1826,0,0
2010-2014,pm25,17031020302,11.1736035049288,1826,0,0
2010-2014,pm25,17031200402,11.2228915662651,1826,0,1826
2010-2014,pm25,17031190900,11.0613362541073,1826,0,0
2010-2014,pm25,17031190402,11.2573932092004,1826,0,0
2010-2014,pm25,17031190100,11.250273822563,1826,0,0
2010-2014,pm25,17031170600,11.7119386637459,1826,0,1826
2010-2014,pm25,17031160601,11.0213581599124,1826,0,1826
2010-2014,pm25,17031160100,11.6139101861993,1826,0,0
2010-2014,pm25,17031150800,11.6150054764513,1826,0,1826
2010-2014,pm25,17031140400,11.6785323110624,1826,0,0
2010-2014,pm25,17031100300,11.7772453450164,1826,0,0
2010-2014,pm25,17031071100,10.9008762322015,1826,0,1826
2010-2014,pm25,17031070300,10.9008762322015,1826,0,1826
2010-2014,pm25,17031818100,12.0465498357065,1826,0,0
2010-2014,pm25,17031817102,12.6681270536692,1826,0,0
2010-2014,pm25,17031816402,11.9019715224535,1826,0,0
2010-2014,pm25,17031815900,11.4222343921139,1826,0,0
2010-2014,pm25,17031730100,11.1637458926616,1826,0,0
2010-2014,pm25,17031720100,11.6108981380066,1826,0,0
2010-2014,pm25,17031710400,11.420591456736,1826,0,0
2010-2014,pm25,17031812600,11.1642935377875,1826,0,0
2010-2014,pm25,17031811100,12.3161737860533,1826,0,0
2010-2014,pm25,17031730300,11.2716319824754,1826,0,0
2010-2014,pm25,17031660600,11.0607886089814,1826,0,1826
2010-2014,pm25,17031650400,11.4008762322015,1826,0,0
2010-2014,pm25,17031490800,11.7562979189485,1826,0,1826
