window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2005-2009,o3,17031822400,32.8324758452113,1826,0,0
2005-2009,o3,17031740100,31.5056685965247,1826,0,0
2005-2009,o3,17031530501,31.7796280748677,1826,0,1826
2005-2009,o3,17031830300,30.9089818406454,1826,0,0
2005-2009,o3,17031750300,31.0173060481742,1826,0,1826
2005-2009,o3,17031826303,32.2287518493586,1826,0,0
2005-2009,o3,17031826500,32.9340640175904,1826,0,0
2005-2009,o3,17031827801,31.9080782410753,1826,0,0
2005-2009,o3,17031825900,32.1016981782431,1826,0,0
2005-2009,o3,17031822601,32.5860902993712,1826,0,0
2005-2009,o3,17031819900,30.6579960756787,1826,0,0
2005-2009,o3,17031500200,32.2888285205715,1826,0,0
2005-2009,o3,17031491400,32.1863093514644,1826,0,0
2005-2009,o3,17031817900,31.0512052819761,1826,0,0
2005-2009,o3,17031815800,32.0083520651325,1826,0,0
2005-2009,o3,17031720300,31.9058876605388,1826,0,0
2005-2009,o3,17031691400,30.903998269925,1826,0,1826
2005-2009,o3,17031812801,31.2483027657455,1826,0,0
2005-2009,o3,17031811000,29.9339544438601,1826,0,0
2005-2009,o3,17031670100,31.985487880783,1826,0,1826
2005-2009,o3,17031640800,34.1200990845518,1826,0,1826
2005-2009,o3,17031690400,32.842004870545,1826,0,0
2005-2009,o3,17031671200,31.9017529397762,1826,0,1826
2005-2009,o3,17031580200,32.3383356406958,1826,0,0
2005-2009,o3,17031560400,33.8154988609548,1826,0,1826
2005-2009,o3,17031630300,30.5868022082433,1826,0,0
2005-2009,o3,17031610400,29.8652797440416,1826,0,1826
2005-2009,o3,17031440700,32.8196061845595,1826,0,1826
2005-2009,o3,17031491200,32.3150607224958,1826,0,0
2005-2009,o3,17031460200,30.8304495284128,1826,0,0
2005-2009,o3,17031350400,32.369606177854,1826,0,1826
2005-2009,o3,17031841200,34.2303948145633,1826,0,1826
2005-2009,o3,17031310400,30.5558602581656,1826,0,1826
2005-2009,o3,17031840800,31.2721253290797,1826,0,1826
2005-2009,o3,17031420300,30.9426072518803,1826,0,1826
2005-2009,o3,17031400500,32.1753016842686,1826,0,1826
2005-2009,o3,17031381500,33.0196061875398,1826,0,0
2005-2009,o3,17031260900,32.1255755060906,1826,0,1826
2005-2009,o3,17031300800,28.7135820269895,1826,0,0
2005-2009,o3,17031291200,31.7498361795716,1826,0,1826
2005-2009,o3,17031807900,31.1211395656031,1826,0,0
2005-2009,o3,17031811600,31.4583246746801,1826,0,0
