window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2015-2019,pm25,17031822400,9.6369112814896,1826,0,0
2015-2019,pm25,17031740100,10.1095290251917,1826,0,1826
2015-2019,pm25,17031530501,8.91730558598029,1826,0,0
2015-2019,pm25,17031830300,9.82940854326396,1826,0,0
2015-2019,pm25,17031750300,9.91511500547645,1826,0,0
2015-2019,pm25,17031826303,8.86199342825849,1826,0,0
2015-2019,pm25,17031826500,9.25585980284776,1826,0,0
2015-2019,pm25,17031827801,9.32694414019715,1826,0,0
2015-2019,pm25,17031825900,9.5670865279299,1826,0,0
2015-2019,pm25,17031822601,9.19222343921139,1826,0,1826
2015-2019,pm25,17031819900,10.4027929901424,1826,0,0
2015-2019,pm25,17031500200,9.03742241694049,1826,0,0
2015-2019,pm25,17031491400,9.63362541073384,1826,0,1826
2015-2019,pm25,17031817900,9.52774735304856,1826,0,0
2015-2019,pm25,17031815800,10.4162102957284,1826,0,0
2015-2019,pm25,17031720300,9.29134720700986,1826,0,0
2015-2019,pm25,17031691400,8.95235487404162,1826,0,0
2015-2019,pm25,17031812801,9.27656078860898,1826,0,1826
2015-2019,pm25,17031811000,9.73986856516977,1826,0,0
2015-2019,pm25,17031670100,9.63800657174151,1826,0,1826
2015-2019,pm25,17031640800,9.02300109529025,1826,0,1826
2015-2019,pm25,17031690400,9.02190580503833,1826,0,1826
2015-2019,pm25,17031671200,8.99452354874042,1826,0,0
2015-2019,pm25,17031580200,9.36254107338445,1826,0,0
2015-2019,pm25,17031560400,10.0301204819277,1826,0,1826
2015-2019,pm25,17031630300,8.91785323110624,1826,0,0
2015-2019,pm25,17031610400,10.2415115005476,1826,0,1826
2015-2019,pm25,17031440700,9.37458926615553,1826,0,0
2015-2019,pm25,17031491200,8.96604600219058,1826,0,1826
2015-2019,pm25,17031460200,9.18565169769989,1826,0,1826
2015-2019,pm25,17031350400,9.93483023001095,1826,0,1826
2015-2019,pm25,17031841200,8.90744797371303,1826,0,0
2015-2019,pm25,17031310400,9.60843373493976,1826,0,1826
