window,pollutant,tracts,min_days,max_days,missing_values,missing_tracts,mean_value,min_value,max_value
2005-2009,pm25,1331,1826,1826,0,0,13.1366004487531,11.3841730558598,23.9616648411829
2005-2009,o3,1331,1826,1826,0,0,31.6354668452704,26.9564626141689,35.6144870481958
2010-2014,pm25,1331,1826,1826,0,0,11.7411042078419,10.3440580503834,22.9786418400876
2010-2014,o3,1331,1826,1826,0,0,33.4084750263812,30.9183465724389,37.5500416329237
2015-2019,pm25,1331,1826,1826,0,0,9.58713096133811,8.2907995618839,19.302300109529
2015-2019,o3,1331,1826,1826,0,0,35.393930308399,30.7133903809949,38.8024102167552
2020-2021,pm25,1331,731,731,0,0,9.35613007712236,7.78248974008208,16.8153214774282
2020-2021,o3,1331,731,731,0,0,36.4196048069238,31.2766078531987,39.4823079298735
