variable,label,mapped_zips,missing_values,min,median,max
erc,Energy release component,33300,0,3.83879781420765,25.236509562841533,93.42896174863388
etr,Reference ET,33300,0,2.071957277694983,4.483060109289617,9.9132058287796
pet,Potential ET,33300,0,1.6844262295081966,3.355872307939569,6.631102003642988
pr,Precipitation,33300,0,0.10311475409836066,3.028142076502732,13.128825136612024
rhmean_pct,Mean RH,33300,0,23.088393917795205,66.48806596409057,83.18351962245406
rmax_pct,Max RH,33300,0,33.33392135899264,87.45128415300546,99.0739794278367
rmin_pct,Min RH,33300,0,12.026502732240438,45.158269581056466,70.21857923497268
sph,Specific humidity,33300,0,0.0031862978142076508,0.007099027018822101,0.015688950286552046
srad,Solar radiation,33300,0,135.8991256830601,188.13085154826962,265.5234972677596
temp_range_c,Temp range,33300,0,3.7414910226385647,11.664754098360657,19.886429872495448
tmax_c,Max temp,33300,0,5.720765027322416,19.043835971358604,32.84000321440054
tmean_c,Mean temp,33300,0,-0.0015222482435362792,13.151280737704932,26.15417287630405
tmin_c,Min temp,33300,0,-6.012757461118094,7.386612021857941,23.375136612021862
vs,Wind speed,33300,0,1.9420036429872496,4.042013617833291,6.5873975409836065
