organ,pollutant,model,exposure_window,exposure_form,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.18363306444803368,0.779098876482911,1.0434893687695894,0.8951653148004759,1.2163899167360561,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.21730020120547794,0.779098876482911,1.0401135568090576,0.8986314454813077,1.2038708599592307,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.2509673379629222,0.779098876482911,1.0368044657980313,0.901459309445454,1.192470352278042,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.28463447472036646,0.779098876482911,1.033571185622905,0.90360374796253,1.1822321434131944,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3183016114778107,0.779098876482911,1.0304227004074182,0.9050407837873478,1.1731746906163667,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.351968748235255,0.779098876482911,1.0273678957704648,0.9057723168074565,1.1652870966293853,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.38563588499269924,0.779098876482911,1.0244155668597084,0.9058288809104131,1.1585270416303788,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.4193030217501435,0.779098876482911,1.021574427149152,0.9052695512328824,1.1528216195759866,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.45297015850758776,0.779098876482911,1.0188531179909472,0.9041786485370308,1.148071432254531,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.486637295265032,0.779098876482911,1.0162602189140182,0.9026596288835177,1.1441575534120205,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5203044320224763,0.779098876482911,1.0138042586645732,0.9008271603988679,1.1409503621442056,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5539715687799205,0.779098876482911,1.011493726986258,0.8987986229253896,1.1383190112180237,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5876387055373649,0.779098876482911,1.0093370805830928,0.8966860694432857,1.1361404809963271,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.621305842294809,0.779098876482911,1.0073396472984923,0.8945842600041204,1.1343069740739427,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6549729790522534,0.779098876482911,1.005498700551846,0.8925538435364517,1.1327357381663226,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6886401158096975,0.779098876482911,1.0038103080186005,0.8906289022512284,1.1313748430321702,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7223072525671419,0.779098876482911,1.0022706285255898,0.8888240813759912,1.1301971153278603,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.755974389324586,0.779098876482911,1.0008759068605306,0.8871398368655502,1.129193549095135,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7896415260820304,0.779098876482911,0.9996224687691921,0.8855670369934249,1.1283675185796618,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8233086628394746,0.779098876482911,0.9985067161317748,0.8840909133358152,1.1277297924015104,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8569757995969189,0.779098876482911,0.9975251223105526,0.882694395668487,1.127294309926032,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8906429363543631,0.779098876482911,0.9966742276613084,0.8813608637187299,1.1270746829998548,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.9243100731118075,0.779098876482911,0.9959506352015551,0.8800763328548092,1.12708140274694,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.9579772098692516,0.779098876482911,0.9953510064289758,0.8788310766140248,1.1273197459246114,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.991644346626696,0.779098876482911,0.9948720572839301,0.8776206844491032,1.1277883804500968,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0253114833841401,0.779098876482911,0.9945105542502763,0.876446559984553,1.1284786633569803,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0589786201415845,0.779098876482911,0.994263355631111,0.875315803152065,1.1293748116862214,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0926457568990287,0.779098876482911,0.9941283858362981,0.8742382110550014,1.1304599078697863,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.126312893656473,0.779098876482911,0.9941046247054032,0.8732223502206213,1.1317209237841757,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.1599800304139172,0.779098876482911,0.9941911333357248,0.8722757007515106,1.133146330628953,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.1936471671713615,0.779098876482911,0.9943870094038509,0.8714047486905279,1.1347258847935202,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.2273143039288057,0.779098876482911,0.994691386153017,0.8706150403040672,1.136450564122408,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.26098144068625,0.779098876482911,0.9951034314081655,0.8699112397124676,1.1383125013163495,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.2946485774436944,0.779098876482911,0.9956223466175815,0.8692971875274734,1.1403049167842518,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.3283157142011386,0.779098876482911,0.9962473659199985,0.8687759587416484,1.1424220526775442,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.3619828509585827,0.779098876482911,0.9969777552361201,0.8683499186110801,1.144659109343262,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.395649987716027,0.779098876482911,0.997812811383537,0.8680207756810856,1.1470121850250699,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.4293171244734715,0.779098876482911,0.9987518612140521,0.86778963143158,1.1494782193156226,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.4629842612309156,0.779098876482911,0.9997942607724539,0.8676570262741251,1.1520549406093676,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.4966513979883598,0.779098876482911,1.0009393944758207,0.8676229818273965,1.1547408176111857,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.5303185347458041,0.779098876482911,1.0021866743124606,0.8676870395425157,1.1575350148125112,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.5639856715032485,0.779098876482911,1.0035355390596234,0.8678482958542946,1.160437351742834,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.5976528082606927,0.779098876482911,1.0049854535191525,0.8681054341073665,1.16344826573241,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.6313199450181368,0.779098876482911,1.0065359077702634,0.8684567535545737,1.1665687778743767,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.6649870817755812,0.779098876482911,1.0081864164386678,0.8689001957546032,1.1698004618455722,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.6986542185330256,0.779098876482911,1.0099365179812907,0.8694333687112863,1.1731454152306373,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.7323213552904697,0.779098876482911,1.0117857739858336,0.8700535691016184,1.1766062329899454,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.7659884920479139,0.779098876482911,1.0137337684844892,0.870757802936104,1.1801859827159917,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.7996556288053582,0.779098876482911,1.0157801072811021,0.8715428049852527,1.1838881813331779,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.8333227655628026,0.779098876482911,1.0179244172911206,0.872405057291317,1.1877167729112157,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.8669899023202468,0.779098876482911,1.0201663458936805,0.8733408070654518,1.1916761072817557,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.900657039077691,0.779098876482911,1.0225055602951998,0.8743460842479739,1.1957709191708124,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.9343241758351353,0.779098876482911,1.0249417469038746,0.8754167189835423,1.200006307585857,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.9679913125925796,0.779098876482911,1.0274746107144794,0.8765483592340935,1.204387715225797,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.001658449350024,0.779098876482911,1.0301038747028999,0.8777364887203183,1.2089209077145255,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.0353255861074677,0.779098876482911,1.0328292792298448,0.8789764453475604,1.2136119524939457,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.068992722864912,0.779098876482911,1.0356505814531909,0.880263440234375,1.2184671972503527,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.1026598596223565,0.779098876482911,1.0385675547484352,0.8815925774220404,1.2234932477882923,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.136326996379801,0.779098876482911,1.0415799881367487,0.882958874301505,1.2286969453081134,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.1699941331372448,0.779098876482911,1.0446876857201288,0.8843572827512561,1.2340853430866694,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.203661269894689,0.779098876482911,1.0478904661231763,0.8857827109363424,1.239665682604141,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.2373284066521335,0.779098876482911,1.05118816194102,0.8872300456762151,1.2454453692026979,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.2709955434095774,0.779098876482911,1.054580619192939,0.8886941752484343,1.2514319474035756,125985,72946,9705,0.7572116369130235
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,2.304662680167022,0.779098876482911,1.0580676967812421,0.8901700124578891,1.2576330760467205,125985,72946,9705,0.7572116369130235
