date,rows,zips,missing_values,min,p01,median,mean,p99,max
2008-05-14,33300,33300,0,1.92352092352092,3.045237450343081,8.71428571428571,9.436685889940343,24.07145655375556,32
2020-12-25,33300,33300,0,1,1.6864688026305272,4.30813802506005,5.2800988998497145,18.68189285714289,34.8333333333333
2021-04-12,33300,33300,0,1,1.33333333333333,5,5.9477302875376035,18.5,25
