organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
HR,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28 20:43:32.782999,2026-05-28 20:44:08.777273,35.991106033325195,125985,72946,9705,0.7568066293817037
HR,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28 20:44:08.781552,2026-05-28 20:44:45.914421,37.131316900253296,125985,72946,9705,0.7568339332602196
HR,single_pollutant_ozone_cumulative_linear,cumulative,linear,done,NA,2026-05-28 20:44:45.918631,2026-05-28 20:45:21.673707,35.75420784950256,125985,72946,9705,0.7567520216246718
HR,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-28 20:45:21.678675,2026-05-28 20:45:58.574398,36.890799045562744,125985,72946,9705,0.7570296110562506
HR,single_pollutant_no2_cumulative_linear,cumulative,linear,done,NA,2026-05-28 20:45:58.578542,2026-05-28 20:46:33.826069,35.24251198768616,125985,72946,9705,0.7569021929565094
HR,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-28 20:46:33.830277,2026-05-28 20:47:09.874872,36.03934192657471,125985,72946,9705,0.7572116369130235
HR,combined_pollutants_cumulative_linear,cumulative,linear,done,NA,2026-05-28 20:47:09.879664,2026-05-28 20:47:47.063987,37.1835401058197,125985,72946,9705,0.7567838761496071
HR,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-28 20:47:47.067972,2026-05-28 20:48:26.594231,39.52163600921631,125985,72946,9705,0.7571797823880883
HR,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 20:48:26.598375,2026-05-28 20:49:02.62821,36.02489495277405,125985,72946,9705,0.7567292683925751
HR,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 20:49:02.632478,2026-05-28 20:49:39.519834,36.88272190093994,125985,72946,9705,0.7568157306745423
HR,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 20:49:39.523752,2026-05-28 20:50:15.839784,36.31086802482605,125985,72946,9705,0.7567747748567684
HR,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 20:50:15.843753,2026-05-28 20:50:51.73135,35.88688778877258,125985,72946,9705,0.7569613513599607
HR,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 20:50:51.73508,2026-05-28 20:51:27.073285,35.33746409416199,125985,72946,9705,0.7568930916636708
HR,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 20:51:27.077912,2026-05-28 20:52:03.762798,36.67985200881958,125985,72946,9705,0.7573299537199258
HR,combined_pollutants_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 20:52:03.767062,2026-05-28 20:52:40.750984,36.97921299934387,125985,72946,9705,0.7568157306745423
HR,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 20:52:40.75512,2026-05-28 20:53:19.580037,38.82018685340881,125985,72946,9705,0.7571797823880883
